n_samples,R2,MAE,MSE
2154,0.6909970532777949,0.533888322695322,0.45747607929705464
2154,0.6617738498242485,0.5729663234649097,0.560919040917074
2154,0.7273185973511633,0.5243522494351736,0.42659869086840463
2154,0.7465932368874231,0.4779681772357961,0.3898135391040701
2154,0.676131641675213,0.5669559346816874,0.5242331229021111
2154,0.6587689648779844,0.5864474815468367,0.568577965488654
2154,0.5791214398382035,0.6167744643525673,0.6975664100243736
2154,0.6769085079583357,0.5380014979903162,0.4831207677348882
2154,0.7113605755775303,0.5146374413843268,0.44828336941285785
2154,0.6401155699545533,0.5755398803001611,0.5800667708400064
4642,0.7270610328391522,0.5058110255052636,0.4408321258405079
4642,0.7214739304026911,0.5176602499103024,0.43768545851611723
4642,0.7078858496037461,0.5259738587292041,0.4739815180858385
4642,0.7013553458830262,0.5377645051949371,0.47004809349274435
4642,0.7619810967571589,0.49597161434639553,0.39083367578706835
4642,0.7492539906103495,0.49460280524244465,0.39870328214431194
4642,0.7361200821430184,0.5084624532292846,0.4365778723486781
4642,0.7335530756993842,0.5416122379370585,0.49465208020921414
4642,0.7039012916466714,0.5055775200786821,0.4884457082291066
4642,0.7414984070324429,0.517855796923567,0.4334204494949868
10000,0.7573920325465007,0.4892606959146717,0.39027041135147444
10000,0.727552413004174,0.5171042548276951,0.4463983900917562
10000,0.736731423830213,0.504553607656423,0.4211808760761386
10000,0.7597797438472672,0.47758188290856274,0.3953200708695793
10000,0.740903783673948,0.4946086002029157,0.4297361528451345
10000,0.7675999595767076,0.4827913049793998,0.3706504982379473
10000,0.7445447310968067,0.48773607586687284,0.3964008275054626
10000,0.7657559476228215,0.48399718939608366,0.39365475048605575
10000,0.7566947337580731,0.4798116240863385,0.39613378159007495
10000,0.7519093611915844,0.49263807410154864,0.4112181338395851
21544,0.774769342522566,0.4630672951869931,0.35469339232995944
21544,0.7586408878363716,0.47721735793832665,0.37764777946330585
21544,0.7699356178381505,0.4783993567941157,0.3836882474812197
21544,0.7647303724132466,0.475810297090841,0.38379694040386536
21544,0.7447226025305644,0.4824150965059733,0.399595371779191
21544,0.7665122011275017,0.4710014300312393,0.3717622827918325
21544,0.7641861540641618,0.47886629252609886,0.3838923216061728
21544,0.7605832422739411,0.4786749081811257,0.3909587536349456
21544,0.7479411817960864,0.4954838775401884,0.4189288290582144
21544,0.7554189225089398,0.4764355345816731,0.396698427489987
46416,0.7575656128779127,0.4795393168388546,0.3865802114582353
46416,0.7769073571755432,0.4644743510658669,0.37143286626154404
46416,0.7718070724904458,0.46746742925245205,0.364745183171541
46416,0.7848269736814846,0.45031372849355805,0.343817681333763
46416,0.7619478092835866,0.4755503212763086,0.38332374700650595
46416,0.7815912459874785,0.4689988937876816,0.36478430157513564
46416,0.7761680643359385,0.4595291042467633,0.36231198325747055
46416,0.7756674676468297,0.47570317164504505,0.3760890433955907
46416,0.767094420501728,0.47544208799156196,0.3836958060670289
46416,0.771778645799216,0.4726740655885813,0.37797179934657427
100000,0.7775215412071308,0.46416466238525456,0.3601842939244788
100000,0.7764771836184999,0.4635160939111026,0.3615003635438436
100000,0.7724311088134622,0.46634118816832887,0.3735185161545577
100000,0.7692209771369681,0.4729858457052792,0.3799193082784965
100000,0.7823274330118823,0.4623115099842982,0.36144291759134467
100000,0.7749581741259358,0.4679894586884514,0.3713246573405193
100000,0.7691479100351537,0.47082928406288466,0.3747778723201541
100000,0.7746478681729908,0.4654138414508987,0.3622664838176921
100000,0.7757644982710546,0.46372412425687687,0.3645027455631144
100000,0.7720851149546992,0.4709943264663373,0.37504642509572544
