# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:29:59+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Al[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " As[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1010143","4.9","0.01","4.9","0.01","6.64","0.01","90","","90","","90","","159.4","","","","","","","","","","","","","3","I -4","I -4","","Aluminium arsenate","","- Al As O4 -","- Al As O4 -","- Al2 As2 O8 -","2","0.25","","Strada, M","La struttura cristallina di alcuni fosfati ed arseniati di metalli trivalenti. I. Fosfato ed arseniato di alluminio","Gazzetta Chimica Italiana","1934","64","","653","662","","","","","","","","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1010430","5.03","","5.03","","11.22","","90","","90","","120","","245.8","","","","","","","","","","","","","3","P 31 2 1 S","","","Aluminium arsenate","","- Al As O4 -","- Al As O4 -","- Al3 As3 O12 -","3","","","Machatschki, F","Die Kristallstruktur von Tiefquarz Si O~2~ und Aluminiumorthoarsenat Al As O~4~","Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977)","1936","94","","222","230","","","","","","","","","","","","","","","","","","","","","","has coordinates","35911","2020-10-21","18:00:00",""
"1011040","6.53","0.01","8.46","0.01","7","0.02","90","","115.22","","90","","349.8","","","","","","","","","","","","from Durango, Mexico","5","C 1 2/c 1","-C 2yc","","Aluminium sodium arsenate fluoride","Durangite","- Al As F Na O4 -","- Al As F Na O4 -","- Al4 As4 F4 Na4 O16 -","4","0.5","","Kokkoros, P.","Ueber die Struktur des Durangit NaAlF(AsO~4~)","Zeitschrift für Kristallographie - Crystalline Materials","1938","99","1-6","38","49","10.1524/zkri.1938.99.1.38","","","","","","","","","","","","","","","","","","","","","has coordinates","175087","2020-10-21","18:00:00",""
"1518030","5.022","0.001","5.022","0.001","11.215","0.004","90","","90","","120","","244.95","0.11","","","173","","","","","","","","","3","P 31 2 1","P 31 2""","","","","- Al As O4 -","- Al As O4 -","- Al3 As3 O12 -","3","0.5","","Goiffon, Aline; Bayle, Gisele; Astier, Rene; Jumas, Jean-Claude; Maurin, Maurice; Philippot, Etienne","Cristallochimie des phases GaPO4, AlAsO4 et GaAsO4. Etude comparee des structures de type quartz alpha","Revue de Chimie Minerale","1983","20","","338","350","","","x-ray","0.71069","MoKα","","","0.012","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1518031","5.027","0.001","5.027","0.001","11.213","0.003","90","","90","","120","","245.4","0.1","","","293","","","","","","","","","3","P 31 2 1","P 31 2""","","","","- Al As O4 -","- Al As O4 -","- Al3 As3 O12 -","3","0.5","","Goiffon, Aline; Bayle, Gisele; Astier, Rene; Jumas, Jean-Claude; Maurin, Maurice; Philippot, Etienne","Cristallochimie des phases GaPO4, AlAsO4 et GaAsO4. Etude comparee des structures de type quartz alpha","Revue de Chimie Minerale","1983","20","","338","350","","","x-ray","0.71069","MoKα","","","0.011","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1518076","10.494","0.003","5.991","0.002","7.534","0.002","90","","110.5","0.1","90","","443.7","0.4","","","293","","","","","","","","","3","P 1 21/m 1","-P 2yb","","","","- Al2 As3 K3 -","- Al2 As3 K3 -","- Al4 As6 K6 -","2","0.5","","Cordier, Gerhard; Ochmann, Harald; Schafer, Herbert","Neuartige Al2As3-kettenverbande in der verbindung K3Al2As3","Revue de Chimie Minerale","1985","22","","58","63","","","x-ray","0.71069","MoKα","","","","","","0.034","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1519942","24.576","0.005","7.754","0.005","24.641","0.005","90","","90.19","0.01","90","","4696","3","","","293","","","","","","","","","5","I 1 2 1","I 2y","","","liskeardite","- Al29.2 As18 Fe2.8 H190 O188 -","- Al29.164 As18 Fe2.836 O188.24 -","- Al29.164 As18 Fe2.836 O188.24 -","1","0.25","","Grey, I. E.; Mumme, W. G.; Macrae, C. M.; Caradoc-Davies, T.; Price, J. R.; Rumsey, M. S.; Mills, S. J.","Chiral edge-shared octahedral chains in liskeardite, [(Al,Fe)~32~(AsO~4~)~18~(OH)~42~(H~2~O)~22~]·52H~2~O, an open framework mineral with a pharmacoalumite-related structure","Mineralogical Magazine","2013","77","8","3125","3135","10.1180/minmag.2013.077.8.07","","x-ray","0.71073","MoKα","","0.081","0.0588","","","0.0745","0.0808","","","","1.08","1.08","1.02","","","","has coordinates,has Fobs","137320","2020-10-21","18:00:00",""
"1520845","13.354","","13.354","","18.335","","90","","90","","120","","2831.62","","","","","","","","","","","","","5","R -3 c :H","-R 3 2""c","","Na3 Y0.111 Al1.887 (As O4)3","","- Al1.887 As3 Na3 O12 Y0.111 -","- Al1.887 As3 Na3 O12 Y0.111 -","- Al22.644 As36 Na36 O144 Y1.332 -","12","0.333333","","Belam, W.; Daoud, A.; Driss, A.; Madani, A.","Elaboration et etude radiocristallographique du trisodium yttrium-aluminium triarsenic dodecaoxyde Na3 Y0.11 Al1.89 (As O4)3 R . Effet du dopage par Na2 O sur la conductivite electrique","Journal de la Societe Chimique, Tunis","2000","4","","735","743","","","","","","","","","","","","","","","","","","","","","","has coordinates","140400","2020-10-21","18:00:00",""
"1530061","7.158","","7.552","","16.014","","89.06","","104.32","","84.97","","834.894","","","","","","","","","","","","","8","P -1","-P 1","","(As1.47 Sb0.47) (Ti5.63 V2.11 Fe3.94 Al0.32) O23 (O H)","","- Al0.32 As1.47 Fe3.94 H O24 Sb0.47 Ti5.63 V2.11 -","- Al0.324 As1.474 Fe3.936 O24 Sb0.47 Ti5.628 V2.112 -","- Al0.648 As2.948 Fe7.872 O48 Sb0.94 Ti11.256 V4.224 -","2","1","","Harris, D.C.; Hoskins, B.F.; Grey, I.E.; Criddle, A.J.; Stanley, C.J.","Hemloite (As, Sb)2 (Ti, V, Fe, Al)12 O23 (O H): A new mineral from the Hemlo gold deposit, Hemlo, Ontario, and its crystal structure","Canadian Mineralogist","1989","27","","427","440","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1530433","8.275","","8.275","","36.6","","90","","90","","120","","2170.44","","","","","","","","","","","","","7","R 3 :H","R 3","","Mn10.39 Mg2.53 Al1.89 Fe0.19 (O H)23 (As O3) (As O4)2","","- Al1.89 As3 Fe0.19 H23 Mg2.53 Mn10.39 O34 -","- Al1.9 As3 Fe0.19 Mg2.52 Mn10.39 O34 -","- Al5.7 As9 Fe0.57 Mg7.56 Mn31.17 O102 -","3","0.333333","","Moore, P.B.; Araki, T.","Hematolite. A complex dense-packed sheet structure","American Mineralogist","1978","63","","150","159","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
