# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:28:51+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Al[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Ga[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1521355","16.0195","","16.0195","","16.0195","","90","","90","","90","","4110.99","","","","","","","","","","","","","4","P a -3","-P 2ac 2ab 3","","Sr3 ((Al0.36 Ga0.64)2 O6)","","- Al0.72 Ga1.28 O6 Sr3 -","- Al0.72 Ga1.28 O6 Sr3 -","- Al17.28 Ga30.72 O144 Sr72 -","24","1","","Kahlenberg, V.","Sr3 (Al0.36 Ga0.64)2 O6 - a new strontium aluminium gallate","Crystal Research and Technology","2000","35","","1279","1287","","","","","","","","","","","","","","","","","","","","","","has coordinates","141564","2020-10-21","18:00:00",""
"1521798","7.758","","7.758","","7.758","","90","","90","","90","","466.927","","","","","","","","","","","","","3","F d -3 m :1","F 4d 2 3 -1d","","(Al0.75 Ga0.25)2 U","","- Al1.5 Ga0.5 U -","- Al1.5 Ga0.5 U -","- Al12 Ga4 U8 -","8","0.0416667","","Kim, J.S.; Kim, W.W.; Stewart, G.R.","Hybridization and its influence on the electronic properties of U Al2","Journal of Alloys Compd.","1993","202","","265","267","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1523897","2.874","","2.874","","2.874","","90","","90","","90","","23.739","","","","","","","","","","","","","3","P m -3 m","-P 4 2 3","","(Al0.5 Ga0.5) Co","","- Al0.5 Co Ga0.5 -","- Al0.5 Co Ga0.5 -","- Al0.5 Co Ga0.5 -","1","0.0208333","","Ipser, H.; Mikula, A.","On the ternary B2-phase in the Al-Co-Ga system","Monatshefte fuer Chemie (-108,1977)","1992","123","","509","513","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1524591","7.867","","7.867","","7.867","","90","","90","","90","","486.886","","","","","","","","","","","","","3","F d -3 m :1","F 4d 2 3 -1d","","Al3 Ga Yb2","","- Al1.5 Ga0.5 Yb4 -","- Al1.5 Ga0.5 Yb4 -","- Al6 Ga2 Yb16 -","4","0.0208333","","Iandelli, A.","Crystallographic studies of the systems MA12 - M Ga2 (M = Yb, Ca, Eu, Sr)","Journal of the Less-Common Metals","1987","135","","195","198","","","","","","","","","","","","","","","","","","","","","","has coordinates","176428","2020-10-21","18:00:00",""
"1526006","9.342","","9.342","","7.325","","90","","90","","120","","553.628","","","","","","","","","","","","","5","R 3 2 :H","R 3 2""","","Y (Al1.5 Ga1.5) (B O3)4","","- Al1.5 B4 Ga1.5 O12 Y -","- Al1.5 B4 Ga1.5 O12 Y -","- Al4.5 B12 Ga4.5 O36 Y3 -","3","0.166667","","Meszaros, G.; Svab, E.; Toth, M.; Watterich, A.; Beregi, E.","Rietveld refinement for yttrium aluminium borates from neutron and X-ray diffraction","Physik (Berlin)","2000","276","","310","311","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1526664","27.418","","15.647","","23.96","","90","","102.85","","90","","10021.6","","","","","","","","","","","","","5","C 1 2/c 1","-C 2yc","","(Ga O4 Al12 (O H)24 (H2 O)12) (Al (O H)6 Mo6 O18)2 (O H) (H2 O)30.165","","- Al14 Ga H121.33 Mo12 O119.165 -","- Al14 Ga Mo12 O118.165 -","- Al56 Ga4 Mo48 O472.659 -","4","0.5","","Son, J.-H.; Kwon, Y.-U.","Single crystal structure of pure inorganic nanocomposite (Ga O4 Al12 (O H)24 (H2 O)12) (Al (O H)6 Mo6 O18)2 (O H) * 30(H2 O)","Bulletin of the Korean Chemical Society","2001","22","","1224","1230","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1528466","2.9199","","2.9199","","13.029","","90","","90","","120","","96.201","","","","","","","","","","","","","4","P 63/m m c","-P 6c 2c","","V2 Ga0.44 Al0.56 C","","- C Al0.56 Ga0.44 V2 -","- C Al0.559 Ga0.441 V2 -","- C2 Al1.118 Ga0.882 V4 -","2","0.0833333","","Etzkorn, J.; Ade, M.; Kotzott, D.; Kleczek, M.; Hillebrecht, H.","Ti2 Ga C, Ti4 Ga C3 and Cr2 Ga C - Synthesis, crystal growth and structure analysis of Ga-containing MAX-phases M(n+1) Ga C(n) with M = Ti, Cr and n = 1, 3","Journal of Solid State Chemistry","2009","182","","995","1002","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1528467","2.9252","","2.9252","","12.959","","90","","90","","120","","96.031","","","","","","","","","","","","","4","P 63/m m c","-P 6c 2c","","V2 Ga0.57 Al0.43 C","","- C Al0.43 Ga0.57 V2 -","- C Al0.434 Ga0.566 V2 -","- C2 Al0.868 Ga1.132 V4 -","2","0.0833333","","Etzkorn, J.; Ade, M.; Kotzott, D.; Kleczek, M.; Hillebrecht, H.","Ti2 Ga C, Ti4 Ga C3 and Cr2 Ga C - Synthesis, crystal growth and structure analysis of Ga-containing MAX-phases M(n+1) Ga C(n) with M = Ti, Cr and n = 1, 3","Journal of Solid State Chemistry","2009","182","","995","1002","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1530117","5.673","","5.673","","22.32","","90","","90","","120","","622.086","","","","","","","","","","","","","5","P 63/m m c","-P 6c 2c","","La.88 Al5.16 Mg.64 Ga6.2 O19","","- Al5.16 Ga6.2 La0.88 Mg0.64 O19 -","- Al5.16 Ga6.2 La0.879 Mg0.64 O19 -","- Al10.32 Ga12.4 La1.758 Mg1.28 O38 -","2","0.0833333","","Kahn, A.; Lecomte, J.; Thery, J.; Vivien, D.","Structural and spectroscopic study of a single crystal of lanthanum aluminogallate, doped with neodymium","Journal of Solid State Chemistry","1988","76","","192","203","","","","","","","","","","","","","","","","","","","","","","has coordinates","155099","2020-10-21","18:00:00",""
"1532551","7.0529","","7.0558","","6.9551","","90","","90","","90","","346.113","","","","","","","","","","","","","4","C 2 2 21","C 2c 2","","(Al0.8 Ga0.2) (P O4)","","- Al0.8 Ga0.2 O4 P -","- Al0.8 Ga0.2 O4 P -","- Al3.2 Ga0.8 O16 P4 -","4","0.5","","Achary, S.N.; Tyagi, A.K.; Jayakumar, O.D.; Kulshreshtha, S.K.","Preparation, phase transition and thermal expansion studies on low-cristobalite type Al1-x Gax P O4 (x = 0.0, 0.20, 0.50, 0.80 and1.00)","Journal of Solid State Chemistry","2003","176","","37","46","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1532554","7.0295","","7.0173","","6.9217","","90","","90","","90","","341.434","","","","","","","","","","","","","4","C 2 2 21","C 2c 2","","(Al0.5 Ga0.5) (P O4)","","- Al0.5 Ga0.5 O4 P -","- Al0.5 Ga0.5 O4 P -","- Al2 Ga2 O16 P4 -","4","0.5","","Achary, S.N.; Jayakumar, O.D.; Tyagi, A.K.; Kulshreshtha, S.K.","Preparation, phase transition and thermal expansion studies on low-cristobalite type Al1-x Gax P O4 (x = 0.0, 0.20, 0.50, 0.80 and1.00)","Journal of Solid State Chemistry","2003","176","","37","46","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1532557","6.9968","","6.9794","","6.8884","","90","","90","","90","","336.384","","","","","","","","","","","","","4","C 2 2 21","C 2c 2","","(Al0.2 Ga0.8) (P O4)","","- Al0.2 Ga0.8 O4 P -","- Al0.2 Ga0.8 O4 P -","- Al0.8 Ga3.2 O16 P4 -","4","0.5","","Achary, S.N.; Kulshreshtha, S.K.; Tyagi, A.K.; Jayakumar, O.D.","Preparation, phase transition and thermal expansion studies on low-cristobalite type Al1-x Gax P O4 (x = 0.0, 0.20, 0.50, 0.80 and1.00)","Journal of Solid State Chemistry","2003","176","","37","46","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1536186","9.4424","","9.4424","","7.4105","","90","","90","","120","","572.194","","","","","","","","","","","","","5","R 3 2 :H","R 3 2""","","Bi Al Ga2 (B O3)4","","- Al B4 Bi Ga2 O12 -","- Al0.999 B4 Bi Ga2.001 O12 -","- Al2.997 B12 Bi3 Ga6.003 O36 -","3","0.166667","","Wang Shichao; Ye Ning","Nonlinear optical crystal Bi Al Ga2 (B O3)4","Solid State Sciences","2007","9","","713","717","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1536460","8.2101","","8.2101","","5.106","","90","","90","","120","","298.063","","","","","","","","","","","","","5","P 3 2 1","P 3 2""","","La3 (Sn Ga3.1 Al1.9 O14)","","- Al1.9 Ga3.1 La3 O14 Sn -","- Al1.902 Ga3.096 La3 O14 Sn -","- Al1.902 Ga3.096 La3 O14 Sn -","1","0.166667","","Park, S.; Keszler, D.A.","Cation ordering in langasite structure types","Solid State Sciences","2002","4","","799","802","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1540259","5.6567","","5.6567","","5.6567","","90","","90","","90","","181.005","","","","","","","","","","","","","3","F -4 3 m","F -4 2 3","","","","- Al As2 Ga -","- Al As2 Ga -","- Al2 As4 Ga2 -","2","0.0208333","","Leszczynski, M.; Micovic, M.; Mendonca, C.A.C.; Ciepielewska, A.; Ciepielewski, P.","Lattice constant of Al As","Crystal Research and Technology","1992","27","","97","100","","","","","","","","","","","","","","","","","","","","","","has coordinates","211196","2020-10-21","18:00:00",""
