# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:30:36+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Al[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " In[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1521149","24.913","","24.913","","24.913","","90","","90","","90","","15462.4","","","","","","","","","","","","","4","F d -3 :2","-F 2uv 2vw 3","","In88 (Al92 Si100 O384)","","- Al92 In88 O384 Si100 -","- Al91.9968 In87.9968 O384 Si100.003 -","- Al91.9968 In87.9968 O384 Si100.003 -","1","0.0104167","","Heo, N.-H.; Jung, S.W.; Lim, W.T.; Park, S.W.; Seff, K.","Crystal structures of fully indium-exchanged zeolite X","J. Phys. Chem. B","2000","104","","8372","8381","","","","","","","","","","","","","","","","","","","","","","has coordinates","140816","2020-10-21","18:00:00",""
"1521151","24.916","","24.916","","24.916","","90","","90","","90","","15468","","","","","","","","","","","","","4","F d -3 m :2","-F 4vw 2vw 3","","In87 (Al92 Si100 O384)","","- Al92 In87 O384 Si100 -","- Al92.0064 In87.0056 O384 Si99.9936 -","- Al92.0064 In87.0056 O384 Si99.9936 -","1","0.00520833","","Heo, N.-H.; Jung, S.W.; Park, S.W.; Lim, W.T.; Seff, K.","Crystal structures of fully indium-exchanged zeolite X","J. Phys. Chem. B","2000","104","","8372","8381","","","","","","","","","","","","","","","","","","","","","","has coordinates","140818","2020-10-21","18:00:00",""
"1524402","3.308","","3.308","","24.36","","90","","90","","120","","230.855","","","","","","","","","","","","","4","R -3 m :H","-R 3 2""","","In Cu Al O4","","- Al Cu In O4 -","- Al Cu In O4 -","- Al3 Cu3 In3 O12 -","3","0.0833333","","Gerardin, R.; Alebouyeh, A.; Malaman, B.; Courtois, A.; Jeannot, F.; Evrard, O.","Sur l'existence des oxydes rhomboedriques a(III) B(III) B'(III) O4","Materials Research Bulletin","1980","15","","647","655","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1531407","12.083","","12.083","","12.083","","90","","90","","90","","1764.1","","","","","","","","","","","","","6","P m -3 m","-P 4 2 3","","(In9.5 H0.5) (Si12 Al12 O48) (In S H)0.5 (H2 S)2.5","","- Al12 H6 In10 O48 S3 Si12 -","- Al12 In10 O48 S2.9982 Si12 -","- Al12 In10 O48 S2.9982 Si12 -","1","0.0208333","","Heo, N.-H.; Chun, C.W.; Park, M.; Li, S.-L.; Lim, W.T.; Park, J.S.; Zhou, L.-P.","Reaction of fully indium-exchanged zeolite A with hydrogen sulfide.Crystal structures of indium-exchanged zeolite A containingIn2 S, In S H, sorbed H2 S and (In5)(7+)","J. Phys. Chem. B","2002","106","","4578","4587","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1531410","12.076","","12.076","","12.076","","90","","90","","90","","1761.04","","","","","","","","","","","","","6","P m -3 m","-P 4 2 3","","(In8.4 H1.2) (Si12 Al12 O48) (In2 S)0.6 (H2 S)2","","- Al12 H5.2 In9.6 O48 S2.6 Si12 -","- Al12 In9.6 O48 S2.5986 Si12 -","- Al12 In9.6 O48 S2.5986 Si12 -","1","0.0208333","","Heo, N.-H.; Park, M.; Chun, C.W.; Lim, W.T.; Park, J.S.; Li, S.-L.; Zhou, L.-P.","Reaction of fully indium-exchanged zeolite A with hydrogen sulfide.Crystal structures of indium-exchanged zeolite A containing In2 S, In S H, sorbed H2 S and (In5)(7+)","J. Phys. Chem. B","2002","106","","4578","4587","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1531413","12.094","","12.094","","12.094","","90","","90","","90","","1768.93","","","","","","","","","","","","","6","P m -3 m","-P 4 2 3","","(In9.8 H0.4) (Si12 Al12 O48) (In S H)0.4 (H2 S)","","- Al12 H2.8 In10.2 O48 S1.4 Si12 -","- Al12 In10.1992 O48 S1.401 Si12 -","- Al12 In10.1992 O48 S1.401 Si12 -","1","0.0208333","","Heo, N.-H.; Lim, W.T.; Chun, C.W.; Zhou, L.-P.; Park, J.S.; Park, M.; Li, S.-L.","Reaction of fully indium-exchanged zeolite A with hydrogen sulfide. Crystal structures of indium-exchanged zeolite A containing In2 S, In S H, sorbed H2 S and (In5)(7+)","J. Phys. Chem. B","2002","106","","4578","4587","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1531416","12.094","","12.094","","12.094","","90","","90","","90","","1768.93","","","","","","","","","","","","","6","P m -3 m","-P 4 2 3","","In10.2 (Si12 Al12 O48) (H2 S)0.8","","- Al12 H1.6 In10.2 O48 S0.8 Si12 -","- Al12 In10.1984 O48 S0.8016 Si12 -","- Al12 In10.1984 O48 S0.8016 Si12 -","1","0.0208333","","Heo, N.-H.; Chun, C.W.; Park, J.S.; Zhou, L.-P.; Park, M.; Lim, W.T.; Li, S.-L.","Reaction of fully indium-exchanged zeolite A with hydrogen sulfide. Crystal structures of indium-exchanged zeolite A containing In2 S, In S H, sorbed H2 S and (In5)(7+)","J. Phys. Chem. B","2002","106","","4578","4587","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1531632","5.728","","3.309","","8.352","","90","","103.2","","90","","154.121","","","","","","","","","","","","","4","C 1 m 1","C -2y","","Cu Al In O4","","- Al Cu In O4 -","- Al Cu In O4 -","- Al2 Cu2 In2 O8 -","2","0.5","","Kutoglu, A.; Roesler, A.; Reinen, D.","Die Cu Al In O4-Struktur - roentgenographische und spektroskopische Untersuchungen an Verbindungen M(II) Me(III) In O4 (M(II). Mn(II) - Zn(II), Me(III). Al, Ga)","Zeitschrift fuer Anorganische und Allgemeine Chemie","1979","456","","130","146","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1533756","24.942","","24.942","","24.942","","90","","90","","90","","15516.5","","","","","","","","","","","","","4","F d -3 m :2","-F 4vw 2vw 3","","In66 (Al92 Si100 O384)","","- Al92 In66 O384 Si100 -","- Al92.0064 In66 O384 Si99.9936 -","- Al92.0064 In66 O384 Si99.9936 -","1","0.00520833","","Heo Nam Ho; Park Jong Sam; Lim Woo Taik; Kim Young Joo; Seff, K.; Jung Sung Wook","Spatially ordered quantum dot array of indium nanoclusters in fully indium-exchanged zeolite X","J. Phys. Chem. B","2003","107","","1120","1128","","","","","","","","","","","","","","","","","","","","","","has coordinates","160028","2020-10-21","18:00:00",""
"1536596","5.599","","5.599","","22.90099","","90","","90","","120","","621.736","","","","","","","","","","","","","3","P 63/m m c","-P 6c 2c","","In2.42 Al22 O34.8","","- Al22 In2.42 O34.8 -","- Al22 In2.468 O34 -","- Al22 In2.468 O34 -","1","0.0416667","","Pitt, M.G.; Fray, D.J.","Preparation and physical properties of indium beta-alumina single crystals","Journal of Solid State Chemistry","1982","43","","227","236","","","","","","","","","","","","","","","","","","","","","","has coordinates","164364","2020-10-21","18:00:00",""
