# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:28:08+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Al[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " P[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1000350","9.416","0.008","9.563","0.005","9.933","0.004","90","","90","","90","","894.4","","","","","","","","","","","","","6","P 21 21 21","P 2ac 2ab","","Ammonium oxonium alumimium phosphate hydroxide fluoride *","","- Al F0.675 H4.205 N0.88 O4.445 P -","- Al F0.675 H8.41 N0.88 O4.445 P -","- Al8 F5.4 H67.28 N7.04 O35.56 P8 -","8","2","","Ferey, G; Loiseau, T; Lacorre, P; Taulelle, F","Oxyfluorinated microporous compounds. I. Crystal structure of (NH~4~)~0.93~(H~3~O)~0.07~GaPO~4~(OH)~0.5~ F~0.5~: reexamination of the structure of AlPO~4~-CJ2","Journal of Solid State Chemistry","1993","105","","179","190","10.1006/jssc.1993.1206","","","","","","0.024","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1000488","12.026","0.001","12.199","0.001","4.666","0.001","90","","90","","90","","684.5","","","","","","","","","","","","","5","P 21 21 21","P 2ac 2ab","","Strontium dialuminium bis(phosphate(V)) difluoride","","- Al2 F2 O8 P2 Sr -","- Al2 F2 O8 P2 Sr -","- Al8 F8 O32 P8 Sr4 -","4","1","","Le Meins, J.-M.; Courbion, G.","Hydrothermal synthesis and crystal structure of SrAl~2~(PO~4~)~2~F~2~: a new three-dimensional framework with channels delimited by a helical anionic border","European Journal of Solid State and Inorganic Chemistry","1998","35","10-11","639","653","10.1016/S0992-4361(99)80005-8","","","","","","0.039","","","","","","","","","","","","","","","has coordinates","182184","2020-10-21","18:00:00",""
"1001414","8.803","0.0008","8.803","0.0008","8.697","0.0006","90","","90","","90","","674","","","","","","","","","","","","","4","P 4/n c c :2","-P 4a 2ac","","Molybdenum(V) nonaoxoalumodiphosphate","","- Al Mo O9 P2 -","- Al Mo O9 P2 -","- Al4 Mo4 O36 P8 -","4","0.25","","Leclaire, A; Borel, M; Grandin, A; Raveau, B","Mo Al P~2~ O~9~ molybdenum(V)aluminophosphate isostructural with VSiP~2~O~9~","Zeitschrift fuer Kristallographie (149,1979-)","1990","190","","135","142","","","","","","","0.027","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1001427","4.8171","0.0008","7.133","0.002","7.998","0.002","90.53","0.02","92.95","0.02","105.18","0.02","264.8","","","","","","","","","","","","","5","P -1","-P 1","","Potassium molybdenum aluminium phosphate (1/1.5/.5/4)","","- Al0.5 K Mo1.5 O14 P4 -","- Al0.5 K Mo1.5 O14 P4 -","- Al0.5 K Mo1.5 O14 P4 -","1","0.5","","Leclaire, A; Borel, M M; Grandin, A; Raveau, B","K~2~Mo~3~AlP~8~O~28~: a tunnel structure isotypic with Na0.5MoP~2~O~7~","Acta Crystallographica C (39,1983-)","1990","46","","1368","1370","","","","","","","0.061","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1001507","13.747","0.002","6.446","0.001","20.588","0.003","90","","124.94","0.01","90","","1495.5","","","","","","","","","","","","","5","P 1 2/c 1","-P 2yc","","Potassium niobium aluminium phosphate *","","- Al0.8 K5 Nb7.2 O34 P5 -","- Al0.8 K5 Nb7.2 O34 P5 -","- Al1.6 K10 Nb14.4 O68 P10 -","2","0.5","","Leclaire, A.; Guerioune, M.; Borel, M. M.; Grandin, A.; Raveau, B.","Insertion of potassium in the α-K~4~Nb~8~P~5~O~34~ structure: the niobium phosphates α-K~5~Nb~8-x~M~x~P~5~O~34~","European Journal of Solid State and Inorganic Chemistry","1992","29","","473","483","","","","","","","0.048","","","","","","","","","","","","","","","has coordinates","200144","2020-10-21","18:00:00",""
"1001641","16.989","0.003","16.989","0.003","11.866","0.003","90","","90","","120","","2966","","","","","","","","","","","","","5","P 63/m","-P 6c","","Nonacaesium tecto-trialumononamolybdo(V)undecaphosphate(V)","","- Al3 Cs9 Mo9 O59 P11 -","- Al3 Cs9 Mo9 O59 P11 -","- Al6 Cs18 Mo18 O118 P22 -","2","0.166667","","Guesdon, A; Borel, M M; Leclaire, A; Grandin, A; Raveau, B","An aluminophosphate of molybdenum(V) with a tunnel structure: Cs9 Mo9 Al3 P11 O59","Journal of Solid State Chemistry","1995","114","","451","458","10.1006/jssc.1995.1068","","","","","","0.034","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001863","16.952","0.002","16.952","0.002","11.833","0.001","90","","90","","120","","2944.9","","","","","","","","","","","","","6","P 63/m","-P 6c","","Dipotassium heptacaesium tecto-nonamolybdo(V)trialumoundecaphosphate(V)","","- Al3 Cs7 K2 Mo9 O59 P11 -","- Al3 Cs7.002 K1.998 Mo9 O59 P11 -","- Al6 Cs14.004 K3.996 Mo18 O118 P22 -","2","0.166667","","Guesdon, A; Leclaire, A; Borel, M M; Raveau, B","Significant structural disorganization in alkaline molybdenum(V) aluminophosphates","Chemistry of Materials (1,1989-","1995","7","","1873","1878","10.1021/cm00058a018","","","","","","0.043","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1007013","11.643","0.008","4.918","0.004","8.705","0.005","90","","119.27","0.05","90","","434.8","","","","","","","","","","","","","5","P 1 2/a 1","-P 2ya","","ALUMINIUM AMMONIUM HYDROGENTRIPHOSPHATE","","- Al H5 N O10 P3 -","- Al H11 N O10 P3 -","- Al2 H22 N2 O20 P6 -","2","0.5","","Averbuch-Pouchot, M T; Durif, A; Guitel, J C","Structure cristalline d'un tripolyphosphate acide d'aluminium-ammonium: Al (N H~4~) H P~3~ O~10~","Acta Crystallographica B (24,1968-38,1982)","1977","33","","1436","1438","10.1107/S0567740877006244","","","","","","0.066","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1010142","4.85","0.01","4.85","0.01","6.6","0.01","90","","90","","90","","155.2","","","","","","","","","","","","","3","I -4","I -4","","Aluminium phosphate","","- Al O4 P -","- Al O4 P -","- Al2 O8 P2 -","2","0.25","","Strada, M","La struttura cristallina di alcuni fosfati ed arseniati di metalli trivalenti. I. Fosfato ed arseniato di alluminio","Gazzetta Chimica Italiana","1934","64","","653","662","","","","","","","","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1010266","13.63","","13.63","","13.63","","90","","90","","90","","2532.1","","","","","","","","","","","","","3","I -4 3 d","I -4bd 2c 3","","Aluminium catena-phosphate","","- Al O9 P3 -","- Al O9 P3 -","- Al16 O144 P48 -","16","0.333333","","Pauling, L; Sherman, J","The Crystal Structure of Aluminum Metaphosphate, Al (P O~3~)~3~","Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977)","1937","96","","481","487","","","","","","","","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
