# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:31:09+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Al[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Sb[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1001227","5.796","0.002","5.796","0.002","9.466","0.005","90","","90","","120","","275.4","","","","","","","","","","","","","5","P 63 m c","P 6c -2c","","DILITHIUM DICHROMIUM ALUMINIUM ANTIMONY(V) OXIDE","","- Al Cr2 Li2 O8 Sb -","- Al0.9999 Cr2.0001 Li2 O8 Sb -","- Al1.9998 Cr4.0002 Li4 O16 Sb2 -","2","0.166667","","Tarte, P; Cahay, R; Preudhomme, J; Hervieu, M; Choisnet, J; Raveau, B","Hexagonal-spinel transitions in antimonates Li~2~ Cr(~3-x~) M(III)~x~ Sb O~8~","Journal of Solid State Chemistry","1982","44","","282","289","10.1016/0022-4596(82)90375-9","","","","","","0.039","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001228","5.703","0.002","5.703","0.002","9.392","0.005","90","","90","","120","","264.5","","","","","","","","","","","","","5","P 63 m c","P 6c -2c","","DILITHIUM CHROMIUM DIALUMINIUM ANTIMONY(V) OXIDE","","- Al2 Cr Li2 O8 Sb -","- Al2.0001 Cr0.9999 Li2 O8 Sb -","- Al4.0002 Cr1.9998 Li4 O16 Sb2 -","2","0.166667","","Tarte, P; Cahay, R; Preudhomme, J; Hervieu, M; Choisnet, J; Raveau, B","Hexagonal-spinel transitions in antimonates Li~2~ Cr(~3-x~) M(III)~x~ Sb O~8~","Journal of Solid State Chemistry","1982","44","","282","289","10.1016/0022-4596(82)90375-9","","","","","","0.043","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1010152","6.126","","6.126","","6.126","","90","","90","","90","","229.9","","","","","","","","","","","","","2","F -4 3 m","F -4 2 3","","Aluminium antimonide","","- Al Sb -","- Al Sb -","- Al4 Sb4 -","4","0.0416667","","Owen, E A; Preston, G D","The Atomic Structure of Two Intermetallic Compounds","Proceedings of the Physical Society, London","1924","36","","341","348","10.1088/1478-7814/36/1/339","","","","","","","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1010488","5.4","","5.4","","8.81","","90","","90","","120","","222.5","","","","","","","","","","","","","4","P 63/m m c","-P 6c 2c","","Sodium antimony(V) dialuminium oxide","","- Al2 Na O6 Sb -","- Al2 Na O Sb -","- Al4 Na2 O2 Sb2 -","2","0.0833333","","Aminoff, G","Ueber ein neues Mineral von Langban.","Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977)","1924","60","","262","274","","","","","","","","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1011365","6.126","","6.126","","6.126","","90","","90","","90","","229.9","","","","","","","","","","","","","2","F -4 3 m","F -4 2 3","","Aluminium antimonide","","- Al Sb -","- Al Sb -","- Al4 Sb4 -","4","0.0416667","","Owen, E A; Preston, G D","The atomic structure of two intermetallic compounds","Nature (London)","1924","113","","914","914","","","","","","","","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1518052","14.1","0.003","7.22","0.002","15.44","0.003","90","","90.3","0.1","90","","1571.8","0.6","","","293","","","","","","","","","3","P 1 21/c 1","-P 2ybc","","","","- Al2 Na2 Sb3 -","- Al2 Na2 Sb3 -","- Al16 Na16 Sb24 -","8","2","","Cordier, Gerhard; Ochmann, Harald; Schafer, Herbert","Na2Al2Sb3 und K2Al2Sb3, zwei neue zintlphasen mit Schichtanionen","Revue de Chimie Minerale","1984","21","","282","291","","","x-ray","0.71069","MoKα","","","","","","0.055","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1518053","14.72","0.003","7.23","0.002","16.64","0.004","90","","90.6","0.1","90","","1770.8","0.7","","","293","","","","","","","","","3","P 1 21/c 1","-P 2ybc","","","","- Al2 K2 Sb3 -","- Al2 K2 Sb3 -","- Al16 K16 Sb24 -","8","2","","Cordier, Gerhard; Ochmann, Harald; Schafer, Herbert","Na2Al2Sb3 und K2Al2Sb3, zwei neue zintlphasen mit Schichtanionen","Revue de Chimie Minerale","1984","21","","282","291","","","x-ray","0.71069","MoKα","","","","","","0.074","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1521685","10.311","","10.311","","10.311","","90","","90","","90","","1096.23","","","","","","","","","","","","","9","F d -3 m :2","-F 4vw 2vw 3","","(Ca0.91 Sb0.27 Fe0.19 Al0.10 Na0.10 Mn0.06) (Sb1.28 Ti0.72) O6 (O H)","","- Al0.1 Ca0.91 Fe0.19 H Mn0.06 Na0.1 O7 Sb1.55 Ti0.72 -","- Al0.1 Ca0.91 Fe0.19 Mn0.06 Na0.1 O7 Sb1.55 Ti0.72 -","- Al0.8 Ca7.28 Fe1.52 Mn0.48 Na0.8 O56 Sb12.4 Ti5.76 -","8","0.0416667","","Zubkova, N.V.; Pushcharovskii, D.Yu.; Atencio, D.; Arakcheeva, A.V.; Matioli, P.A.","The crystal structure of lewisite, (Ca, Sb(3+), Fe(3+), Al, Na, Mn, (vac))2 (Sb(5+), Ti)2 O6 (O H)","Journal of Alloys Compd.","2000","296","","75","79","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1523912","4.03","","4.03","","5.13","","90","","90","","120","","72.154","","","","","","","","","","","","","3","P 63/m m c","-P 6c 2c","","(Al Sb) Ni3","","- Al Ni3 Sb -","- Al Ni3 Sb -","- Al Ni3 Sb -","1","0.0416667","","Jan, C.-H.; Chang, Y.A.","The existence of Ni3 M Sb phases in ternary nickel-M-antimony systems (where M represents Al, Ga, In)","Journal of Materials Research","1991","6","","2660","2665","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1530061","7.158","","7.552","","16.014","","89.06","","104.32","","84.97","","834.894","","","","","","","","","","","","","8","P -1","-P 1","","(As1.47 Sb0.47) (Ti5.63 V2.11 Fe3.94 Al0.32) O23 (O H)","","- Al0.32 As1.47 Fe3.94 H O24 Sb0.47 Ti5.63 V2.11 -","- Al0.324 As1.474 Fe3.936 O24 Sb0.47 Ti5.628 V2.112 -","- Al0.648 As2.948 Fe7.872 O48 Sb0.94 Ti11.256 V4.224 -","2","1","","Harris, D.C.; Hoskins, B.F.; Grey, I.E.; Criddle, A.J.; Stanley, C.J.","Hemloite (As, Sb)2 (Ti, V, Fe, Al)12 O23 (O H): A new mineral from the Hemlo gold deposit, Hemlo, Ontario, and its crystal structure","Canadian Mineralogist","1989","27","","427","440","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
