# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:24:32+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Al[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Si[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1000028","8.875","0.001","8.875","0.001","8.875","0.001","90","","90","","90","","699","0.1","","","","","","","","","","","","5","P -4 3 n","P -4n 2 3","","Tetrasodium trialuminium tris(silicate) chloride","Sodalite","- Al6 Cl2 Na8 O24 Si6 -","- Al6 Cl2 Na8 O24 Si6 -","- Al6 Cl2 Na8 O24 Si6 -","1","0.0416667","","Hassan, I.; Grundy, H. D.","The Crystal Structures of Sodalite-Group Minerals","Acta Crystallographica, Section B: Structural Science","1984","40","1","6","13","10.1107/s0108768184001683","","","","","","0.017","","","","","","","","","","","","","","","has coordinates","203897","2020-10-21","18:00:00",""
"1000029","7.82927","0.00007","7.82927","0.00007","5.70757","0.00006","90","","90","","120","","303","","","","","","","","","","","","","5","P 3 1 c","P 3 -2c","","Yttrium alumosilicate nitrogen oxide *","","- Al2.7 N15.1 O0.9 Si9.3 Y0.5 -","- Al2.76 N15.04 O0.96 Si9.24 Y0.544 -","- Al2.76 N15.04 O0.96 Si9.24 Y0.544 -","1","0.166667","","Izumi, F.; Mitomo, M.; Bando, Y.","Rietveld refinements for calcium and yttrium containing α-sialons","Journal of Materials Science","1984","19","9","3115","3120","10.1007/BF01026991","","","","","","0.059","","","","","","","","","","","","","","","has coordinates","200129","2020-10-21","18:00:00",""
"1000034","8.173","0.001","12.869","0.001","14.165","0.001","93.113","0.006","115.913","0.006","91.261","0.006","1336.3","","","","","","","","","","","","from Val Plasmeda, Tyrol, Austria","4","P -1","-P 1","","Calcium tecto-dialumodisilicate","Anorthite","- Al2 Ca O8 Si2 -","- Al2 Ca O8 Si2 -","- Al16 Ca8 O64 Si16 -","8","4","","Wainwright, J E; Starkey, J","A refinement of the structure of anorthite","Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977)","1971","133","","75","84","","","","","","","0.06","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1000035","9.699","0.001","8.844","0.001","5.272","0.001","90","","106.97","0.02","90","","432.5","","","","","","","","","","","","from Kakanui, New Zealand","7","C 1 2/c 1","-C 2yc","","Sodium calcium magnesium iron titanium alumosilicate *","Augite","- Al0.34 Ca0.6 Fe0.2 Mg0.9 Na0.1 O6 Si1.82 -","- Al0.342 Ca0.616 Fe0.21 Mg0.902 Na0.09 O6 Si1.82 Ti0.02 -","- Al1.368 Ca2.464 Fe0.84 Mg3.608 Na0.36 O24 Si7.28 Ti0.08 -","4","0.5","","Clark, J R; Appleman, D E; Papike, J J","Crystal-Chemical Characterization of Clinopyroxenes based on Eight New Structure Refinements","Mineralogical Society of America: Special Papers","1969","2","","31","50","","","","","","","0.049","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1000038","5.345","0.001","9.258","0.002","10.222","0.002","90","","100.23","0.02","90","","497.8","","","","","","","","","","","","from Valle de Cervo, Vercelli, Italy","7","C 1 2/m 1","-C 2y","","Potassium iron dimagnesium phyllo-alumotrisilicate dihydroxide","Biotite","- Al Fe H2 K Mg2 O12 Si3 -","- Al Fe H2 K Mg2 O12 Si3 -","- Al2 Fe2 H4 K2 Mg4 O24 Si6 -","2","0.25","","Brigatti, M F; Davoli, P","Crystal structure refinement of 1M plutonic biotites","American Mineralogist","1990","75","","305","313","","","","","","","0.021","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1000042","5.189","0.01","8.995","0.02","20.09698","0.005","90","","95.18","0.08","90","","934.2","","","","","","","","","","","","","5","C 1 2/c 1","-C 2yc","","Potassium trialuminium dihydroxide trisilicate","Muscovite 2M1","- Al3 H2 K O12 Si3 -","- Al3 H3 K O12 Si3 -","- Al12 H12 K4 O48 Si12 -","4","0.5","","Gatineau, L","Localisation des remplacements isomorphiques dans la Muscovite","Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences (1884 - 1965)","1963","256","","4648","4649","","","","","","","0.12","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1000048","7.685","0.0004","7.685","0.0004","5.0636","0.0003","90","","90","","90","","299.1","","","","","","","","","","annealed at 1250 C for 2 d","","synthetic, glas annealed at 1250 C for 2 d","4","P -4 21 m","P -4 2ab","","Dicalcium aluminium alumosilicate","Gehlenite","- Al2 Ca2 O7 Si -","- Al2 Ca2 O7 Si -","- Al4 Ca4 O14 Si2 -","2","0.25","","Swainson, I P; Dove, M T; Schmahl, W W; Putnis, A","Neutron Diffraction Study of the Akermanite-Gehlenite Solid Solution Series","Physics and Chemistry of Minerals (Germany)","1992","19","","185","195","","","","","","","0.059","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001031","5.351","","9.262","","15.03","","90","","96.83","","90","","739.6","","","","","","","","","","","","","8","C 1 2/m 1","-C 2y","","Aluminium calcium iron iron(III) magnesium titanium silicate hydroxide hydrate *","","- Al3.36 Ca0.86 Fe0.41 H16.74 Mg4.04 O30.42 Si5.53 Ti0.08 -","- Al3.36 Ca0.86 Fe0.414 H4.16 Mg4.044 O30.32 Si5.528 Ti0.084 -","- Al3.36 Ca0.86 Fe0.414 H4.16 Mg4.044 O30.32 Si5.528 Ti0.084 -","1","0.125","","de la Calle, C; Pezerat, H; Gasperin, M","Problemes d'ordre-desordre dans les vermiculites structure du mineral calcique hydrate a 2 couches","Journal de Physique (Paris), Colloque.","1977","38","","128","133","","","","","","","0.168","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1001771","8.82","","12.992","","7.161","","90","","116.4","","90","","735","","","","","","","","","","","","sanidine - artificial from gel at 873 K, 1 kbar, for 7 d","4","C 1 2/m 1","-C 2y","Rubidium feldspar","Rubidium tecto-alumotrisilicate","","- Al O8 Rb Si3 -","- Al O8 Rb Si3 -","- Al4 O32 Rb4 Si12 -","4","0.5","","Gasperin, M","Structure cristalline de Rb Al Si3 O8","Acta Crystallographica B (24,1968-38,1982)","1971","27","","854","855","10.1107/S0567740871003078","","","","","","0.07","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001818","5.34","0.002","9.524","0.002","10.235","0.003","90","","100.07","0.02","90","","512.5","","","","","","","","","","","","from Franklin Furnace, New Jersey, USA","13","C 1 2/m 1","-C 2y","","Potassium sodium barium magnesium zinc manganese iron aluminium titanium chromium silicon oxide hydroxide *","Hendricksite 1M","- Al1.15 Ba0.04 Cr0.01 Fe0.25 H2 K0.89 Mg1.57 Mn0.4 Na0.1 O12 Si2.92 Ti0.07 Zn0.54 -","- Al1.1376 Ba0.04 Cr0.006 Fe0.252 H3 K0.89 Mg1.572 Mn0.4002 Na0.1 O12 Si2.92 Ti0.072 Zn0.54 -","- Al2.2752 Ba0.08 Cr0.012 Fe0.504 H6 K1.78 Mg3.144 Mn0.8004 Na0.2 O24 Si5.84 Ti0.144 Zn1.08 -","2","0.25","","Robert, J L; Gasperin, M","Crystal Structure Refinement of Hendricksite, a Zn- and Mn-rich Trioctahedral Potassium Mica: a Contribution to the Crystal Chemistry of Zinc-Bearing Minerals","TMPM. Tschermaks Mineralogische und Petrographische Mitteilungen (1979-)","1985","34","","1","14","10.1007/BF01082453","","","","","","0.072","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1008746","11.94","0.01","11.94","0.01","11.94","0.01","90","","90","","90","","1702.2","","","","","","","","","","","","","5","I a -3 d","-I 4bd 2c 3","","Aluminium calcium silicate hydroxide (2/3/2.2/3.4)","Hibschite","- Al2 Ca3 H3.36 O12 Si2.16 -","- Al2 Ca3 H3.36 O12 Si2.16 -","- Al16 Ca24 H26.88 O96 Si17.28 -","8","0.0833333","","Cohen-Addad, C; Ducros, P; Bertaut, E F","Etude de la substitution du groupement Si O4 par (O H)4 dans les composes Al2 Ca3 (O H)12 et Al2 Ca3 (Si O4)2.16 (O H)3.36 de type grenat","Acta Crystallographica (1,1948-23,1967)","1967","23","","220","230","10.1107/S0365110X67002518","","","","","","","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1008753","10.01","","10.01","","8.405","","90","","90","","120","","729.4","","","","","","","","","","","","","5","P 63","P 6c","","Potassium trisodium tetraaluminium silicate","Nepheline","- Al4 K Na3 O16 Si4 -","- Al4 K Na3 O16 Si4 -","- Al8 K2 Na6 O32 Si8 -","2","0.333333","","Buerger, M J; Klein, G E; Donnay, G","Determination of the crystal structure of nepheline","American Mineralogist","1954","39","","805","818","","","","","","","","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008754","10.05","","10.05","","8.38","","90","","90","","120","","733","","","","","","","","","","","","","5","P 63","P 6c","","Potassium trisodium tetraalumotetrasilicate","Nepheline","- Al4 K Na3 O16 Si4 -","- Al4 K Na3 O16 Si4 -","- Al8 K2 Na6 O32 Si8 -","2","0.333333","","Buerger, M J; Klein, G E; Hamburger, G","The structure of nepheline","American Mineralogist","1947","32","","197","197","","","","","","","","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008755","7.11","0.01","7.83","0.01","5.58","0.01","89.88","0.12","101.23","0.12","106.1","0.12","292.3","","","","","","","","","","","","","3","P -1","-P 1","","Dialuminium silicate oxide","Kyanite","- Al2 O5 Si -","- Al2 O5 Si -","- Al8 O20 Si4 -","4","2","","de Rango, C; Tsoucaris, G; Zelwer, C; Devaux, J","Comparaison de deux affinements de la structure de la cyanite","Bulletin de la Societe Francaise de Mineralogie et de Cristallographie (72,1949-100,1977)","1966","89","","419","424","","","","","","","0.015","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008757","8.176","0.003","12.841","0.003","14.207","0.003","93.53","0.03","116.27","0.05","89.77","0.05","1334.5","","","","","","","","","","","","from Labrador, Canada","5","C -1","-P 1 (1/2*x+1/2*y,1/2*x-1/2*y,-z)","","Sodium calcium alumosilicate *","Anorhtite sodian","- Al1.52 Ca0.52 Na0.48 O8 Si2.48 -","- Al1.5 Ca0.52 Na0.48 O8 Si2.5 -","- Al12 Ca4.16 Na3.84 O64 Si20 -","8","","","Klein, S; Korekawa, M","Die gemittelte Struktur des Labradorits","Neues Jahrbuch fuer Mineralogie. Monatshefte (Band=Jahr) (1950-)","1976","1976","","66","69","","","","","","","0.077","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1008759","7.11","0.01","7.83","0.01","5.58","0.01","89.9","0.1","101.2","0.1","106.1","0.1","292.3","","","","","","","","","","","","","3","P -1","-P 1","","Dialuminium silicate oxide","Kyanite","- Al2 O5 Si -","- Al2 O5 Si -","- Al8 O20 Si4 -","4","2","","de Rango, C; Tsoucaris, G; Zelwer, C; Devaux, J","Comparaison de deux affinements de la structure de la cyanite","Bulletin de la Societe Francaise de Mineralogie et de Cristallographie (72,1949-100,1977)","1966","89","","419","424","","","","","","","0.1","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008761","10.05","","10.05","","8.38","","90","","90","","120","","733","","","","","","","","","","","","","4","P 63","P 6c","","Sodium aluminium silicate","Nepheline","- Al Na O4 Si -","- Al Na O4 Si -","- Al8 Na8 O32 Si8 -","8","1.33333","","Buerger, M J; Klein, G E; Hamburger, G","Structure of Nepheline","Geological Society of America, Bulletin","1946","57","","1182","1183","","","","","","","","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1010316","9.06","","9.06","","9.06","","90","","90","","90","","743.7","","","","","","","","","","","","","6","P -4 3 n","P -4n 2 3","","Silicon aluminium sodium sulfide oxide hydrate *","","- Al6 H1.2 Na8 O24.6 S2.5 Si6 -","- Al6 H2.4 Na8 O24.6 S2.496 Si6 -","- Al6 H2.4 Na8 O24.6 S2.496 Si6 -","1","0.0416667","","Podschus, E; Hofmann, U; Leschewski, K","Roentgenographische Strukturuntersuchungen von Ultramarinblau und seinen Reaktionsprodukten","Zeitschrift fuer Anorganische und Allgemeine Chemie","1936","228","","305","333","10.1002/zaac.19362280402","","","","","","","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
