# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:31:37+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Al[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Sn[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1509832","4.102","","4.102","","4.102","","90","","90","","90","","69.022","","","","","","","","","","","","","3","F m -3 m","-F 4 2 3","","(Ag16 Al Sn)0.22","","- Ag3.56 Al0.22 Sn0.22 -","- Ag3.56 Al0.22 Sn0.22 -","- Ag3.56 Al0.22 Sn0.22 -","1","0.00520833","","Barat, S.; Mukherjee, J.K.","Silver-rich alloys of the systems silver-aluminium-germanium and silver-aluminium-tin","Indian Journal of Technology","1975","13","","510","519","","","","","","","","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1518024","11.5394","0.0006","12.469","0.0007","17.7","0.001","105.191","0.002","100.053","0.002","107.994","0.002","2245.2","0.2","100","2","100","2","","","","","","","","7","P -1","-P 1","","","","- C36 H66 Al Br5 P2 Pt Sn -","- C36 H66 Al Br5 P2 Pt Sn -","- C72 H132 Al2 Br10 P4 Pt2 Sn2 -","2","1","","Braunschweig, Holger; Celik, Mehmet Ali; Dewhurst, Rian D.; Heid, Magdalena; Hupp, Florian; Sen, Sakya S.","Stepwise isolation of low-valent, low-coordinate Sn and Pb mono- and dications in the coordination sphere of platinum","Chem. Sci.","2015","6","1","425","","10.1039/C4SC02948H","","","0.71073","MoKα","","0.0359","0.0313","","","0.0805","0.0824","","","","","","1.061","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1518026","13.2989","0.0018","22.907","0.003","16.964","0.004","90","","99.008","0.007","90","","5104.1","1.5","100","2","100","2","","","","","","","","7","P 1 21/n 1","-P 2yn","","","","- C36 H66 Al2 Br8 P2 Pt Sn -","- C36 H66 Al2 Br8 P2 Pt Sn -","- C144 H264 Al8 Br32 P8 Pt4 Sn4 -","4","1","","Braunschweig, Holger; Celik, Mehmet Ali; Dewhurst, Rian D.; Heid, Magdalena; Hupp, Florian; Sen, Sakya S.","Stepwise isolation of low-valent, low-coordinate Sn and Pb mono- and dications in the coordination sphere of platinum","Chem. Sci.","2015","6","1","425","","10.1039/C4SC02948H","","","0.71073","MoKα","","0.0367","0.0285","","","0.0669","0.0693","","","","","","1.035","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1520939","5.692","","5.692","","13.785","","90","","90","","120","","386.783","","","","","","","","","","","","","7","P -3 m 1","-P 3 2""","","Mg2 (Zn0.68 Fe0.26 Al1.06) (Sn1.21 Fe0.79) Al9.71 O22 (O H)2","","- Al10.77 Fe1.05 H2 Mg2 O24 Sn1.21 Zn0.68 -","- Al10.769 Fe1.05 Mg2 O24 Sn1.21 Zn0.68 -","- Al10.769 Fe1.05 Mg2 O24 Sn1.21 Zn0.68 -","1","0.0833333","","Chen, J.-Z.; Shi, Y.-C.; Pan, Z.-L.; Peng, Z.-Z.","The crystal structure and crystal chemistry of a new mineral, pengzhizongite-6H","Diqiu Kexue","1989","14","","413","422","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1534663","9.4231","","12.2575","","9.4842","","90","","96.421","","90","","1088.59","","","","","","","","","","","","","4","P 1 21/n 1","-P 2yn","","Sn Al2 O Cl6","","- Al2 Cl6 O Sn -","- Al2 Cl6 O Sn -","- Al8 Cl24 O4 Sn4 -","4","1","","Assoud, A.; Meyer, G.","Sn Al2 O Cl6, ein quaternaeres Oxidchlorid mit kantenverknuepften (Al4 O2 Cl10)-Tetrameren und ((Sn Cl2/2 Cl5)2)-Dimeren","Zeitschrift fuer Anorganische und Allgemeine Chemie","2001","627","","921","924","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1536460","8.2101","","8.2101","","5.106","","90","","90","","120","","298.063","","","","","","","","","","","","","5","P 3 2 1","P 3 2""","","La3 (Sn Ga3.1 Al1.9 O14)","","- Al1.9 Ga3.1 La3 O14 Sn -","- Al1.902 Ga3.096 La3 O14 Sn -","- Al1.902 Ga3.096 La3 O14 Sn -","1","0.166667","","Park, S.; Keszler, D.A.","Cation ordering in langasite structure types","Solid State Sciences","2002","4","","799","802","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1538209","5.53","","5.53","","55.6","","90","","90","","120","","1472.5","","","","","","","","","","","","","6","R -3 m :H","-R 3 2""","","Al14.9 Sn2 Fe2.8 Zn1.4 O30 (O H)2","","- Al14.9 Fe2.8 H2 O32 Sn2 Zn1.4 -","- Al14.9 Fe2.8 O32 Sn2 Zn1.4 -","- Al44.7 Fe8.4 O96 Sn6 Zn4.2 -","3","0.0833333","","Grey, I.E.; Gatehouse, B.M.","The crystal structure of nigerite - 24R","American Mineralogist","1979","64","","1255","1264","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1563255","12.5309","0.0003","12.5309","0.0003","12.5309","0.0003","90","","90","","90","","1967.65","0.08","293","2","293","2","","","","","","","","5","I a -3 d","-I 4bd 2c 3","calcium titanium tin aluminum oxide","tricalcium 0.8titanium 2.2tin dialuminate","","- Al2 Ca3 O12 Sn2.2 Ti0.8 -","- Al2.01 Ca3 O12 Sn2.201 Ti0.798 -","- Al16.08 Ca24 O96 Sn17.608 Ti6.384 -","8","0.0833333","","Yamane, Hisanori; Kawano, Tetsuya","Preparation, crystal structure and photoluminescence of garnet-type calcium tin titanium aluminates","Journal of Solid State Chemistry","2011","184","5","965","970","10.1016/j.jssc.2011.02.016","","","0.71075","MoKα","","0.0277","0.0262","","","0.0657","0.0663","","","","","","1.373","","","","has coordinates,has Fobs","266295","2021-06-09","08:22:41",""
"2020747","4.717","0.0007","4.717","0.0007","17.077","0.003","90","","90","","120","","329.06","0.09","293","2","293","2","","","","","","","","3","P -3 m 1","-P 3 2""","","Nonalithium tetraaluminium pentastannide","","- Al4 Li9 Sn5 -","- Al4 Li9 Sn5 -","- Al4 Li9 Sn5 -","1","0.0833333","","Pavlyuk, Volodymyr; Dmytriv, Grygoriy; Tarasiuk, Ivan; Ehrenberg, Helmut","Li~9~Al~4~Sn~5~ as a new ordered superstructure of the Li~13~Sn~5~ type","Acta Crystallographica Section C","2017","73","4","","","10.1107/S205322961700420X","","","0.71073","MoKα","","0.0243","0.0205","","","0.0644","0.0663","","","","","","1.103","","","","has coordinates,has Fobs","194406","2020-10-21","18:00:00",""
"2212176","15.8202","0.0005","7.6963","0.0003","7.4449","0.0003","90","","101.293","0.002","90","","888.92","0.06","293","2","295","2","","","","","","","","6","P 1 21/a 1","-P 2yab","eakerite","dicalcium tin dialuminosilicate dihydroxide dihydrate","","- Al2 Ca2 H6 O22 Si6 Sn -","- Al2 Ca2 H6 O22 Si6 Sn -","- Al4 Ca4 H12 O44 Si12 Sn2 -","2","0.5","HB2229","Uchida, Hinako; Downs, Robert T.; Thompson, Richard M.","Reinvestigation of eakerite, Ca~2~SnAl~2~Si~6~O~18~(OH)~2~·2H~2~O: H-atom positions by single-crystal X-ray diffraction and correlation with Raman spectroscopic data","Acta Crystallographica Section E","2007","63","2","i47","i49","10.1107/S1600536807002000","","","0.71073","MoKα","","0.0358","0.0267","","","0.0625","0.0656","","","","","","1.05","","","","has coordinates","176787","2020-10-21","18:00:00",""
"2227193","8.9866","0.0006","5.4894","0.0011","14.903","0.0018","90","","90","","90","","735.18","0.18","293","2","293","2","","","","","","","","4","P b c n","-P 2n 2ab","calcium tin aluminum oxide","dicalcium nonaoxydistanate(IV) dialuminate","","- Al2 Ca2 O9 Sn2 -","- Al2 Ca2 O9 Sn2 -","- Al8 Ca8 O36 Sn8 -","4","0.5","BR2147","Yamane, Hisanori; Abe, Shunsuke; Tu, Rong; Goto, Takashi","A ramsayite-type oxide, Ca~2~Sn~2~Al~2~O~9~","Acta Crystallographica Section E","2010","66","10","i72","","10.1107/S1600536810036445","","","0.71075","MoKα","","0.0193","0.0178","","","0.0425","0.0431","","","","","","1.079","","","","has coordinates,has Fobs","176789","2020-10-21","18:00:00",""
"2230982","9.798","0.0008","9.798","0.0008","9.798","0.0008","90","","90","","90","","940.62","0.13","296","2","296","2","","","","","","","","5","P 21 3","P 2ac 2ab 3","","Dipotassium aluminium tin(IV) tris[phosphate(V)]","","- Al K2 O12 P3 Sn -","- Al K2 O12 P3 Sn -","- Al4 K8 O48 P12 Sn4 -","4","0.333333","FI2112","Li, Hai-Yan; Zhao, Dan","A new langbeinite-type phosphate: K~2~AlSn(PO~4~)~3~","Acta Crystallographica, Section E","2011","67","10","i56","i56","10.1107/S1600536811037263","","","0.71073","MoKα","","0.0308","0.0287","","","0.0735","0.074","","","","","","1.179","","","","has coordinates,has Fobs","176798","2020-10-21","18:00:00",""
"2242993","8.7512","0.0005","9.1357","0.0006","11.2803","0.0007","85.524","0.005","72.769","0.005","86.926","0.005","858.3","0.09","213","2","213","2","","","","","","","","5","P -1","-P 1","","<i>catena</i>-Poly[[chloridoaluminate(III)]-tri-μ-chlorido-4':1κ^2^<i>Cl</i>,1:2κ^4^<i>Cl</i>-[(η^6^-1,2,3,4-tetramethylbenzene)tin(II)]-di-μ-chlorido-2:3κ^4^<i>Cl</i>-[(η^6^-1,2,3,4-tetramethylbenzene)tin(II)]-di-μ-chlorido-3:4κ^4^<i>Cl</i>-[chloridoaluminate(III)]-μ-chlorido-4:1'κ^2^<i>Cl</i>]","","- C20 H28 Al2 Cl10 Sn2 -","- C20 H28 Al2 Cl10 Sn2 -","- C20 H28 Al2 Cl10 Sn2 -","1","0.5","WM5510","Merkelbach, Johannes; Frank, Walter","Synthesis, detailed geometric analysis and bond-valence method evaluation of the strength of π-arene bonding of two isotypic cationic prehnitene tin(II) complexes: [{1,2,3,4-(CH~3~)~4~C~6~H~2~}~2~Sn~2~Cl~2~][<i>M</i>Cl~4~]~2~ (<i>M</i> = Al and Ga)","Acta Crystallographica Section E","2019","75","7","1051","1056","10.1107/S2056989019008508","","","0.71073","MoKα","","0.0312","0.0276","","","0.0563","0.0575","","","","","","1.243","","","","has coordinates,has Fobs","216560","2020-10-21","18:00:00",""
"4002357","8.655","","8.655","","5.871","","90","","90","","120","","380.87","","","","","","","","","","","","","3","P 63/m c m","-P 6c 2","","","","- Al Sn3 Zr5 -","- Al Sn3 Zr5 -","- Al2 Sn6 Zr10 -","2","0.0833333","","Kwon Young-Uk; Corbett, J.D.","Chemistry in polar intermetallic compounds. The interstitial chemistry of Zr5 Sn3","Chemistry of Materials (1,1989-)","1992","4","","1348","1355","","","","","","","","","","","","","","","","","","","","","","has coordinates","211196","2020-10-21","18:00:00",""
"4002656","6.405","0.0006","6.405","0.0006","6.1427","0.0006","90","","90","","120","","218.24","0.04","293","2","293","2","","","","","","","","3","P 61 2 2","P 61 2 (0 0 5)","","","","- Al1.62 Na1.62 Sn4.38 -","- Al1.62 Na1.62 Sn4.38 -","- Al1.62 Na1.62 Sn4.38 -","1","0.0833333","","Kanno, Masahiro; Yamada, Takahiro; Yamane, Hisanori; Nagai, Hideaki","Synthesis, Crystal Structure, and Thermoelectric Properties of Na2+xAl2+xSn4‒x(x= −0.38, ‒0.24)","Chemistry of Materials","2016","28","2","601","","10.1021/acs.chemmater.5b04239","","","0.71075","MoKα","","0.012","0.0108","","","0.0216","0.0219","","","","","","1.128","","","","has coordinates","208253","2020-10-21","18:00:00",""
"4002657","6.3984","0.0003","6.3984","0.0003","6.1529","0.0003","90","","90","","120","","218.149","0.018","293","2","293","2","","","","","","","","3","P 61 2 2","P 61 2 (0 0 5)","","","","- Al1.76 Na1.76 Sn4.24 -","- Al1.758 Na1.758 Sn4.242 -","- Al1.758 Na1.758 Sn4.242 -","1","0.0833333","","Kanno, Masahiro; Yamada, Takahiro; Yamane, Hisanori; Nagai, Hideaki","Synthesis, Crystal Structure, and Thermoelectric Properties of Na2+xAl2+xSn4‒x(x= −0.38, ‒0.24)","Chemistry of Materials","2016","28","2","601","","10.1021/acs.chemmater.5b04239","","","0.71075","MoKα","","0.0134","0.0126","","","0.0263","0.0266","","","","","","1.119","","","","has coordinates","208253","2020-10-21","18:00:00",""
"4079040","18.1509","0.0006","14.6816","0.0005","20.8826","0.0007","90","","111.156","0.001","90","","5189.8","0.3","103","2","103","2","","","","","","","","7","P 1 21/c 1","-P 2ybc","","","","- C41 H34 Al Cl9 P4 S4 Sn2 -","- C41 H34 Al Cl9 P4 S4 Sn2 -","- C164 H136 Al4 Cl36 P16 S16 Sn8 -","4","1","","Yang, Yi-Fan; Foo, Cechao; Ganguly, Rakesh; Li, Yongxin; So, Cheuk-Wai","Synthesis of a Tin(II) 1,3-Benzobis(thiophosphinoyl)methanediide Complex and Its Reactions with Aluminum Compounds","Organometallics","2012","31","18","6538","","10.1021/om300345u","","","0.71073","MoKα","","0.0707","0.0488","","","0.1298","0.1545","","","","","","1.133","","","","has coordinates,has disorder","178679","2020-10-21","18:00:00",""
