# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T04:02:11+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " As[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " In[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1008525","14.323","0.003","7.106","0.002","15.795","0.003","90","","90.3","0.02","90","","1607.6","","","","","","","","","","","","","3","P 1 21/c 1","-P 2ybc","","Tetrapotassium phyllo-hexaarsenidotetraindate","","- As6 In4 K4 -","- As6 In4 K4 -","- As24 In16 K16 -","4","1","","Birdwishtell, T L T; Klein, C L; Jeffries, T; Stevens, E D; O'Connor, C J","Synthesis and crystal structures of the layered I-III-V Zintl phases, K~4~In~4~X~6~, where X=As, Sb","Journal of Materials Chemistry","1991","1","4","555","558","10.1039/jm9910100555","","","","","","0.035","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1011353","6.036","","6.036","","6.036","","90","","90","","90","","219.9","","","","","","","","","","","","","2","F -4 3 m","F -4 2 3","","Indium arsenide","","- As In -","- As In -","- As4 In4 -","4","0.0416667","","Iandelli, A","Sulla struttura dei composti In P, In As e In Sb","Gazzetta Chimica Italiana","1940","70","","58","62","","","","","","","","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1531142","9.09","","10.344","","10.468","","90","","90","","90","","984.274","","","","","","","","","","","","","4","P b c a","-P 2ac 2ab","","In (As O4) (H2 O)2","","- As H4 In O6 -","- As H4 In O6 -","- As8 H32 In8 O48 -","8","1","","Chen Zhenxia; Zhao, D.-Y.; Weng, L.-H.; Zhou, Y.-M.; Zhang, H.-Y.","Synthesis and structure of a new three-dimensional microporous indium arsenate","Hua Hsueh Hsueh Pao","2002","60","","305","309","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1534406","8.8013","","9.6512","","14.721","","85.486","","85.96","","86.362","","1241.36","","","","","","","","","","","","","3","P -1","-P 1","","","","- As6 Cs7 In3 -","- As6 Cs7 In3 -","- As12 Cs14 In6 -","2","1","","Gascoin, F.; Sevov, S.C.","Cubane with a Handle: [{In3As5}-As]7- in Cs7In3As6","Angewandte Chemie (Edition international)","2002","41","","1232","1234","","","","","","","","","","","","","","","","","","","","","","has coordinates","211196","2020-10-21","18:00:00",""
"1534410","8.8101","","9.6639","","14.7484","","85.421","","85.961","","86.421","","1246.52","","","","","","","","","","","","","4","P -1","-P 1","","Cs7 ((In3 As4 Nb) As)","","- As5 Cs7 In3 Nb -","- As5 Cs7 In3 Nb -","- As10 Cs14 In6 Nb2 -","2","1","","Gascoin, F.; Sevov, S.C.","Cubane with a handle: ((In3 As4 Nb) - As)(7-) in Cs7 Nb In3 As5","Angew. Chem. Int. ed.","2002","41","","1232","1234","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1534582","20.323","","15.269","","16.014","","90","","94.06","","90","","4956.86","","","","","","","","","","","","","7","C 1 2/m 1","-C 2y","","Na2 K2 H2 ((In (H2 O)3)2 (In (H2 O)2)2 (As W9 O33)2) (H2 O)37","","- As2 H96 In4 K2 Na2 O113 W18 -","- As2 In4 K2 Na2 O113 W18 -","- As4 In8 K4 Na4 O226 W36 -","2","0.25","","Limanski, E.M.; Drewes, D.; Krebs, B.","Sandwichartige Polyoxowolframate mit Indium(III) als Heteroatom - Synthese und Charakterisierung der ersten Vertreter einer neuen Familie von Anionen","Zeitschrift fuer Anorganische und Allgemeine Chemie","2004","630","","523","528","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1535065","6.058","","6.058","","6.058","","90","","90","","90","","222.325","","","","","","","","","","","","","2","F -4 3 m","F -4 2 3","","In As","","- As In -","- As In -","- As4 In4 -","4","0.0416667","","Massidda, S.; Continenza, A.; Freeman, A.J.; de Pascale, T.M.; Meloni, F.; Serra, M.","Structural and electronic properties of narrow-band-gap semiconductors: In P, In As, and In Sb","Physical Review, Serie 3. B - Condensed Matter (18,1978-)","1990","41","","12079","12085","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1536301","12.109","","12.109","","12.109","","90","","90","","90","","1775.52","","","","","","","","","","","","","4","P a -3","-P 2ac 2ab 3","","(Hg6 As4) (In Cl6) Cl","","- As4 Cl7 Hg6 In -","- As4 Cl7 Hg6 In -","- As16 Cl28 Hg24 In4 -","4","0.166667","","Olenev, A.V.; Tyablikov, A.S.; Shatruk, M.M.; Baranov, A.I.; Shevel'kov, A.V.","Synthesis and the crystal structure of (Hg As4) (In Cl6) Cl: influence of covalent and electrostatic factors on the supramolecular structure","Izvestiya Akad. Nauk, Seriya Khimicheskaya","2002","51","","414","418","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1537448","6.048","","6.048","","6.048","","90","","90","","90","","221.226","","","","","","","","","","","","","2","F -4 3 m","F -4 2 3","","In As","","- As In -","- As In -","- As4 In4 -","4","0.0416667","","Iandelli, A.","Sulla struttura dei composti In P, In As e In Sb","Gazzetta Chimica Italiana","1941","71","","58","62","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1547346","15.7992","0.0006","15.7992","0.0006","24.954","0.002","90","","90","","90","","6228.9","0.6","100","2","100","2","","","","","","","","7","I 4/m","-I 4","","","","- C48 H100 As8 In Na5 O62 Pd12 -","- C48 H40 As8 In O50 Pd12 -","- C96 H80 As16 In2 O100 Pd24 -","2","0.125","","Lang, Zhongling; Yang, Peng; Lin, Zhengguo; Yan, Li-Kai; Li, Ming-Xing; Carbó, Jorge J.; Kortz, Ulrich; Poblet, Josep M.","Size and Charge Effect of Guest Cations in Formation of Polyoxopalladates: A Theoretical and Experimental Study","Chem. Sci.","2017","","","","","10.1039/C7SC03441E","","","0.71073","MoKα","","0.0647","0.0552","","","0.196","0.2143","","","","","","1.012","","","","has coordinates","201289","2020-10-21","18:00:00",""
