# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T04:02:37+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " As[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Sb[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1008981","5.789","","3.76","","6.474","","90","","90","","90","","140.9","","","","","","","","","","","","","3","P n m a","-P 2ac 2n","","Chromium arsenide antimonide (1/0.5/0.5) - LT","","- As0.5 Cr Sb0.5 -","- As0.5 Cr Sb0.5 -","- As2 Cr4 Sb2 -","4","0.5","","Kallel, A; Boller, H; Bertaut, E F","Helimagnetism in Mn P-type compounds: Mn P, Fe P, Cr As and Cr A1-x Sbx","Journal of Physics and Chemistry of Solids","1974","35","","1139","1152","10.1016/S0022-3697(74)80132-0","","","","","","0.05","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1008982","5.745","","3.699","","6.406","","90","","90","","90","","136.1","","","","","","","","","","","","","3","P n m a","-P 2ac 2n","","Chromium arsenide antimonide (1/0.67/0.33)","","- As0.67 Cr Sb0.33 -","- As0.67 Cr Sb0.33 -","- As2.68 Cr4 Sb1.32 -","4","0.5","","Kallel, A; Boller, H; Bertaut, E F","Helimagnetism in Mn P-type compounds: Mn P, Fe P, Cr As and Cr A1-x Sbx","Journal of Physics and Chemistry of Solids","1974","35","","1139","1152","10.1016/S0022-3697(74)80132-0","","","","","","0.03","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1008983","5.735","","3.659","","6.355","","90","","90","","90","","133.4","","","","","","","","","","","","","3","P n m a","-P 2ac 2n","","Chromium arsenide antimonide (1/0.72/0.28)","","- As0.72 Cr Sb0.28 -","- As0.72 Cr Sb0.28 -","- As2.88 Cr4 Sb1.12 -","4","0.5","","Kallel, A; Boller, H; Bertaut, E F","Helimagnetism in Mn P-type compounds: Mn P, Fe P, Cr As and Cr A1-x Sbx","Journal of Physics and Chemistry of Solids","1974","35","","1139","1152","10.1016/S0022-3697(74)80132-0","","","","","","0.03","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1011234","5.724","0.005","5.724","","5.724","","90","","90","","90","","187.5","","","","","","","","","","","","from Carinthia, Austria","4","P 21 3","P 2ac 2ab 3","","Nickel arsenic antimony sulfide (1/0.1/0.9/1)","Ullmannite (As)","- As0.1 Ni S Sb0.9 -","- As0.1 Ni S Sb0.9 -","- As0.4 Ni4 S4 Sb3.6 -","4","0.333333","","Peacock, M A; Berry, L G","Roentgenographic observations on ore minerals","University of Toronto Studies, Geological Series","1940","44","","47","69","","","","","","","","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1011346","4.012","","4.012","","10.918","","90","","90","","120","","152.2","","","","","","","","","","","","synthetic","2","R -3 m :H","-R 3 2""","","Arsenic molybdenum (1/1)","Stibarsen","- As Sb -","- As Sb -","- As3 Sb3 -","3","0.0833333","","Trsebiatkowski, W; Bryjak, E","Roentgenanalyse des Systems Arsen-Antimon","Zeitschrift fuer Anorganische und Allgemeine Chemie","1938","238","","255","267","10.1002/zaac.19382380210","","","","","","","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1100492","26.667","0.006","7.921","0.003","25.604","0.002","90","","95.84","0.01","90","","5380.25","","","","","","","","","","","","","7","C 1 2/c 1","-C 2yc","","","","- C6 H18 As Cl11 N2 P2 Sb2 -","- C6 As Cl11 N2 P2 Sb2 -","- C48 As8 Cl88 N16 P16 Sb16 -","8","1","","Garbe, Ralf; Wocadlo, Sigrid; Kang, Hak-Chul; Massa, Werner; Harms, Klaus; Dehnicke, Kurt","Phosphaniminato-Komplexe des Arsens. Kristallstrukturen von [AsCl(NPMe~3~)]~2~Cl~2~, [AsCl(NPMe~3~)~2~SbCl~4~]SbCl~6~ und [AsCl(NPMe~3~)~2~SnCl~4~] · CH~3~CN","Chemische Berichte","1996","129","1","109","113","10.1002/cber.19961290120","","","","","","","","","","","","","","","","","","","","","has coordinates","177576","2020-10-21","18:00:00",""
"1528926","14.13","","14.21","","13.59","","90","","101","","90","","2678.57","","","","","","","","","","","","","7","C 1 2/m 1","-C 2y","","Cu5 Ca2 Sb Cl (O H)6 (As O4)4 (H2 O)6","","- As4 Ca2 Cl Cu5 H18 O28 Sb -","- As4 Ca2 Cl Cu5 O28 Sb -","- As16 Ca8 Cl4 Cu20 O112 Sb4 -","4","0.5","","Tillmann, B.; Suesse, P.","Zur Kristallstruktur eines sekundaeren Ca, Cu, Sb-Arsenats aus dem Richelsdorfer Gebirge","Fortschritte der Mineralogie, Beiheft","1982","60","","200","201","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1530061","7.158","","7.552","","16.014","","89.06","","104.32","","84.97","","834.894","","","","","","","","","","","","","8","P -1","-P 1","","(As1.47 Sb0.47) (Ti5.63 V2.11 Fe3.94 Al0.32) O23 (O H)","","- Al0.32 As1.47 Fe3.94 H O24 Sb0.47 Ti5.63 V2.11 -","- Al0.324 As1.474 Fe3.936 O24 Sb0.47 Ti5.628 V2.112 -","- Al0.648 As2.948 Fe7.872 O48 Sb0.94 Ti11.256 V4.224 -","2","1","","Harris, D.C.; Hoskins, B.F.; Grey, I.E.; Criddle, A.J.; Stanley, C.J.","Hemloite (As, Sb)2 (Ti, V, Fe, Al)12 O23 (O H): A new mineral from the Hemlo gold deposit, Hemlo, Ontario, and its crystal structure","Canadian Mineralogist","1989","27","","427","440","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1530591","4.15","","4.48","","11.85","","90","","90","","90","","220.315","","","","","","","","","","","","","4","P m n a","-P 2ac 2","","Tl2 (Sb1.5 As0.5) Se4","","- As0.5 Sb1.5 Se4 Tl2 -","- As0.5 Sb1.5 Se4 Tl2 -","- As0.5 Sb1.5 Se4 Tl2 -","1","0.125","","Pinsker, Z.G.; Khitrova, V.I.","The structural analysis of some quaternary alloys Tl-Sb-As-Se","Kristallografiya","1956","1","","300","305","","","","","","","","","","","","","","","","","","","","","","has coordinates","155724","2020-10-21","18:00:00",""
"1530592","3.99","","4.43","","11.55","","90","","90","","90","","204.154","","","","","","","","","","","","","4","P m n a","-P 2ac 2","","Tl2 (Sb0.5 As1.5) Se4","","- As1.5 Sb0.5 Se4 Tl2 -","- As1.5 Sb0.5 Se4 Tl2 -","- As1.5 Sb0.5 Se4 Tl2 -","1","0.125","","Pinsker, Z.G.; Khitrova, V.I.","The structural analysis of some quaternary alloys Tl-Sb-As-Se","Kristallografiya","1956","1","","300","305","","","","","","","","","","","","","","","","","","","","","","has coordinates","155725","2020-10-21","18:00:00",""
"1531990","12.775","","12.775","","12.775","","90","","90","","90","","2084.89","","","","","","","","","","","","","4","P a -3","-P 2ac 2ab 3","","(Hg6 As1.46 Sb2.54) (Sb Br6) Br","","- As1.46 Br7 Hg6 Sb3.54 -","- As1.462 Br7 Hg6 Sb3.538 -","- As5.848 Br28 Hg24 Sb14.152 -","4","0.166667","","Olenev, A.V.; Shatruk, M.M.; Popovkin, B.A.; Shevel'kov, A.V.","Synthesis and crystal structure of the supramolecular solid solution (Hg6 Asx Sb4-x) (Sb Br6) Br","Zhurnal Neorganicheskoi Khimii","2001","46","","1615","1618","","","","","","","","","","","","","","","","","","","","","","has coordinates","157601","2020-10-21","18:00:00",""
"1531992","12.704","","12.704","","12.704","","90","","90","","90","","2050.32","","","","","","","","","","","","","4","P a -3","-P 2ac 2ab 3","","(Hg6 As2.206 Sb1.794) (Sb Br6) Br","","- As2.206 Br7 Hg6 Sb2.794 -","- As2.206 Br7 Hg6 Sb2.794 -","- As8.824 Br28 Hg24 Sb11.176 -","4","0.166667","","Olenev, A.V.; Shatruk, M.M.; Shevel'kov, A.V.; Popovkin, B.A.","Synthesis and crystal structure of the supramolecular solid solution (Hg6 Asx Sb4-x) (Sb Br6) Br","Zhurnal Neorganicheskoi Khimii","2001","46","","1615","1618","","","","","","","","","","","","","","","","","","","","","","has coordinates","157603","2020-10-21","18:00:00",""
"1533113","6.92","","8.15","","5.51","","90","","95","","90","","309.57","","","","","","","","","","","","","3","P 1 21/m 1","-P 2yb","","As Sb F8","","- As F8 Sb -","- As F8 Sb -","- As2 F16 Sb2 -","2","0.5","","Edwards, A.J.; Sills, R.J.C.","Fluoride Crystal Structures. Part XV. Arsenic Trifluoride Antimony Pentafluoride","Journal of the Chemical Society A: Inorganic, Physical, Theoretical (1966-1971)","1971","1971","","942","945","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1533745","4.152","","4.152","","8.463","","90","","90","","90","","145.895","","","","","","","","","","","","","3","P 4/n m m :1","P 4ab 2ab -1ab","","U As Sb","","- As Sb U -","- As Sb U -","- As2 Sb2 U2 -","2","0.125","","Trojko, R.; Despotovic, Z.","Preparation and Crystal Structure of the Compound U As Sb","Journal of Nuclear Materials","1977","67","","105","108","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1535724","15.8867","","8.1333","","10.9446","","90","","90","","90","","1414.17","","","","","","","","","","","","","5","P 1 21/c 1","-P 2ybc","","","","- As Au F14 Sb2 Xe -","- As Au F14 Sb2 Xe -","- As4 Au4 F56 Sb8 Xe4 -","4","1","","Hwang, I.-C.; Seidel, S.; Seppelt, K.","Gold(I) - and Mercury(II) Xenon Complexes","Angewandte Chemie (Edition international)","2003","42","","4392","4395","","","","","","","","","","","","","","","","","","","","","","has coordinates","211196","2020-10-21","18:00:00",""
"1538491","9.98","","16.15","","11.65","","90","","90","","90","","1877.71","","","","","","","","","","","","","4","C m c 21","C 2c -2","","((P Cl4) (Sb Cl6)) (As Cl3)","","- As Cl13 P Sb -","- As Cl13 P Sb -","- As4 Cl52 P4 Sb4 -","4","0.5","","Preiss, H.; Reich, P.","Kristallchemische und spektroskopische Untersuchungen an den Verbindungen P Cl4 (Sb, Nb, Ta) Cl6 * As Cl3","Kristall und Technik","1971","6","","375","380","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
