# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T04:02:57+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " As[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Sn[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1008468","4.204","0.002","4.204","0.002","26.728","0.009","90","","90","","120","","409.1","","","","","","","","","","","","","3","R 3 m :H","R 3 -2""","","Strontium ditin arsenide","","- As2 Sn2 Sr -","- As2 Sn2 Sr -","- As6 Sn6 Sr3 -","3","0.166667","","Eisenmann, B; Klein, J","Zintl-Phasen mit Schichtanionen: Darstellung und Kristallstrukturender isotypen Verbindungen SrSn~2~As~2~ und Sr~0.87~Ba~0.13~Sn~2~As~2~ sowie eine Einkristallstrukturbestimmung von KSnSb","Zeitschrift fuer Anorganische und Allgemeine Chemie","1991","598","","93","102","10.1002/zaac.19915980109","","","","","","0.033","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1008469","4.227","0.002","4.227","0.002","26.878","0.009","90","","90","","120","","415.9","","","","","","","","","","","","","4","R 3 m :H","R 3 -2""","","Strontium barium tin arsenide (0.87/0.13/2/2)","","- As2 Ba0.13 Sn2 Sr0.87 -","- As2 Ba0.13 Sn2 Sr0.87 -","- As6 Ba0.39 Sn6 Sr2.61 -","3","0.166667","","Eisenmann, B; Klein, J","Zintl-Phasen mit Schichtanionen: Darstellung und Kristallstrukturender isotypen Verbindungen SrSn~2~As~2~ und Sr~0.87~Ba~0.13~Sn~2~As~2~ sowie eine Einkristallstrukturbestimmung von KSnSb","Zeitschrift fuer Anorganische und Allgemeine Chemie","1991","598","","93","102","10.1002/zaac.19915980109","","","","","","0.031","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1008518","4.102","0.002","4.102","0.002","12.816","0.005","90","","90","","120","","186.8","","","","","","","","","","","","","3","P 63 m c","P 6c -2c","","Potassium tin arsenide","","- As K Sn -","- As K Sn -","- As2 K2 Sn2 -","2","0.166667","","Klein, J; Eisenmann, B","Zintl-Phasen mit komplexen Anionen: Darstellung und Einkristallstrukturbestimmung von KSnAs und K~6~Sn~3~As~5~","Materials Research Bulletin","1988","23","","587","594","10.1016/0025-5408(88)90167-5","","","","","","0.042","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008519","14.8","0.006","10.728","0.005","10.934","0.005","90","","90","","90","","1736","","","","","","","","","","","","","3","P m m n :2","-P 2ab 2a","","Hexapotassium tritin(III) arsenide","","- As5 K6 Sn3 -","- As5 K6 Sn3 -","- As20 K24 Sn12 -","4","0.5","","Klein, J; Eisenmann, B","Zintl-Phasen mit komplexen Anionen: Darstellung und Einkristallstrukturbestimmung von KSnAs und K~6~Sn~3~As~5~","Materials Research Bulletin","1988","23","","587","594","10.1016/0025-5408(88)90167-5","","","","","","0.075","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1008521","13.974","0.004","7.454","0.003","6.942","0.003","90","","90","","90","","723.1","","","","","","","","","","","","","3","I b a m","-I 2 2c","","Dirubidium catena-diarsenidostannate","","- As2 Rb2 Sn -","- As2 Rb2 Sn -","- As8 Rb8 Sn4 -","4","0.25","","Eisenmann, B; Klein, J","SiS~2~-isostrukturelle Anionen (SiP~2~^2-^),(GeAs~2~^2-^) und (SnAs~2~^2-^) in Alkaliverbindungen","Journal of the Less-Common Metals","1991","175","","109","117","10.1016/0022-5088(91)90355-8","","","","","","0.078","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008524","14.657","0.004","7.733","0.003","6.953","0.003","90","","90","","90","","788.1","","","","","","","","","","","","","3","I b a m","-I 2 2c","","Dicaesium catena-diarsenidostannate","","- As2 Cs2 Sn -","- As2 Cs2 Sn -","- As8 Cs8 Sn4 -","4","0.25","","Eisenmann, B; Klein, J","SiS~2~-isostrukturelle Anionen (SiP~2~^2-^),(GeAs~2~^2-^) und (SnAs~2~^2-^) in Alkaliverbindungen","Journal of the Less-Common Metals","1991","175","","109","117","10.1016/0022-5088(91)90355-8","","","","","","0.048","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008731","4.006","0.002","4.006","0.002","27.58099","0.005","90","","90","","120","","383.3","","","","","","","","","","","","","3","R -3 m :H","-R 3 2""","","Sodium diarsenidodistannate","","- As2 Na Sn2 -","- As2 Na Sn2 -","- As6 Na3 Sn6 -","3","0.0833333","","Asbrand, M; Eisenmann, B; Klein, J","Arsenidostannate mit Arsen-analogen (Sn As) - Schichten: Darstellung und Struktur von Na (Sn2 As2), Na0.3 Ca0.7 (Sn2 As2), Na0.4 Sr0.6 (Sn2 As2), Na0.6 Ba0.4 (Sn2 As2) und K0.3 Sr0.7 (Sn2 As2)","Zeitschrift fuer Anorganische und Allgemeine Chemie","1995","621","","576","582","10.1002/zaac.19956210415","","","","","","0.036","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1008732","4.101","0.002","4.101","0.002","26.48599","0.005","90","","90","","120","","385.8","","","","","","","","","","","","","4","R -3 m :H","-R 3 2""","","Sodium calcium diarsenidodistannate (0.3/0.7/1)","","- As2 Ca0.7 Na0.3 Sn2 -","- As2 Ca0.7 Na0.3 Sn2 -","- As6 Ca2.1 Na0.9 Sn6 -","3","0.0833333","","Asbrand, M; Eisenmann, B; Klein, J","Arsenidostannate mit Arsen-analogen (Sn As) - Schichten: Darstellung und Struktur von Na (Sn2 As2), Na0.3 Ca0.7 (Sn2 As2), Na0.4 Sr0.6 (Sn2 As2), Na0.6 Ba0.4 (Sn2 As2) und K0.3 Sr0.7 (Sn2 As2)","Zeitschrift fuer Anorganische und Allgemeine Chemie","1995","621","","576","582","10.1002/zaac.19956210415","","","","","","0.039","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1008733","4.117","0.002","4.117","0.002","27.185","0.006","90","","90","","120","","399","","","","","","","","","","","","","4","R -3 m :H","-R 3 2""","","Sodium strontium diarsenidodistannate (0.4/0.6/1)","","- As2 Na0.4 Sn2 Sr0.6 -","- As2 Na0.4 Sn2 Sr0.6 -","- As6 Na1.2 Sn6 Sr1.8 -","3","0.0833333","","Asbrand, M; Eisenmann, B; Klein, J","Arsenidostannate mit Arsen-analogen (Sn As) - Schichten: Darstellung und Struktur von Na (Sn2 As2), Na0.3 Ca0.7 (Sn2 As2), Na0.4 Sr0.6 (Sn2 As2), Na0.6 Ba0.4 (Sn2 As2) und K0.3 Sr0.7 (Sn2 As2)","Zeitschrift fuer Anorganische und Allgemeine Chemie","1995","621","","576","582","10.1002/zaac.19956210415","","","","","","0.041","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1008734","4.176","0.002","4.176","0.002","27.146","0.005","90","","90","","120","","410","","","","","","","","","","","","","4","R -3 m :H","-R 3 2""","","Potassium strontium diarsenidodistannate (0.3/0.7/1)","","- As2 K0.3 Sn2 Sr0.7 -","- As2 K0.3 Sn2 Sr0.7 -","- As6 K0.9 Sn6 Sr2.1 -","3","0.0833333","","Asbrand, M; Eisenmann, B; Klein, J","Arsenidostannate mit Arsen-analogen (Sn As) - Schichten: Darstellung und Struktur von Na (Sn2 As2), Na0.3 Ca0.7 (Sn2 As2), Na0.4 Sr0.6 (Sn2 As2), Na0.6 Ba0.4 (Sn2 As2) und K0.3 Sr0.7 (Sn2 As2)","Zeitschrift fuer Anorganische und Allgemeine Chemie","1995","621","","576","582","10.1002/zaac.19956210415","","","","","","0.046","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1008735","4.204","0.001","4.204","0.001","26.726","0.005","90","","90","","120","","409.1","","","","","","","","","","","","","3","R -3 m :H","-R 3 2""","","Strontium diarsenidodistannate","","- As2 Sn2 Sr -","- As2 Sn2 Sr -","- As6 Sn6 Sr3 -","3","0.0833333","","Asbrand, M; Eisenmann, B; Klein, J","Arsenidostannate mit Arsen-analogen (Sn As) - Schichten: Darstellung und Struktur von Na (Sn2 As2), Na0.3 Ca0.7 (Sn2 As2), Na0.4 Sr0.6 (Sn2 As2), Na0.6 Ba0.4 (Sn2 As2) und K0.3 Sr0.7 (Sn2 As2)","Zeitschrift fuer Anorganische und Allgemeine Chemie","1995","621","","576","582","10.1002/zaac.19956210415","","","","","","0.027","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1008770","4.092","0.002","4.092","0.002","27.93399","0.006","90","","90","","120","","405.1","","","","","","","","","","","","","4","R -3 m :H","-R 3 2""","","Sodium barium diarsenidodistannate (0.6/0.4/1)","","- As2 Ba0.4 Na0.6 Sn2 -","- As2 Ba0.4 Na0.6 Sn2 -","- As6 Ba1.2 Na1.8 Sn6 -","3","0.0833333","","Asbrand, M; Eisenmann, B; Klein, J","Arsenidostannate mit Arsen-analogen (Sn As) - Schichten: Darstellung und Struktur von Na (Sn2 As2), Na0.3 Ca0.7 (Sn2 As2), Na0.4 Sr0.6 (Sn2 As2), Na0.6 Ba0.4 (Sn2 As2) und K0.3 Sr0.7 (Sn2 As2)","Zeitschrift fuer Anorganische und Allgemeine Chemie","1995","621","","576","582","10.1002/zaac.19956210415","","","","","","0.042","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1008872","13.716","0.006","7.642","0.004","8.527","0.005","90","","90.3","0.1","90","","893.8","","","","","","","","","","","","","3","P 1 21/n 1","-P 2yn","","Decasodium di-$-mue-arsenido-bis(diarsenidostannate)","","- As6 Na10 Sn2 -","- As6 Na10 Sn2 -","- As12 Na20 Sn4 -","2","0.5","","Eisenmann, B; Klein, J","Dimere Zintl-Anionen (Sn2 As6)10- und (Sn2 Sb6)10- in Alkaliverbindungen","Zeitschrift fuer Kristallographie (149,1979-)","1991","196","","213","229","","","","","","","0.072","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008873","20.435","0.009","6.82","0.003","15.351","0.005","90","","90","","90","","2139.4","","","","","","","","","","","","","4","C m c a","-C 2ac 2","","Tetrasodium hexapotassium di-$-mue-arsenido-bis(diarsenidostannate)","","- As6 K6 Na4 Sn2 -","- As6 K6 Na4 Sn2 -","- As24 K24 Na16 Sn8 -","4","","","Eisenmann, B; Klein, J","Dimere Zintl-Anionen (Sn2 As6)10- und (Sn2 Sb6)10- in Alkaliverbindungen","Zeitschrift fuer Kristallographie (149,1979-)","1991","196","","213","229","","","","","","","0.072","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1010003","12.23","","12.23","","12.23","","19.22","","19.22","","19.22","","173.3","","","","","","","","","","","","","2","R -3 m :R","-P 3* 2","","Arsenic tin (3/4)","","- As3 Sn4 -","- As3 Sn4 -","- As3 Sn4 -","1","0.0833333","","Haegg, G; Hybinette, A G","X-ray studies on the systems tin-antimony and tin-arsenic","Philosophical Magazine, Serie 7(1926-46,1955)","1935","20","","913","929","","","","","","","","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1100493","8.895","0.002","14.233","0.001","17.012","0.001","90","","102.59","0.01","90","","2101.97","","","","","","","","","","","","","7","P 1 21/n 1","-P 2yn","","","","- C8 H21 As Cl5 N3 P2 Sn -","- C8 H21 As Cl5 N3 P2 Sn -","- C32 H84 As4 Cl20 N12 P8 Sn4 -","4","1","","Garbe, Ralf; Wocadlo, Sigrid; Kang, Hak-Chul; Massa, Werner; Harms, Klaus; Dehnicke, Kurt","Phosphaniminato-Komplexe des Arsens. Kristallstrukturen von [AsCl(NPMe~3~)]~2~Cl~2~, [AsCl(NPMe~3~)~2~SbCl~4~]SbCl~6~ und [AsCl(NPMe~3~)~2~SnCl~4~] · CH~3~CN","Chemische Berichte","1996","129","1","109","113","10.1002/cber.19961290120","","","","","","","","","","","","","","","","","","","","","has coordinates","177576","2020-10-21","18:00:00",""
"1100625","9.676","0.001","22.562","0.001","17.987","0.002","90","","101.54","0.01","90","","3847.36","","","","","","","","","","","","","6","P 1 21/c 1","-P 2ybc","","","","- C38 H30 As2 Br5 N Sn -","- C38 H30 As2 Br5 N Sn -","- C152 H120 As8 Br20 N4 Sn4 -","4","1","","Chitsaz, Soheila; Neumüller, Bernhard; Harms, Klaus; Dehnicke, Kurt","Asymmetrisch substituierte Iminiumsalze [Et~3~PNAsPh~3~]X und ihre Reaktion mit Acetonitril. Kristallstrukturen von [Et~3~PNAsPh~3~]X (X = Cl, Br), [(Ph~3~As)~2~CCN]Br und [(Ph~3~As)~2~CCN(SnBr~5~)]","Zeitschrift fuer Anorganische und Allgemeine Chemie","1998","624","8","1341","1346","10.1002/(sici)1521-3749(199808)624:8<1341::aid-zaac1341>3.0.co;2-v","","","","","","","","","","","","","","","","","","","","","has coordinates","176951","2020-10-21","18:00:00",""
"1528873","6.9668","","7.5919","","9.4949","","75.93","","89.994","","82.723","","482.961","","","","","","","","","","","","","6","P -1","-P 1","","(C H3)2 Cl Sn O2 As (C H3)2","","- C4 H12 As Cl O2 Sn -","- C3.68 H11.04 As Cl0.92 O1.84 Sn -","- C7.36 H22.08 As2 Cl1.84 O3.68 Sn2 -","2","1","","Shihada, A.-F.; Weller, F.","Synthesis, spectral studies, and crystal structure of [Me2 Cl Sn O2 As Me2] and [Et2 Cl Sn O2 As Me2]","Zeitschrift fuer Anorganische und Allgemeine Chemie","2002","628","","1007","1011","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1534353","8.36","","8.36","","15.3","","90","","90","","120","","926.05","","","","","","","","","","","","","7","P -3 c 1","-P 3 2""c","","Ca3 (Ti.8 Sn.2) ((As3 Si Be O10)2)","","- As6 Be2 Ca3 O20 Si2 Sn0.2 Ti0.8 -","- As6 Be2 Ca3 O20 Si2 Sn0.2 Ti0.8 -","- As12 Be4 Ca6 O40 Si4 Sn0.4 Ti1.6 -","2","0.166667","","Cannillo, E.; Giuseppetti, G.; Tadini, C.; Carobbi, S.G.","The Crystal Structure of Asbecasite","Atti della Accademia Nazionale dei Lincei, Classe di Scienze Fisiche, Matematiche e Naturali, Rendiconti, Serie 8 (1, 1946-)","1969","46","","457","467","","","","","","","","","","","","","","","","","","","","","","has coordinates","160997","2020-10-21","18:00:00",""
"1535911","4.09","","4.09","","36.06","","90","","90","","120","","522.4","","","","","","","","","","","","","2","R -3 m :H","-R 3 2""","","Sn3.8 As3","","- As3 Sn3.8 -","- As3 Sn3.8 -","- As9 Sn11.4 -","3","0.0833333","","Eckerlin, P.; Kischio, W.","Darstellung und Kristallstruktur der Phasen Sn4 P3 und Sn4 As3","Zeitschrift fuer Anorganische und Allgemeine Chemie","1968","363","","1","9","","","","","","","","","","","","","","","","","","","","","","has coordinates","163417","2020-10-21","18:00:00",""
"1537229","8.6374","","18.3536","","9.7209","","90","","90.053","","90","","1541.03","","","","","","","","","","","","","3","P 1 21/n 1","-P 2yn","","Ba3 Sn4 As6","","- As6 Ba3 Sn4 -","- As6 Ba2.98 Sn3.952 -","- As24 Ba11.92 Sn15.808 -","4","1","","Lam, R.; Mar, A.","The metallic Zintl phase Ba3 Sn4 As6","Solid State Sciences","2001","3","","503","512","","","","","","","","","","","","","","","","","","","","","","has coordinates","176428","2020-10-21","18:00:00",""
"1540290","4.1032","","4.1032","","12.845","","90","","90","","120","","187.288","","","","","","","","","","","","","3","P 63 m c","P 6c -2c","","K Sn As","","- As K Sn -","- As K Sn -","- As2 K2 Sn2 -","2","0.166667","","Lii, K.-H.; Haushalter, R.C.","Puckered hexagonal nets in 2-infinite=(Sn3/3 As3/3(-)) and (2-Infinite (Sn3/3 Sb3/3(-))","Journal of Solid State Chemistry","1987","67","","374","378","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1561511","10.199","0.0012","4.084","0.0005","19.24","0.002","90","","90","","90","","801.4","0.16","173","2","173","2","","","","","","","","3","P n m a","-P 2ac 2n","potassium tin arsenide (1/3/3)","potassium tin arsenide (1/3/3)","","- As3 K Sn3 -","- As3 K Sn3 -","- As12 K4 Sn12 -","4","0.5","","Khatun, Mansura; Stoyko, Stanislav S.; Mar, Arthur","Ternary arsenides ATt3As3 (A=K, Rb; Tt=Ge, Sn) with layered structures","Journal of Solid State Chemistry","2016","238","","229","235","10.1016/j.jssc.2016.03.035","","","0.71073","MoKα","","0.0553","0.0341","","","0.068","0.0745","","","","","","1.02","","","","has coordinates","263910","2021-04-06","09:47:16",""
"1561512","10.3211","0.0011","4.0917","0.0004","19.57","0.002","90","","90","","90","","826.46","0.15","173","2","173","2","","","","","","","","3","P n m a","-P 2ac 2n","rubidium tin arsenide (1/3/3)","rubidium tin arsenide (1/3/3)","","- As3 Rb Sn3 -","- As3 Rb Sn3 -","- As12 Rb4 Sn12 -","4","0.5","","Khatun, Mansura; Stoyko, Stanislav S.; Mar, Arthur","Ternary arsenides ATt3As3 (A=K, Rb; Tt=Ge, Sn) with layered structures","Journal of Solid State Chemistry","2016","238","","229","235","10.1016/j.jssc.2016.03.035","","","0.71073","MoKα","","0.0426","0.0271","","","0.0547","0.0603","","","","","","1.017","","","","has coordinates","263911","2021-04-06","09:48:22",""
"2001512","14.581","0.009","14.62","0.01","16.88","0.01","102.4","0.02","105.45","0.02","113.53","0.02","2963","3","293","","","","","","","","","","","6","P -1","-P 1","","","","- C60 H40 As2 N6 Se6 Sn -","- C60 As2 N6 Se6 Sn -","- C120 As4 N12 Se12 Sn2 -","2","1","SH1016","Gruss, D.; Hummel, H.-U.","Structure of [As(C~6~H~5~)~4~]~2~[Sn{Se~2~C=C(CN)~2~}~3~]","Acta Crystallographica Section C","1993","49","7","1307","1309","10.1107/S0108270192012812","","","0.7099","MoKα","","","0.062","","","0.055","","","","","1.712","1.712","","","","","has coordinates","176759","2020-10-21","18:00:00",""
"2001797","10.099","0.002","11.4014","0.0008","15.682","0.003","95.145","0.009","92.72","0.02","98.29","0.01","1776.3","0.5","","","","","","","","","","","","7","P -1","-P 1","","","","- C40 H36 As N O S Sn -","- C40 H36 As N O S Sn -","- C80 H72 As2 N2 O2 S2 Sn2 -","2","1","OH1003","Ng, S. W.; Kumar Das, V. G.","Structure of tribenzyl(thiocyanato-<i>N</i>)(triphenylarsine oxide-<i>O</i>)tin","Acta Crystallographica Section C","1993","49","4","758","760","10.1107/S0108270192009843","","","0.71073","Mo","","","","","","","","","","","","","","","","","has coordinates","208360","2020-10-21","18:00:00",""
"2008425","9.5242","0.0004","16.219","0.002","20.807","0.002","79.501","0.009","81.793","0.007","80.523","0.006","3096","0.5","298","2","298","2","","","","","","","","5","P -1","-P 1","","Bis[(coumarin-3-carboxylato)triphenyltin]^.^triphenylarsine oxide","","- C74 H55 As O9 Sn2 -","- C74 H55 As O9 Sn2 -","- C148 H110 As2 O18 Sn4 -","2","1","SK1234","Ng, Seik Weng","Coordination complexes of triphenyltin coumarin-3-carboxylate with <i>O</i>-donor ligands: (coumarin-3-carboxylato)triphenyltin‒<i>L</i> (<i>L</i> = ethanol, diphenylcyclopropenone and quinoline <i>N</i>-oxide) and bis[(coumarin-3-carboxylato)triphenyltin]‒<i>L</i> (<i>L</i> = triphenylphosphine oxide and triphenylarsine oxide)","Acta Crystallographica Section C","1999","55","4","523","531","10.1107/S0108270198014991","","","0.71073","MoKα","","0.058","0.041","","","","0.093","","","","","","1.085","","","","has coordinates","176759","2020-10-21","18:00:00",""
"2009037","14.577","0.003","10.875","0.002","23.985","0.005","90","","90.4","0.05","90","","3802.1","1.3","293","2","293","2","","","","","","","","5","P 1 21/n 1","-P 2yn","","Tetraphenylarsonium diazotriphenylstannate.","","- C42 H35 As N6 Sn -","- C42 H35 As N6 Sn -","- C168 H140 As4 N24 Sn4 -","4","1","NA1430","Franco Benetollo; Gabriella Bombieri; Giuseppe Alonzo; Nuccio Bertazzi","Tetraphenylarsonium diazidotriphenylstannate","Acta Crystallographica Section C","1999","55","10","1664","1665","10.1107/S0108270199008951","","","0.71073","MoKα","","0.0647","0.0503","","","","0.1279","","","","","","1.29","","","","has coordinates","176759","2020-10-21","18:00:00",""
"2017719","10.3927","0.0004","10.3927","0.0004","10.3927","0.0004","90","","90","","90","","1122.5","0.07","298","2","298","2","","","","","","","","5","P 21 3","P 2ac 2ab 3","","dipotassium tri-μ-arsenato-scandium(III)tin(IV)","","- As3 K2 O12 Sc Sn -","- As3 K2 O12 Sc Sn -","- As12 K8 O48 Sc4 Sn4 -","4","0.333333","KU3025","Harrison, William T. A.","K~2~ScSn(AsO~4~)~3~: an arsenate-containing langbeinite","Acta Crystallographica Section C","2010","66","7","i82","i84","10.1107/S0108270110021670","","","0.71073","MoKα","","0.0308","0.0272","","","0.0618","0.0629","","","","","","0.969","","","","has coordinates,has Fobs","176760","2020-10-21","18:00:00",""
