# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:56:52+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Ga[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " As[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1009000","4.994","0.0001","4.994","0.0001","11.3871","0.0004","90","","90","","120","","245.9","","","","","","","","","","","","","3","P 31 2 1","P 31 2""","","Gallium arsenate(V)","","- As Ga O4 -","- As Ga O4 -","- As3 Ga3 O12 -","3","0.5","","Philippot, E; Armand, P; Yot, P; Cambon, O; Goiffon, A; McIntyre, G J; Bordet, P","Neutron and x-ray structure refinements between 15 and 1083 K of piezoelectric gallium arsenate, Ga As O4: temperature and pressure behavior compared with other $-alpha-quartz materials","Journal of Solid State Chemistry","1999","146","","114","123","10.1006/jssc.1999.8316","","","","","","0.025","","","","","","","","","","","","","","","has coordinates","202022","2020-10-21","18:00:00",""
"1009001","4.9942","0.0001","4.9942","0.0001","11.3816","0.0013","90","","90","","120","","245.8","","","","","","","","","","","","","3","P 31 2 1","P 31 2""","","Gallium arsenate(V)","","- As Ga O4 -","- As Ga O4 -","- As3 Ga3 O12 -","3","0.5","","Philippot, E; Armand, P; Yot, P; Cambon, O; Goiffon, A; McIntyre, G J; Bordet, P","Neutron and x-ray structure refinements between 15 and 1083 K of piezoelectric gallium arsenate, Ga As O4: temperature and pressure behavior compared with other $-alpha-quartz materials","Journal of Solid State Chemistry","1999","146","","114","123","10.1006/jssc.1999.8316","","","","","","0.019","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1009002","4.997","0.001","4.997","0.001","11.379","0.003","90","","90","","120","","246.1","","","","","","","","","","","","","3","P 31 2 1","P 31 2""","","Gallium arsenate(V)","","- As Ga O4 -","- As Ga O4 -","- As3 Ga3 O12 -","3","0.5","","Philippot, E; Armand, P; Yot, P; Cambon, O; Goiffon, A; McIntyre, G J; Bordet, P","Neutron and x-ray structure refinements between 15 and 1083 K of piezoelectric gallium arsenate, Ga As O4: temperature and pressure behavior compared with other $-alpha-quartz materials","Journal of Solid State Chemistry","1999","146","","114","123","10.1006/jssc.1999.8316","","","","","","0.028","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1009003","5.007","0.001","5.007","0.001","11.391","0.003","90","","90","","120","","247.3","","","","","","","","","","","","","3","P 31 2 1","P 31 2""","","Gallium arsenate(V)","","- As Ga O4 -","- As Ga O4 -","- As3 Ga3 O12 -","3","0.5","","Philippot, E; Armand, P; Yot, P; Cambon, O; Goiffon, A; McIntyre, G J; Bordet, P","Neutron and x-ray structure refinements between 15 and 1083 K of piezoelectric gallium arsenate, Ga As O4: temperature and pressure behavior compared with other $-alpha-quartz materials","Journal of Solid State Chemistry","1999","146","","114","123","10.1006/jssc.1999.8316","","","","","","0.033","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1009004","5.011","0.001","5.011","0.001","11.388","0.003","90","","90","","120","","247.6","","","","","","","","","","","","","3","P 31 2 1","P 31 2""","","Gallium arsenate(V)","","- As Ga O4 -","- As Ga O4 -","- As3 Ga3 O12 -","3","0.5","","Philippot, E; Armand, P; Yot, P; Cambon, O; Goiffon, A; McIntyre, G J; Bordet, P","Neutron and x-ray structure refinements between 15 and 1083 K of piezoelectric gallium arsenate, Ga As O4: temperature and pressure behavior compared with other $-alpha-quartz materials","Journal of Solid State Chemistry","1999","146","","114","123","10.1006/jssc.1999.8316","","","","","","0.042","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1009005","5.017","0.001","5.017","0.001","11.401","0.003","90","","90","","120","","248.5","","","","","","","","","","","","","3","P 31 2 1","P 31 2""","","Gallium arsenate(V)","","- As Ga O4 -","- As Ga O4 -","- As3 Ga3 O12 -","3","0.5","","Philippot, E; Armand, P; Yot, P; Cambon, O; Goiffon, A; McIntyre, G J; Bordet, P","Neutron and x-ray structure refinements between 15 and 1083 K of piezoelectric gallium arsenate, Ga As O4: temperature and pressure behavior compared with other $-alpha-quartz materials","Journal of Solid State Chemistry","1999","146","","114","123","10.1006/jssc.1999.8316","","","","","","0.045","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1009006","5.025","0.001","5.025","0.001","11.408","0.003","90","","90","","120","","249.5","","","","","","","","","","","","","3","P 31 2 1","P 31 2""","","Gallium arsenate(V)","","- As Ga O4 -","- As Ga O4 -","- As3 Ga3 O12 -","3","0.5","","Philippot, E; Armand, P; Yot, P; Cambon, O; Goiffon, A; McIntyre, G J; Bordet, P","Neutron and x-ray structure refinements between 15 and 1083 K of piezoelectric gallium arsenate, Ga As O4: temperature and pressure behavior compared with other $-alpha-quartz materials","Journal of Solid State Chemistry","1999","146","","114","123","10.1006/jssc.1999.8316","","","","","","0.036","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1009007","5.033","0.001","5.033","0.001","11.411","0.003","90","","90","","120","","250.3","","","","","","","","","","","","","3","P 31 2 1","P 31 2""","","Gallium arsenate(V)","","- As Ga O4 -","- As Ga O4 -","- As3 Ga3 O12 -","3","0.5","","Philippot, E; Armand, P; Yot, P; Cambon, O; Goiffon, A; McIntyre, G J; Bordet, P","Neutron and x-ray structure refinements between 15 and 1083 K of piezoelectric gallium arsenate, Ga As O4: temperature and pressure behavior compared with other $-alpha-quartz materials","Journal of Solid State Chemistry","1999","146","","114","123","10.1006/jssc.1999.8316","","","","","","0.034","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1009008","5.04","0.001","5.04","0.001","11.408","0.003","90","","90","","120","","251","","","","","","","","","","","","","3","P 31 2 1","P 31 2""","","Gallium arsenate(V)","","- As Ga O4 -","- As Ga O4 -","- As3 Ga3 O12 -","3","0.5","","Philippot, E; Armand, P; Yot, P; Cambon, O; Goiffon, A; McIntyre, G J; Bordet, P","Neutron and x-ray structure refinements between 15 and 1083 K of piezoelectric gallium arsenate, Ga As O4: temperature and pressure behavior compared with other $-alpha-quartz materials","Journal of Solid State Chemistry","1999","146","","114","123","10.1006/jssc.1999.8316","","","","","","0.043","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1009009","5.051","0.001","5.051","0.001","11.421","0.003","90","","90","","120","","252.3","","","","","","","","","","","","","3","P 31 2 1","P 31 2""","","Gallium arsenate(V)","","- As Ga O4 -","- As Ga O4 -","- As3 Ga3 O12 -","3","0.5","","Philippot, E; Armand, P; Yot, P; Cambon, O; Goiffon, A; McIntyre, G J; Bordet, P","Neutron and x-ray structure refinements between 15 and 1083 K of piezoelectric gallium arsenate, Ga As O4: temperature and pressure behavior compared with other $-alpha-quartz materials","Journal of Solid State Chemistry","1999","146","","114","123","10.1006/jssc.1999.8316","","","","","","0.039","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
