# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:56:23+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Ga[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Ge[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1001682","12.169","0.003","3.005","0.001","9.414","0.002","90","","125.06","0.02","90","","281.8","","","","","","","","","","","","","3","C 1 2/m 1","-C 2y","","Tetragallium germanate - $-alpha","","- Ga4 Ge O8 -","- Ga4 Ge O8 -","- Ga8 Ge2 O16 -","2","0.25","","Kahn, A; Agafonov, V; Michel, D; Perez Y Jorba, M","New gallium germanates with tunnel structures $-alpha Ga4 Ge O8 and Ga4 Ge3 O12","Journal of Solid State Chemistry","1986","65","","377","382","10.1016/0022-4596(86)90111-8","","","","","","0.029","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1005040","7.249","0.001","4.21","0.001","9.314","0.001","90","","108.87","0.01","90","","269","","","","","","","","","","","","","4","P 1 21/m 1","-P 2yb","","Dibarium germanide nitridogallate","","- Ba2 Ga Ge N -","- Ba2 Ga Ge N -","- Ba4 Ga2 Ge2 N2 -","2","0.5","","Clarke, S J; DiSalvo, F J","Synthesis and structure of the subnitrides Ba2 Ge Ga N and (Bax Sr1-x)3 Ge2 N2 ; x = 0.7","Journal of Alloys Compd.","1997","259","","158","162","10.1016/S0925-8388(97)00095-9","","","","","","0.054","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1509343","12.028","","22.918","","6.874","","90","","90","","90","","1894.87","","","","","","","","","","","","","4","F d d 2","F 2 -2d","","","","- Ag Ga Ge S4 -","- Ag Ga Ge S4 -","- Ag12 Ga12 Ge12 S48 -","12","0.75","","Pobedimskaya, E.A.; Belov, N.V.; Alimova, L.L.; Badikov, V.V.","The crystal structure of the Ag-germanogallium sulfide and Ge S2","Doklady Akademii Nauk SSSR","1981","257","","611","614","","","","","","","","","","","","","","","","","","","","","","has coordinates","211196","2020-10-21","18:00:00",""
"1520933","10.69994","","10.69994","","10.69994","","90","","90","","90","","1225.02","","","","","","","","","","","","","3","P m -3 n","-P 4n 2 3","","Sr8 Ga16 Ge30","","- Ga16 Ge30 Sr8 -","- Ga15.9988 Ge29.9966 Sr8 -","- Ga15.9988 Ge29.9966 Sr8 -","1","0.0208333","","Chakoumakos, B.C.; Sales, B.C.; Mandrus, D.; Nolas, G.S.","Structural disorder and thermal conductivity of the semiconducting clathrate Sr8 Ga16 Ge30","Journal of Alloys Compd.","2000","296","","80","86","","","","","","","","","","","","","","","","","","","","","","has coordinates","140515","2020-10-21","18:00:00",""
"1521489","10.9008","","10.9008","","10.9008","","90","","90","","90","","1295.31","","","","","","","","","","","","","4","P m -3 n","-P 4n 2 3","","Ba8 Ga17.134 Sb2.78 Ge25.595","","- Ba8 Ga17.134 Ge25.595 Sb2.78 -","- Ba8 Ga17.134 Ge25.5956 Sb2.7776 -","- Ba8 Ga17.134 Ge25.5956 Sb2.7776 -","1","0.0208333","","Latturner, S.; Bu Xianhui; Blake, N.; Metiu, H.; Stucky, G.","Gallium antimonide-doped germanium clathrate - a p-type thermoelectric cage structure","Journal of Solid State Chemistry","2000","151","","61","64","","","","","","","","","","","","","","","","","","","","","","has coordinates","141700","2020-10-21","18:00:00",""
"1521909","10.7341","","10.7341","","10.7341","","90","","90","","90","","1236.79","","","","","","","","","","","","","3","P m -3 n","-P 4n 2 3","","Sr8 Ga16 Ge30","","- Ga16 Ge30 Sr8 -","- Ga15.9994 Ge30.0006 Sr8 -","- Ga15.9994 Ge30.0006 Sr8 -","1","0.0208333","","Schujman, S. B.; Nolas, G. S.; Ulutagay, M.; Young, R. A.; Lind, C.; Slack, G. A.; Patschke, R.; Wilkinson, A. P.; Kanatzidis, M. G.; Hwu, S.-J.","Structural analysis of Sr~8~Ga~16~Ge~30~ clathrate compound","Journal of Applied Physics","2000","87","3","1529","1533","10.1063/1.372044","","","","","","","","","","","","","","","","","","","","","has coordinates","175098","2020-10-21","18:00:00",""
"1522108","7.964","","7.964","","4.095","","90","","90","","120","","224.93","","","","","","","","","","","","","3","P -6 m 2","P -6 2","","Er4 (Ga1.355 Ge5.645)","","- Er4 Ga1.355 Ge5.645 -","- Er4 Ga1.3545 Ge5.6455 -","- Er4 Ga1.3545 Ge5.6455 -","1","0.0833333","","Venturini, G.; Verniere, A.; Malaman, B.","Evolution of the non-stoichiometry in the Er (Ge1-x Gax)2 compounds. Crystal structure of Er4 (Ge, Ga)7, a new hexagonal Al B2 derivative","Journal of Alloys Compd.","1999","291","","201","207","","","","","","","","","","","","","","","","","","","","","","has coordinates","142328","2020-10-21","18:00:00",""
"1522109","8.097","","8.097","","16.464","","90","","90","","120","","934.79","","","","","","","","","","","","","3","P 63/m m c","-P 6c 2c","","Y8 Ga6.01 Ge7.43","","- Ga6.01 Ge7.43 Y8 -","- Ga6.009 Ge7.431 Y8 -","- Ga12.018 Ge14.862 Y16 -","2","0.0833333","","Venturini, G.; Verniere, A.","New Al B2 - and Gd Si2 - type derivative compounds in the Y Ga - Ge system","Journal of Alloys Compd.","2000","298","","213","219","","","","","","","","","","","","","","","","","","","","","","has coordinates","142329","2020-10-21","18:00:00",""
"1522110","8.044","","8.044","","4.131","","90","","90","","120","","231.489","","","","","","","","","","","","","3","P -6 m 2","P -6 2","","Y (Ga0.486 Ge1.189)","","- Ga0.486 Ge1.189 Y -","- Ga0.48575 Ge1.18925 Y -","- Ga1.943 Ge4.757 Y4 -","4","0.333333","","Venturini, G.; Verniere, A.","New Al B2 - and Gd Si2 - type derivative compounds in the Y Ga - Ge system","Journal of Alloys Compd.","2000","298","","213","219","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1522111","4.094","","4.074","","13.842","","90","","90","","90","","230.87","","","","","","","","","","","","","3","I m m a","-I 2b 2","","Y (Ga0.363 Ge1.367)","","- Ga0.363 Ge1.367 Y -","- Ga0.364 Ge1.366 Y -","- Ga1.456 Ge5.464 Y4 -","4","0.25","","Venturini, G.; Verniere, A.","New Al B2 - and Gd Si2 - type derivative compounds in the Y Ga - Ge system","Journal of Alloys Compd.","2000","298","","213","219","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1522112","4.098","","4.077","","13.93","","90","","90","","90","","232.736","","","","","","","","","","","","","3","I m m a","-I 2b 2","","Y (Ga0.555 Ge1.195)","","- Ga0.555 Ge1.195 Y -","- Ga0.555 Ge1.195 Y -","- Ga2.22 Ge4.78 Y4 -","4","0.25","","Venturini, G.; Verniere, A.","New Al B2 - and Gd Si2 - type derivative compounds in the Y Ga - Ge system","Journal of Alloys Compd.","2000","298","","213","219","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1522113","7.728","","7.728","","10.806","","90","","90","","90","","645.356","","","","","","","","","","","","","3","I 4/m c m","-I 4 2c","","Tm3 Ga2 Ge3","","- Ga2 Ge3 Tm3 -","- Ga2 Ge3 Tm3 -","- Ga8 Ge12 Tm12 -","4","0.125","","Venturini, G.; Welter, R.","Single crystal refinement of tetragonal Tm3 (Ga, Ge)5 with anti-(Cr5 B3) structure","Journal of Alloys Compd.","2000","299","","9","11","","","","","","","","","","","","","","","","","","","","","","has coordinates","142333","2020-10-21","18:00:00",""
"1522114","4.154","","4.154","","14.403","","90","","90","","90","","248.534","","","","","","","","","","","","","3","I 41/a m d :2","-I 4bd 2","","Gd (Ga0.636 Ge0.364)2","","- Ga1.272 Gd Ge0.728 -","- Ga1.272 Gd Ge0.728 -","- Ga5.088 Gd4 Ge2.912 -","4","0.125","","Venturini, G.; Verniere, A.","Crystallographic data and magnetic properties of new Th Si2 and Gd Si2 derivative compounds in the Gd - Ga - Ge system","Journal of Alloys Compd.","2000","305","","7","13","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1522115","4.128","","4.101","","13.912","","90","","90","","90","","235.515","","","","","","","","","","","","","3","I m m a","-I 2b 2","","Gd (Ga0.291 Ge1.541)","","- Ga0.291 Gd Ge1.541 -","- Ga0.291 Gd Ge1.541 -","- Ga1.164 Gd4 Ge6.164 -","4","0.25","","Venturini, G.; Verniere, A.","Crystallographic data and magnetic properties of new Th Si2 and Gd Si2 derivative compounds in the Gd - Ga - Ge system","Journal of Alloys Compd.","2000","305","","7","13","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1522116","4.132","","4.118","","13.92","","90","","90","","90","","236.857","","","","","","","","","","","","","3","I m m a","-I 2b 2","","Gd (Ga0.339 Ge1.497)","","- Ga0.339 Gd Ge1.497 -","- Ga0.339 Gd Ge1.497 -","- Ga1.356 Gd4 Ge5.988 -","4","0.25","","Venturini, G.; Verniere, A.","Crystallographic data and magnetic properties of new Th Si2 and Gd Si2 derivative compounds in the Gd - Ga - Ge system","Journal of Alloys Compd.","2000","305","","7","13","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1522117","4.122","","4.089","","13.997","","90","","90","","90","","235.917","","","","","","","","","","","","","3","I m m a","-I 2b 2","","Gd (Ga0.373 Ge1.415)","","- Ga0.373 Gd Ge1.415 -","- Ga0.373 Gd Ge1.415 -","- Ga1.492 Gd4 Ge5.66 -","4","0.25","","Venturini, G.; Verniere, A.","Crystallographic data and magnetic properties of new Th Si2 and Gd Si2 derivative compounds in the Gd - Ga - Ge system","Journal of Alloys Compd.","2000","305","","7","13","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1522118","4.128","","4.1","","14.036","","90","","90","","90","","237.556","","","","","","","","","","","","","3","I m m a","-I 2b 2","","Gd (Ga0.478 Ge1.406)","","- Ga0.478 Gd Ge1.406 -","- Ga0.478 Gd Ge1.406 -","- Ga1.912 Gd4 Ge5.624 -","4","0.25","","Venturini, G.; Verniere, A.","Crystallographic data and magnetic properties of new Th Si2 and Gd Si2 derivative compounds in the Gd - Ga - Ge system","Journal of Alloys Compd.","2000","305","","7","13","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1522119","4.141","","4.138","","13.962","","90","","90","","90","","239.245","","","","","","","","","","","","","3","I m m a","-I 2b 2","","Gd (Ga0.553 Ge1.335)","","- Ga0.553 Gd Ge1.335 -","- Ga0.553 Gd Ge1.335 -","- Ga2.212 Gd4 Ge5.34 -","4","0.25","","Venturini, G.; Verniere, A.","Crystallographic data and magnetic properties of new Th Si2 and Gd Si2 derivative compounds in the Gd - Ga - Ge system","Journal of Alloys Compd.","2000","305","","7","13","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1522120","49.54","","8.2","","28.46999","","90","","150.4","","90","","5712.59","","","","","","","","","","","","","3","C 1 2/m 1","-C 2y","","Gd24 (Ga12.3 Ge30.7)","","- Ga12.3 Gd24 Ge30.7 -","- Ga12.298 Gd24 Ge30.702 -","- Ga49.192 Gd96 Ge122.808 -","4","0.5","","Venturini, G.; Verniere, A.","Crystallographic data and magnetic properties of new Th Si2 and Gd Si2 derivative compounds in the Gd - Ga - Ge system","Journal of Alloys Compd.","2000","305","","7","13","","","","","","","","","","","","","","","","","","","","","","has coordinates","142340","2020-10-21","18:00:00",""
