# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:57:16+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Ga[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " In[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1509340","6.0138","","6.0138","","11.1238","","90","","90","","90","","402.301","","","","","","","","","","","","","4","I -4 2 d","I -4 2bw","","Ag (Ga0.665 In0.335) Se2","","- Ag Ga0.665 In0.335 Se2 -","- Ag Ga0.67 In0.33 Se2 -","- Ag4 Ga2.68 In1.32 Se8 -","4","0.25","","Marenkin, S.F.; Rybakov, V.B.; Kuz'micheva, G.M.; Shcherbakov, S.I.; Shevyrdyaeva, G.S.; Chizhikov, V.I.; Panyutin, V.L.","Preparation and structure of Ag Ga1-x Inx Se2 single crystals","Neorganicheskie Materialy","2003","39","","1193","1199","","","","","","","","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1509341","5.9889","","5.9889","","11.0328","","90","","90","","90","","395.713","","","","","","","","","","","","","4","I -4 2 d","I -4 2bw","","Ag (Ga0.82 In0.18) Se2","","- Ag Ga0.82 In0.18 Se2 -","- Ag Ga0.82 In0.18 Se2 -","- Ag4 Ga3.28 In0.72 Se8 -","4","0.25","","Kuz'micheva, G.M.; Panyutin, V.L.; Marenkin, S.F.; Rybakov, V.B.; Shevyrdyaeva, G.S.; Shcherbakov, S.I.; Chizhikov, V.I.","Preparation and structure of Ag Ga1-x Inx Se2 single crystals","Neorganicheskie Materialy","2003","39","","1193","1199","","","","","","","","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1509581","3.833","","3.833","","30.953","","90","","90","","120","","393.832","","","","","","","","","","","","","4","P 63 m c","P 6c -2c","","","","- Ag1.12 Ga2.68 In3.7 S10 -","- Ag1.12 Ga2.68 In3.7 S10 -","- Ag1.12 Ga2.68 In3.7 S10 -","1","0.0833333","","Arzani, R.; Memo, A.; Elitok, E.; Haeuseler, H.","Verbindungen mit Schichtstrukturen in den Systemen (Cu Ga5 S8)/ (Cu In5 S8) und (Ag Ga5 S8)/(Ag In5 S8)","Zeitschrift fuer Anorganische und Allgemeine Chemie","2001","627","","1204","1208","10.1002/1521-3749(200106)627:6<1204::AID-ZAAC1204>3.0.CO;2-V","","","","","","","","","","","","","","","","","","","","","has coordinates","211196","2020-10-21","18:00:00",""
"1521670","3.299","","3.299","","26.101","","90","","90","","120","","246.01","","","","","","","","","","","","","4","R -3 :H","-R 3","","In Ga Zn O4","","- Ga In O4 Zn -","- Ga In O4 Zn -","- Ga3 In3 O12 Zn3 -","3","0.166667","","Nespolo, M.; Sato, A.; Osawa, T.; Ohashi, H.","Synthesis, crystal structure and charge distribution of In Ga Zn O4. X-ray diffraction of 20 kb single crystal and 50 kb twin by reticular merohedry","Crystal Research and Technology","2000","35","","151","165","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1522064","4.19725","","4.19725","","4.19725","","90","","90","","90","","73.943","","","","","","","","","","","","","4","P m -3 m","-P 4 2 3","","Ba (In0.75 Ga0.25) O2.5","","- Ba Ga0.25 In0.75 O2.5 -","- Ba Ga0.25 In0.75 O2.4999 -","- Ba Ga0.25 In0.75 O2.4999 -","1","0.0208333","","Uchimoto, Y.; Kinuhata, M.; Takagu, H.; Yao, T.; Yoshida, H.; Inagaki, T.","Crystal structure of metal cation-doped Ba2 In2 O5 and its oxide ion conductivity","Electrochemical Society Proceedings","1999","99","","317","326","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1522066","4.17804","","4.17804","","4.17804","","90","","90","","90","","72.932","","","","","","","","","","","","","4","P m -3 m","-P 4 2 3","","Ba (In0.65 Ga0.35) O2.5","","- Ba Ga0.35 In0.65 O2.5 -","- Ba Ga0.35 In0.65 O2.4999 -","- Ba Ga0.35 In0.65 O2.4999 -","1","0.0208333","","Uchimoto, Y.; Kinuhata, M.; Inagaki, T.; Takagu, H.; Yao, T.; Yoshida, H.","Crystal structure of metal cation-doped Ba2 In2 O5 and its oxide ion conductivity","Electrochemical Society Proceedings","1999","99","","317","326","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1523315","6.161","","6.161","","6.161","","90","","90","","90","","233.859","","","","","","","","","","","","","3","F -4 3 m","F -4 2 3","","(Ga0.8 In0.2) Sb","","- Ga0.8 In0.2 Sb -","- Ga0.8 In0.2 Sb -","- Ga3.2 In0.8 Sb4 -","4","0.0416667","","Bucher, G.; Ellner, M.; Sommer, F.; Predel, B.","Zur Gueltigkeit des Zen'schen Gesetzts unnd des Le Chatelier'schen Prinzips in einigen Phasen mit Grimm- Sommerfeld-Bindung","Monatshefte fuer Chemie (-108,1977)","1986","117","","1367","1378","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1524343","7.185","","7.185","","7.185","","90","","90","","90","","370.92","","","","","","","","","","","","","4","F d -3 m :1","F 4d 2 3 -1d","","Cu2 (Ga0.1 In0.5 Yb0.4)","","- Cu2 Ga0.1 In0.5 Yb0.4 -","- Cu2 Ga0.1 In0.5 Yb0.4 -","- Cu16 Ga0.8 In4 Yb3.2 -","8","0.0416667","","Felner, I.; Nowik, I.","Substitution dependence of the valence phase transition in Yb.4 In.6 Cu2","Journal of Magnetism and Magnetic Materials","1987","63","","615","617","","","","","","","","","","","","","","","","","","","","","","has coordinates","176428","2020-10-21","18:00:00",""
"1525759","10.46","","16.981","","14.994","","90","","95.46","","90","","2651.17","","","","","","","","","","","","","6","P 1 21/c 1","-P 2ybc","","(Ga (C2 H4 (N H2)2)3) (In3 Te7)","","- C6 H24 Ga In3 N6 Te7 -","- C6 Ga In3 N6 Te7 -","- C24 Ga4 In12 N24 Te28 -","4","1","","Li, J.; Proserpio, D.M.","Crystal structure and properties of indium telluride (Ga (en)3) In3Te7","Hua Hsueh Hsueh Pao","2000","58","","835","839","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1527016","4.187","","4.187","","4.187","","90","","90","","90","","73.402","","","","","","","","","","","","","4","P m -3 m","-P 4 2 3","","Ba (In0.70 Ga0.30) O2.5","","- Ba Ga0.3 In0.7 O2.5 -","- Ba Ga0.3 In0.7 O2.499 -","- Ba Ga0.3 In0.7 O2.499 -","1","0.0208333","","Yao, T.; Inagaki, T.; Uchimoto, Y.; Kinuhata, M.; Yoshida, H.","Crystal structure of Ga-doped Ba2 In2 O5 and its oxide ion conductivity","Solid State Ionics","2000","132","","189","198","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
