# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:58:13+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Ga[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Sb[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1008051","9.4907","0.0002","9.4907","0.0002","9.4907","0.0002","90","","90","","90","","854.9","","","","","","","","","","","","","4","P n -3 :2","-P 2ab 2bc 3","","Tribismuth gallium oxide diantimonate","","- Bi3 Ga O11 Sb2 -","- Bi3 Ga0.9999 O11 Sb2.0001 -","- Bi12 Ga3.9996 O44 Sb8.0004 -","4","0.166667","","Sleight, A W; Bouchard, R J","A new cubic K Sb O~3~ derivative structure with interpenetrating networks. Crystal structure of Bi~3~ Ga Sb~2~ O~11~","Inorganic Chemistry","1973","12","","2314","2316","10.1021/ic50128a019","","","","","","0.051","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1508013","9.1374","0.0016","10.0229","0.0017","11.704","0.002","90","","106.312","0.003","90","","1028.7","0.3","273","2","153","2","","","","","","","","7","P 1 21 1","P 2yb","","","","- C4 H16 Ga2 N2 O S7 Sb2 -","- C4 H16 Ga2 N2 O S7 Sb2 -","- C8 H32 Ga4 N4 O2 S14 Sb4 -","2","1","","Ding, Nan; Kanatzidis, Mercouri G.","Selective incarceration of caesium ions by Venus flytrap action of a flexible framework sulfide.","Nature chemistry","2010","2","3","187","191","10.1038/nchem.519","","","0.71073","MoKα","","0.0651","0.0577","","","0.1422","0.1487","","","","","","1.069","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1508014","15.591","0.003","9.1815","0.0018","12.575","0.003","90","","114.26","0.03","90","","1641.1","0.7","293","2","100","2","","","","","","","","4","C 1 2 1","C 2y","","","","- Cs2 Ga2 S7 Sb2 -","- Cs2 Ga2 S7 Sb2.004 -","- Cs8 Ga8 S28 Sb8.016 -","4","1","","Ding, Nan; Kanatzidis, Mercouri G.","Selective incarceration of caesium ions by Venus flytrap action of a flexible framework sulfide.","Nature chemistry","2010","2","3","187","191","10.1038/nchem.519","","","0.71073","MoKα","","0.1429","0.1089","","","0.2671","0.2956","","","","","","1.058","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1521240","10.3807","","10.3807","","10.3807","","90","","90","","90","","1118.61","","","","","","","","","","","","","4","F d -3 m :2","-F 4vw 2vw 3","","Bi1.89 Ga Sb O6.84","","- Bi1.89 Ga O6.84 Sb -","- Bi1.89 Ga O6.84 Sb -","- Bi15.12 Ga8 O54.72 Sb8 -","8","0.0416667","","Ismunandar; Hunter, B.A.; Kennedy, B.J.","Observations on pyrochlore oxide structures","Materials Research Bulletin","1999","34","","1263","1274","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1521242","10.4433","","10.4433","","10.4433","","90","","90","","90","","1138.97","","","","","","","","","","","","","4","F -4 3 m","F -4 2 3","","Pb2 (Ga0.5 Sb1.5) O6.5","","- Ga0.5 O6.5 Pb2 Sb1.5 -","- Ga0.5 O6.49 Pb1.98 Sb1.5 -","- Ga4 O51.92 Pb15.84 Sb12 -","8","0.0833333","","Ismunandar; Hunter, B.A.; Kennedy, B.J.","Observations on pyrochlore oxide structures","Materials Research Bulletin","1999","34","","1263","1274","","","","","","","","","","","","","","","","","","","","","","has coordinates","140926","2020-10-21","18:00:00",""
"1521489","10.9008","","10.9008","","10.9008","","90","","90","","90","","1295.31","","","","","","","","","","","","","4","P m -3 n","-P 4n 2 3","","Ba8 Ga17.134 Sb2.78 Ge25.595","","- Ba8 Ga17.134 Ge25.595 Sb2.78 -","- Ba8 Ga17.134 Ge25.5956 Sb2.7776 -","- Ba8 Ga17.134 Ge25.5956 Sb2.7776 -","1","0.0208333","","Latturner, S.; Bu Xianhui; Blake, N.; Metiu, H.; Stucky, G.","Gallium antimonide-doped germanium clathrate - a p-type thermoelectric cage structure","Journal of Solid State Chemistry","2000","151","","61","64","","","","","","","","","","","","","","","","","","","","","","has coordinates","141700","2020-10-21","18:00:00",""
"1523072","2.6981","","2.6981","","2.479","","90","","90","","120","","15.629","","","","","","","","","","","","","2","P 6/m m m","-P 6 2","","(Ga Sb)0.5","","- Ga0.5 Sb0.5 -","- Ga0.5 Sb0.5 -","- Ga0.5 Sb0.5 -","1","0.0416667","","Weir, S.T.; Vohra, Y.K.; Ruoff, A.L.","Phase transitions in Ga Sb to 110 GPa (1.1Mbar)","Physical Review, Serie 3. B - Condensed Matter (18,1978-)","1987","36","","4543","4546","","","","","","","","","","","","","","","","","","","","","","has coordinates","143467","2020-10-21","18:00:00",""
"1523315","6.161","","6.161","","6.161","","90","","90","","90","","233.859","","","","","","","","","","","","","3","F -4 3 m","F -4 2 3","","(Ga0.8 In0.2) Sb","","- Ga0.8 In0.2 Sb -","- Ga0.8 In0.2 Sb -","- Ga3.2 In0.8 Sb4 -","4","0.0416667","","Bucher, G.; Ellner, M.; Sommer, F.; Predel, B.","Zur Gueltigkeit des Zen'schen Gesetzts unnd des Le Chatelier'schen Prinzips in einigen Phasen mit Grimm- Sommerfeld-Bindung","Monatshefte fuer Chemie (-108,1977)","1986","117","","1367","1378","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1523911","5.348","","5.348","","2.937","","90","","90","","90","","84.001","","","","","","","","","","","","","2","I 41/a m d :1","I 4bw 2bw -1bw","","(Ga Sb)","","- Ga Sb -","- Ga Sb -","- Ga2 Sb2 -","2","0.0625","","Jamieson, J.C.","Crystal structures at high pressures of metallic modifications of compounds of indium, gallium, and aluminium","Science","1963","139","","845","847","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1528081","4.108","","4.108","","5.085","","90","","90","","120","","74.316","","","","","","","","","","","","","3","P 63/m m c","-P 6c 2c","","Fe1.59 (Ga0.625 Sb0.375)","","- Fe1.59 Ga0.625 Sb0.375 -","- Fe1.59 Ga0.625 Sb0.375 -","- Fe3.18 Ga1.25 Sb0.75 -","2","0.0833333","","Smith, N.A.; Cockayne, B.; Hill, P.J.; Devlin, E.; Harris, I.R.; Forsyth, H.; MacEwan, W.R.","Structural and magnetic studies of B8(2)-type alloys represented by Fe3 Ga2-x Sbx","Journal of Alloys Compd.","1992","179","","111","124","","","","","","","","","","","","","","","","","","","","","","has coordinates","149967","2020-10-21","18:00:00",""
