# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:57:43+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Ga[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Sn[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1001561","12.485","","12.485","","12.485","","90","","90","","90","","1946.1","","","","","","","","","","","","","5","I a -3 d","-I 4bd 2c 3","","Tricalcium ditin(IV) silicon digallium oxide","","- Ca3 Ga2 O12 Si Sn2 -","- Ca3 Ga2.0001 O12 Si0.9999 Sn2 -","- Ca24 Ga16.0008 O96 Si7.9992 Sn16 -","8","0.0833333","","Rulmont, A; Tarte, P; Cartie, B; Choisnet, J","Solid solutions Ca~3~Sn~2+x~Si(Ge)~1-x~Ga~2~O~12~ (0<x<0.95) and tetrahedral coordination of Sn^4+^ in the garnet structure","Journal of Solid State Chemistry","1993","104","","165","176","10.1006/jssc.1993.1150","","","","","","0.04","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001562","12.494","","12.494","","12.494","","90","","90","","90","","1950.3","","","","","","","","","","","","","5","I a -3 d","-I 4bd 2c 3","","Calcium tin silicon gallium oxide (3/2.1/1/2/12)","","- Ca3 Ga2 O12 Si0.95 Sn2.05 -","- Ca3 Ga2.0001 O12 Si0.9501 Sn2.0498 -","- Ca24 Ga16.0008 O96 Si7.6008 Sn16.3984 -","8","0.0833333","","Rulmont, A; Tarte, P; Cartie, B; Choisnet, J","Solid solutions Ca~3~Sn~2+x~Si(Ge)~1-x~Ga~2~O~12~ (0<x<0.95) and tetrahedral coordination of Sn^4+^ in the garnet structure","Journal of Solid State Chemistry","1993","104","","165","176","10.1006/jssc.1993.1150","","","","","","0.038","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1001563","12.679","","12.679","","12.679","","90","","90","","90","","2038.2","","","","","","","","","","","","","5","I a -3 d","-I 4bd 2c 3","","Calcium tin silicon gallium oxide (3/3/.05/2/12)","","- Ca3 Ga2 O12 Si0.05 Sn2.95 -","- Ca3 Ga2.0001 O12 Si0.0498 Sn2.9501 -","- Ca24 Ga16.0008 O96 Si0.3984 Sn23.6008 -","8","0.0833333","","Rulmont, A; Tarte, P; Cartie, B; Choisnet, J","Solid solutions Ca~3~Sn~2+x~Si(Ge)~1-x~Ga~2~O~12~ (0<x<0.95) and tetrahedral coordination of Sn^4+^ in the garnet structure","Journal of Solid State Chemistry","1993","104","","165","176","10.1006/jssc.1993.1150","","","","","","0.042","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1508417","4.5383","0.0006","12.2486","0.0016","14.3747","0.0019","90","","90","","90","","799.06","0.18","120","2","120","2","","","","","","","","3","C m c m","-C 2c 2","","","","- Ba Ga1.79 Sn4.21 -","- Ba Ga1.79 Sn4.21 -","- Ba4 Ga7.16 Sn16.84 -","4","0.25","","Schαfer, Marion C.; Yamasaki, Yuki; Fritsch, Veronika; Bobev, Svilen","Ternary Compounds in the Sn-Rich Section of the Ba-Ga-Sn System: Ba8Ga16-xSn30+x (1.1 <= x <= 2.8) Clathrates of Type-I and Type-VIII, and BaGa2-xSn4+x (x ? 0.2) with a Clathrate-like Structure","Crystals","2012","1","3","145","162","10.3390/cryst1030145","","","0.71073","MoKα","","0.0306","0.0258","","","0.0588","0.0606","","","","","","1.213","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1508418","11.68","0.0012","11.68","0.0012","11.68","0.0012","90","","90","","90","","1593.4","0.3","293","2","293","2","","","","","","","","3","P m -3 n","-P 4n 2 3","","","","- Ba8 Ga14.5 Sn31.5 -","- Ba8 Ga14.456 Sn31.544 -","- Ba8 Ga14.456 Sn31.544 -","1","0.0208333","","Schαfer, Marion C.; Yamasaki, Yuki; Fritsch, Veronika; Bobev, Svilen","Ternary Compounds in the Sn-Rich Section of the Ba-Ga-Sn System: Ba8Ga16-xSn30+x (1.1 <= x <= 2.8) Clathrates of Type-I and Type-VIII, and BaGa2-xSn4+x (x ? 0.2) with a Clathrate-like Structure","Crystals","2012","1","3","145","162","10.3390/cryst1030145","","","0.71073","MoKα","","0.0392","0.0295","","","0.0554","0.0577","","","","","","1.218","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1508419","11.5843","0.0007","11.5843","0.0007","11.5843","0.0007","90","","90","","90","","1554.57","0.16","293","2","293","2","","","","","","","","3","I -4 3 m","I -4 2 3","","","","- Ba8 Ga13.2 Sn32.8 -","- Ba8 Ga13.212 Sn32.796 -","- Ba8 Ga13.212 Sn32.796 -","1","0.0208333","","Schαfer, Marion C.; Yamasaki, Yuki; Fritsch, Veronika; Bobev, Svilen","Ternary Compounds in the Sn-Rich Section of the Ba-Ga-Sn System: Ba8Ga16-xSn30+x (1.1 <= x <= 2.8) Clathrates of Type-I and Type-VIII, and BaGa2-xSn4+x (x ? 0.2) with a Clathrate-like Structure","Crystals","2012","1","3","145","162","10.3390/cryst1030145","","","0.71073","MoKα","","0.0199","0.0187","","","0.0453","0.0456","","","","","","1.099","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1509353","5.853","","5.853","","10.82","","90","","90","","90","","370.667","","","","","","","","","","","","","4","I -4 2 d","I -4 2bw","","Ag Ga Sn Se4","","- Ag Ga Se4 Sn -","- Ag Ga Se4 Sn -","- Ag2 Ga2 Se8 Sn2 -","2","0.125","","Rivera, A.V.; Lopez-Rivera, A.; Gomez, C.D.; de Gil, E.R.","X-Ray Crystal Structure of the Quaternary Semiconductor Compound: Ag Ga Sn Se4","Progress in Crystal Growth and Characterization","1985","10","","217","223","10.1016/0146-3535(84)90038-8","","","","","","","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1522640","5.257","","5.257","","5.257","","90","","90","","90","","145.283","","","","","","","","","","","","","3","P m -3 n","-P 4n 2 3","","(Ga1.04 Sn0.96) Nb6","","- Ga1.04 Nb6 Sn0.96 -","- Ga1.04 Nb6 Sn0.96 -","- Ga1.04 Nb6 Sn0.96 -","1","0.0208333","","Orillion, M.T.; Raman, A.","Alloy chemistry of sigma (beta-U) related phases. IV. A15, sigma and kappa phases in ternary alloys of refractory metals with Ga","Zeitschrift fuer Metallkunde","1974","65","","709","713","","","","","","","","","","","","","","","","","","","","","","has coordinates","142903","2020-10-21","18:00:00",""
"1522641","4.915","","4.915","","4.915","","90","","90","","90","","118.733","","","","","","","","","","","","","3","P m -3 n","-P 4n 2 3","","(Ga0.51 Sn0.49) V3","","- Ga0.51 Sn0.49 V3 -","- Ga0.51 Sn0.49 V3 -","- Ga1.02 Sn0.98 V6 -","2","0.0416667","","Orillion, M.T.; Raman, A.","Alloy chemistry of sigma (beta-U) related phases. IV. A15, sigma and kappa phases in ternary alloys of refractory metals with gallium","Zeitschrift fuer Metallkunde","1974","65","","709","713","","","","","","","","","","","","","","","","","","","","","","has coordinates","142904","2020-10-21","18:00:00",""
"1522725","5.784","","5.784","","3.168","","90","","90","","90","","105.984","","","","","","","","","","","","","2","I 41/a m d :1","I 4bw 2bw -1bw","","(Ga0.071 Sn0.929)","","- Ga0.071 Sn0.929 -","- Ga0.071 Sn0.929 -","- Ga0.284 Sn3.716 -","4","0.125","","Predel, B.","Zustandsdiagramm und Eigenschaften von Gallium-Zinn-Legierungen","Journal of the Less-Common Metals","1964","7","","347","355","","","","","","","","","","","","","","","","","","","","","","has coordinates","176428","2020-10-21","18:00:00",""
