# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:59:27+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Ge[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " As[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1008432","14.615","0.004","6.045","0.002","15.964","0.004","90","","90","","90","","1410.4","","","","","","","","","","","","","3","P n m a","-P 2ac 2n","","Caesium triarsenidogermanate","","- As3 Cs5 Ge -","- As3 Cs5 Ge -","- As12 Cs20 Ge4 -","4","0.5","","Eisenmann, B; Klein, J; Somer, M","C O~3~^2-^ - isostere Anionen in Cs~5~ Si P~3~, Cs~5~ Si As~3~, Cs~5~ Ge P~3~ und Cs~5~ Ge As~3~","Angewandte Chemie (German Edition)","1990","102","","92","93","10.1002/ange.19901020127","","","","","","0.0765","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008467","15.161","0.004","4.813","0.002","13.168","0.004","90","0","90","0","90","0","960.9","","","","","","","","","","","","","4","P n m a","-P 2ac 2n","","Tetrasodium potassium triarsenidogermanate","","- As3 Ge K Na4 -","- As3 Ge K Na4 -","- As12 Ge4 K4 Na16 -","4","0.5","","Eisenmann, B; Klein, J","Crystal structure of tetrasodium monopotassium triarsenidogermanate","Zeitschrift fuer Kristallographie (149,1979-)","1991","197","","279","280","","","","","","","0.056","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008520","13.292","0.004","7.028","0.003","6.548","0.003","90","","90","","90","","611.7","","","","","","","","","","","","","3","I b a m","-I 2 2c","","Dipotassium catena-diarsenidogermanate","","- As2 Ge K2 -","- As2 Ge K2 -","- As8 Ge4 K8 -","4","0.25","","Eisenmann, B; Klein, J","SiS~2~-isostrukturelle Anionen (SiP~2~^2-^),(GeAs~2~^2-^) und (SnAs~2~^2-^) in Alkaliverbindungen","Journal of the Less-Common Metals","1991","175","","109","117","10.1016/0022-5088(91)90355-8","","","","","","0.088","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008852","13.531","0.005","7.544","0.004","8.298","0.005","90","","90.2","0.1","90","","847","","","","","","","","","","","","","3","P 1 21/n 1","-P 2yn","","Decasodium di-μ-arsenido-bis(diarsenidogermanate)","","- As6 Ge2 Na10 -","- As6 Ge2 Na10 -","- As12 Ge4 Na20 -","2","0.5","","Eisenmann, B.; Klein, J.; Somer, M.","Crystal structure of decasodium di-μ-arsenido-bis(diarsenidogermanate), Na~10~Ge~2~As~6~","Zeitschrift für Kristallographie","1991","197","3-4","265","266","10.1524/zkri.1991.197.3-4.265","","","","","","0.07","","","","","","","","","","","","","","","has coordinates","200128","2020-10-21","18:00:00",""
"1524563","5.062","","10.117","","11.687","","90","","90","","90","","598.518","","","","","","","","","","","","","3","P n n a","-P 2a 2bc","","Ge As Se","","- As Ge Se -","- As Ge Se -","- As8 Ge8 Se8 -","8","1","","Hulliger, F.; Siegrist, T.","The crystal structure of Ge As Se","Materials Research Bulletin","1981","16","","1245","1251","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1528444","3.715","","3.715","","5.832","","90","","90","","90","","80.489","","","","","","","","","","","","","2","I 4 m m","I 4 -2","","Ge As","","- As Ge -","- As Ge -","- As2 Ge2 -","2","0.125","","Donohue, P.C.; Young, H.S.","Synthesis, structure, and superconductivity of new high pressure phases in the systems ge - p and ge - as","Journal of Solid State Chemistry","1970","1","","143","149","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1528462","7.625","","18.514","","7.47","","90","","111.76","","90","","979.393","","","","","","","","","","","","","3","P 1 21/c 1","-P 2ybc","","Sr3 (Ge2 As4)","","- As4 Ge2 Sr3 -","- As4 Ge2 Sr3 -","- As16 Ge8 Sr12 -","4","1","","Eisenmann, B.; Schaefer, H.","Zintl-Phasen mit komplexen Anionen: Sr3 Si2 As4 und Sr3 Ge2 As4","Angewandte Chemie (German Edition)","1980","92","","480","481","","","","","","","","","","","","","","","","","","","","","","has coordinates","150716","2020-10-21","18:00:00",""
"1528463","7.308","","17.886","","7.239","","90","","111.75","","90","","878.855","","","","","","","","","","","","","3","P 1 21/c 1","-P 2ybc","","Ca3 (Ge2 As4)","","- As4 Ca3 Ge2 -","- As4 Ca3 Ge2 -","- As16 Ca12 Ge8 -","4","1","","Eisenmann, B.; Schaefer, H.","Zintl-Phasen mit komplexen Anionen: Sr3 Si2 As4 und Sr3 Ge2 As4","Angewandte Chemie (German Edition)","1980","92","","480","481","","","","","","","","","","","","","","","","","","","","","","has coordinates","150717","2020-10-21","18:00:00",""
"1529630","10.6226","","10.6226","","10.5506","","90","","90","","90","","1190.53","","","","","","","","","","","","","6","P -4 2 c","P -4 2c","","Cu9.36 (Zn0.8 Cu0.2) (Ge1.46 As0.16) Fe3.56 S16","","- As0.16 Cu9.56 Fe3.56 Ge1.46 S16 Zn0.8 -","- As0.162 Cu9.56 Fe3.56 Ge1.458 S16 Zn0.8 -","- As0.324 Cu19.12 Fe7.12 Ge2.916 S32 Zn1.6 -","2","0.25","","Bernstein, L.R.; Reichel, D.G.; Merlino, S.","Renierite crystal structure refined from Rietveld analysis of powder neutron-diffrection data","American Mineralogist","1989","74","","1177","1181","","","","","","","","","","","","","","","","","","","","","","has coordinates","154107","2020-10-21","18:00:00",""
"1531426","8.2873","","8.2873","","8.2873","","90","","90","","90","","569.166","","","","","","","","","","","","","3","I m -3","-I 2 2 3","","Ni4 (As9.1 Ge2.9)","","- As9.1 Ge2.9 Ni4 -","- As9.096 Ge2.904 Ni4 -","- As18.192 Ge5.808 Ni8 -","2","0.0416667","","Grytsiv, A.V.; Rogl, P.; Knoll, P.; Paul, C.; Berger, S.; Lottermoser, W.; Musso, M.; Bauer, E.; Michor, H.; Hilscher, G.; Godart, C.; Saccone, A.; Ferro, R.; Roisnel, T.; Noel, H.","A novel skutterudite phase in the Ni - Sb - Sn system: phase equilibria and physical properties","Journal of Physics: Condensed Matter","2002","14","","7071","7090","","","","","","","","","","","","","","","","","","","","","","has coordinates","156895","2020-10-21","18:00:00",""
"1536005","13.419","","13.419","","13.419","","90","","90","","90","","2416.35","","","","","","","","","","","","","3","P -4 3 n","P -4n 2 3","","Ba4 (Ge As4)","","- As4 Ba4 Ge -","- As4 Ba4 Ge -","- As32 Ba32 Ge8 -","8","0.333333","","Eisenmann, B.; Jordan, H.; Schaefer, H.","Zintlphasen mit isolierten Si As4 - bzw. Ge As4 - Anionen: Darstellung und Struktur von Ba4 Si As4 und Ba4 Ge As4 sowie Sr4 Si As4 und Sr4 Ge As4","Zeitschrift fuer Anorganische und Allgemeine Chemie","1981","475","","74","80","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1541232","7.182","","7.42","","12.671","","90","","90","","90","","675.243","","","","","","","","","","","","","3","P n m a","-P 2ac 2n","","Cd2 Ge As4","","- As4 Cd2 Ge -","- As4 Cd2 Ge -","- As16 Cd8 Ge4 -","4","0.5","","Mikkelsen, J.C.Jr.; Hong, H.Y.-P.","Cd2 Ge As4: A new ternary phase in the Cd1b Ge1b As system","Materials Research Bulletin","1974","9","","1209","1218","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
