# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T04:00:51+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Ge[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Sb[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1521489","10.9008","","10.9008","","10.9008","","90","","90","","90","","1295.31","","","","","","","","","","","","","4","P m -3 n","-P 4n 2 3","","Ba8 Ga17.134 Sb2.78 Ge25.595","","- Ba8 Ga17.134 Ge25.595 Sb2.78 -","- Ba8 Ga17.134 Ge25.5956 Sb2.7776 -","- Ba8 Ga17.134 Ge25.5956 Sb2.7776 -","1","0.0208333","","Latturner, S.; Bu Xianhui; Blake, N.; Metiu, H.; Stucky, G.","Gallium antimonide-doped germanium clathrate - a p-type thermoelectric cage structure","Journal of Solid State Chemistry","2000","151","","61","64","","","","","","","","","","","","","","","","","","","","","","has coordinates","141700","2020-10-21","18:00:00",""
"1526606","4.254","","4.254","","102.02","","90","","90","","120","","1598.86","","","","","","","","","","","","","3","R -3 m :H","-R 3 2""","","","","- Ge1.1 Sb5.1 Te10.02 -","- Ge1.1 Sb5.1 Te10.02 -","- Ge3.3 Sb15.3 Te30.06 -","3","0.0833333","","Shelimova, L.E.; Kosyakov, V.I.; Kretova, M.A.; Karpinskii, O.G.; Shestakov, V.A.; Kuznetsov, F.A.; Zemskov, V.S.","Homologous series of layered tetradymite-like compounds in the Sb-Te and (Ge Te) - (Sb2 Te3) systems","Neorganicheskie Materialy","2000","36","","928","936","","","","","","","","","","","","","","","","","","","","","","has coordinates","211196","2020-10-21","18:00:00",""
"1531640","7.0823","","7.0823","","9.5621","","90","","90","","120","","415.368","","","","","","","","","","","","","3","P 63/m","-P 6c","","(Ge O)3 (Sb O3)2","","- Ge3 O9 Sb2 -","- Ge3 O9 Sb2 -","- Ge6 O18 Sb4 -","2","0.166667","","Ke, Y.-X.; Li, J.M.; Zhang, Y.-G.; Lu, S.-M.; Lei, Z.-B.","Synthesis and structure of a 3-rings antimony germanate: Sb2 Ge3 O9","Solid State Sciences","2002","4","","803","806","","","","","","","","","","","","","","","","","","","","","","has coordinates","157161","2020-10-21","18:00:00",""
"1534480","6.712","","8.881","","7.211","","90","","114.65","","90","","390.672","","","","","","","","","","","","","4","C 1 2/c 1","-C 2yc","","Na Sb (Ge O4) O","","- Ge Na O5 Sb -","- Ge Na O5 Sb -","- Ge4 Na4 O20 Sb4 -","4","0.5","","Genkina, E.A.; Mill', B.V.","Crystal structures of sphens NaSbGeO5, NaTaGeO5 and LiTaSiO5.","Kristallografiya","1992","37","","1424","1428","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1534657","16.333","","12.5115","","13.0321","","90","","103.457","","90","","2590","","","","","","","","","","","","","5","P 1 21/c 1","-P 2ybc","","Ba4 La (Ge Se4)3 Se Sb","","- Ba4 Ge3 La Sb Se13 -","- Ba4 Ge3 La Sb Se13 -","- Ba16 Ge12 La4 Sb4 Se52 -","4","1","","Assoud, A.; Soheilnia, N.; Kleinke, H.","Crystal and electronic structure of the red semiconductor Ba4 La Sb Ge3 Se13 comprising the complex anion (Ge2 Se7-Sb2 Se4-Ge2 Se7)(14-)","Journal of Solid State Chemistry","2004","177","","2249","2254","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1535069","13.224","","6.597","","10.759","","90","","90","","90","","938.601","","","","","","","","","","","","","4","P n a 21","P 2c -2n","","K Sb O (Ge O4)","","- Ge K O5 Sb -","- Ge K O5 Sb -","- Ge8 K8 O40 Sb8 -","8","2","","Belokoneva, E.L.; Mill', B.V.; Butashin, A.V.","Synthesis of germanates and silicates with the structure K Ti O P O4 and crystalline structure of K Sb O Ge O4","Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy","1991","27","","1708","1713","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1535093","13.355","","6.666","","10.754","","90","","90","","90","","957.369","","","","","","","","","","","","","4","P n a n","-P 2n 2bc","","Tl Sb O (Ge O4)","","- Ge O5 Sb Tl -","- Ge O5 Sb Tl -","- Ge8 O40 Sb8 Tl8 -","8","1","","Belokoneva, E.L.; Mill', B.V.","Crystal structure of alpha-Tl Sb O Ge O4 - high-temperature modification of K Ti O P O4.","Zhurnal Neorganicheskoi Khimii","1992","37","","252","256","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1535099","13.382","","6.708","","10.746","","90","","90","","90","","964.63","","","","","","","","","","","","","4","P n a 21","P 2c -2n","","Rb Sb O (Ge O4)","","- Ge O5 Rb Sb -","- Ge O5 Rb Sb -","- Ge8 O40 Rb8 Sb8 -","8","2","","Belokoneva, E.L.; Mill', B.V.","Crystal structures of K Ta O Ge O4 and Rb Sb O Ge O4.","Zhurnal Neorganicheskoi Khimii","1992","37","","998","1003","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1535102","7.239","","7.239","","20.026","","90","","90","","90","","1049.43","","","","","","","","","","","","","4","P -4 m 2","P -4 -2","","Cs Sb (Ge O4) O","","- Cs Ge O5 Sb -","- Cs Ge O5 Sb -","- Cs8 Ge8 O40 Sb8 -","8","1","","Belokoneva, E.L.; Mill', B.V.; Butashin, A.V.","Crystal structure of CsSbGeO5, a new germanate with ring radical (Ge4O12).","Zhurnal Neorganicheskoi Khimii","1992","37","","2435","2442","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1535112","13.358","","6.664","","10.762","","90","","90","","90","","958.009","","","","","","","","","","","","","4","P n a 21","P 2c -2n","","Tl Sb O (Ge O4)","","- Ge O5 Sb Tl -","- Ge O5 Sb Tl -","- Ge8 O40 Sb8 Tl8 -","8","2","","Belokoneva, E.L.; Dolgushin, F.M.; Antipin, M.Yu.; Mill', B.V.; Struchkov, Yu.T.","Study of phase transition in Tl Sb O Ge O4 crystals in the temperature range 123-293 K","Zhurnal Neorganicheskoi Khimii","1993","38","","631","636","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1535120","13.008","","6.433","","10.736","","90","","90","","90","","898.393","","","","","","","","","","","","","4","P n a 21","P 2c -2n","","Na Sb O (Ge O4)","","- Ge Na O5 Sb -","- Ge Na O5 Sb -","- Ge8 Na8 O40 Sb8 -","8","2","","Belokoneva, E.L.; Mill', B.V.","Crystal structures of beta-NaSbOGeO4 and AgSbOSiO4 and migration paths of ions in structures of KTiOPO4 type","Zhurnal Neorganicheskoi Khimii","1994","39","","355","362","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1535124","13.331","","6.659","","10.74","","90","","90","","90","","953.402","","","","","","","","","","","","","4","P n a n","-P 2n 2bc","","Tl Sb O (Ge O4)","","- Ge O5 Sb Tl -","- Ge O5 Sb Tl -","- Ge8 O40 Sb8 Tl8 -","8","1","","Belokoneva, E.L.; Antipin, M.Yu.; Dolgushin, F.M.; Mill', B.V.; Struchkov, Yu.T.","A study of intermediate structural states of Tl Sb O Ge O4 during phase transitions in the temperature range 123-293 K","Zhurnal Neorganicheskoi Khimii","1994","39","","1080","1086","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1535128","6.749","","8.923","","7.248","","90","","114.64","","90","","396.74","","","","","","","","","","","","","4","C 1 2/c 1","-C 2yc","","Na Sb (Ge O5)","","- Ge Na O5 Sb -","- Ge Na O5 Sb -","- Ge4 Na4 O20 Sb4 -","4","0.5","","Belokoneva, E.L.","Crystal structure of Na Sb Ge O5 - an analogue of mineral sphene Ca Ti Si O5","Zhurnal Strukturnoi Khimii (Issue-No. from 1981)","1993","34","","177","178","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1535363","8.8452","","8.8452","","7.9785","","90","","90","","120","","540.589","","","","","","","","","","","","","4","P 6/m m m","-P 6 2","","Ti0.49 Fe6 Ge4 (Ge1.04 Sb0.96)","","- Fe6 Ge5.04 Sb0.96 Ti0.49 -","- Fe6 Ge5.03733 Sb0.962667 Ti0.49 -","- Fe18 Ge15.112 Sb2.888 Ti1.47 -","3","0.125","","Mills, A.M.; Mar, A.; Anderson, E.J.","Structures of the quaternary iron germanium antimonides R1-x (R, Fe)6 Ge4 (Ge, Sb)2 (R= Ti, Cr, Mn), filled derivatives of Fe Ge1-x Sbx","Journal of Alloys Compd.","2001","322","","103","112","","","","","","","","","","","","","","","","","","","","","","has coordinates","162682","2020-10-21","18:00:00",""
"1535365","8.8504","","8.8504","","8.0246","","90","","90","","120","","544.352","","","","","","","","","","","","","4","P 6/m m m","-P 6 2","","Cr0.15 (Cr0.66 Fe5.34) Ge4.55 (Ge0.62 Sb0.84)","","- Cr0.81 Fe5.34 Ge5.17 Sb0.84 -","- Cr0.805667 Fe5.34 Ge5.16667 Sb0.84 -","- Cr2.417 Fe16.02 Ge15.5 Sb2.52 -","3","0.125","","Mills, A.M.; Anderson, E.J.; Mar, A.","Structures of the quaternary iron germanium antimonides R1-x (R, Fe)6 Ge4 (Ge, Sb)2 (R = Ti, Cr, Mn), filled derivatives of Fe Ge1-x Sbx","Journal of Alloys Compd.","2001","322","","103","112","","","","","","","","","","","","","","","","","","","","","","has coordinates","162686","2020-10-21","18:00:00",""
"1535368","8.9099","","8.9099","","7.9665","","90","","90","","120","","547.701","","","","","","","","","","","","","4","P 6/m m m","-P 6 2","","Mn0.4 (Mn1.38 Fe4.62) Ge4 (Ge0.85 Sb1.15)","","- Fe4.62 Ge4.85 Mn1.78 Sb1.15 -","- Fe4.62 Ge4.84667 Mn1.77667 Sb1.15333 -","- Fe13.86 Ge14.54 Mn5.33 Sb3.46 -","3","0.125","","Mills, A.M.; Anderson, E.J.; Mar, A.","Structures of the quaternary iron germanium antimonides R1-x (R, Fe)6 Ge4 (Ge, Sb)2 (R= Ti, Cr, Mn), filled derivatives of Fe Ge1-x Sbx","Journal of Alloys Compd.","2001","322","","103","112","","","","","","","","","","","","","","","","","","","","","","has coordinates","162690","2020-10-21","18:00:00",""
