# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T04:00:23+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Ge[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " In[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1509030","5.7676","","5.7676","","10.8272","","90","","90","","90","","360.169","","","","","","","","","","","","","4","P -4 2 c","P -4 2c","","Silver indium germanium selenide (0.74/1/1/4)","","- Ag0.735 Ge In Se4 -","- Ag0.735 Ge In Se4 -","- Ag1.47 Ge2 In2 Se8 -","2","0.25","","Olekseyuk, I.D.; Krykhovets, O.V.; Gulay, L.D.","Crystal structure of the Ag0.735 In Ge Se4 compound","Journal of Alloys Compd.","2002","337","","182","185","10.1016/S0925-8388(01)01945-4","","","","","","","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1509808","12.692","","7.492","","12.644","","90","","109.5","","90","","1133.34","","","","","","","","","","","","","4","C 1 c 1","C -2yc","","Ag2 In2 Ge Se6","","- Ag2 Ge In2 Se6 -","- Ag2 Ge In2 Se6 -","- Ag8 Ge4 In8 Se24 -","4","1","","Glowyak, T.; Sysa, L.V.; Krykhovets, O.V.; Olekseyuk, I.D.","Crystal structure of Ag2 In2 Ge Se6","Journal of Alloys Compd.","1999","287","","181","184","10.1016/S0925-8388(99)00016-X","","","","","","","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1521403","14.7409","","14.7409","","14.7409","","90","","90","","90","","3203.11","","","","","","","","","","","","","3","P 43 3 2","P 4acd 2ab 3","","","","- Ba6 Ge21.94 In3.06 -","- Ba6 Ge21.942 In3.058 -","- Ba24 Ge87.768 In12.232 -","4","0.166667","","Kim, S.-J.; Hu, S.-Q.; Uher, C.; Hogan, T.; Huang, B.-Q.; Corbett, J.D.; Kanatzidis, M.G.","Structure and thermoelectric properties of Ba6 Ge25-x, Ba6 Ge23 Sn2, and Ba6 Ge22 In3: Zintl phases with a chiral clathrate structure","Journal of Solid State Chemistry","2000","153","","321","329","","","","","","","","","","","","","","","","","","","","","","has coordinates","211196","2020-10-21","18:00:00",""
"1521679","12.142","","12.142","","15.919","","90","","90","","90","","2346.91","","","","","","","","","","","","","3","I 4/m c m","-I 4 2c","","Ce3 In0.89 Ge1.11","","- Ce3 Ge1.11 In0.89 -","- Ce3 Ge1.11 In0.89 -","- Ce48 Ge17.76 In14.24 -","16","0.5","","Nychyporuk, G.; Zaremba, V.; Pietraszko, A.; Stepien-Damm, J.; Kal'ichak, Ya.M.","Crystal structure of Ce3 Ge1.11 In0.89 and related compounds","Journal of Alloys Compd.","2000","312","","154","157","","","","","","","","","","","","","","","","","","","","","","has coordinates","141892","2020-10-21","18:00:00",""
"1525911","12.073","","12.073","","16.829","","90","","90","","90","","2452.95","","","","","","","","","","","","","3","I 4/m m m","-I 4 2","","La11 In6 Ge4","","- Ge4 In6 La11 -","- Ge4 In6 La11 -","- Ge16 In24 La44 -","4","0.125","","Mao, J.-G.; Guloy, A.M.","Synthesis, crystal structure and chemical bonding of a new La - In - Ge ternary phase: La11 In6 Ge4","Journal of Alloys Compd.","2001","322","","135","142","","","","","","","","","","","","","","","","","","","","","","has coordinates","146985","2020-10-21","18:00:00",""
"1530944","6.59","","4.91","","8.72","","90","","90","","102","","275.986","","","","","","","","","","","","","3","B 1 1 2/m","-B 2","","In2 Ge2 O7","","- Ge2 In2 O7 -","- Ge2 In2 O7 -","- Ge4 In4 O14 -","2","0.25","","Vavilin, V.I.; Ilyukhin, V.V.; Soldatov, E.A.; Kuz'min, E.A.; Gladkih, E.A.; Belov, N.V.","About the crystal structure of indium pyrogermanate In2 Ge2 O7","Doklady Akademii Nauk SSSR","1973","213","","837","839","","","","","","","","","","","","","","","","","","","","","","has coordinates","176428","2020-10-21","18:00:00",""
"1531696","6.8818","","8.8774","","9.7892","","90","","101.401","","90","","586.246","","","","","","","","","","","","","4","C 1 2/c 1","-C 2yc","","In Tb (Ge2 O7)","","- Ge2 In O7 Tb -","- Ge2 In O7 Tb -","- Ge8 In4 O28 Tb4 -","4","0.5","","Juarez-Arellano, E.A.; Bucio, L.; Hernandez, J.A.; Carbonio, R.E.; Camarillo, E.; Orozco, E.","Synthesis, crystal structure and preliminary study of luminescent properties of In Tb Ge2 O7","Journal of Solid State Chemistry","2003","170","","418","423","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1536957","7.496","","7.496","","4.3249","","90","","90","","90","","243.016","","","","","","","","","","","","","3","P 4/m b m","-P 4 2ab","","Nd2 Ge2 In","","- Ge2 In Nd2 -","- Ge2 In Nd2 -","- Ge4 In2 Nd4 -","2","0.125","","Zaremba, V.I.; Kaczorowski, D.; Nychyporuk, G.; Poettgen, R.; Rodewald, U.C.","Structure and physical properties of RE2 Ge2 In (RE = La, Ce, Pr, Nd)","Solid State Sciences","2004","6","","1301","1306","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1536960","7.532","","7.532","","4.3469","","90","","90","","90","","246.604","","","","","","","","","","","","","3","P 4/m b m","-P 4 2ab","","Pr2 Ge2 In","","- Ge2 In Pr2 -","- Ge2 In Pr2 -","- Ge4 In2 Pr4 -","2","0.125","","Zaremba, V.I.; Kaczorowski, D.; Nychyporuk, G.; Rodewald, U.C.; Poettgen, R.","Structure and physical properties of RE2 Ge2 In (RE = La, Ce, Pr, Nd)","Solid State Sciences","2004","6","","1301","1306","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1536963","7.563","","7.563","","4.381","","90","","90","","90","","250.589","","","","","","","","","","","","","3","P 4/m b m","-P 4 2ab","","","","- Ce2 Ge2 In -","- Ce2 Ge2 In -","- Ce4 Ge4 In2 -","2","0.125","","Zaremba, V.I.; Nychyporuk, G. P.; Johrendt, D.; Rodewald, U.C.; Poettgen, R.","Structure and Chemical Bonding of Ce2 Ge2 In and Ce2 Pt2 In","Solid State Sciences","2005","7","","998","1002","","","","","","","","","","","","","","","","","","","","","","has coordinates","211196","2020-10-21","18:00:00",""
