# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T04:03:25+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " In[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Sb[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1008526","15.288","0.005","7.544","0.001","16.79","0.003","90","","90.54","0.02","90","","1936.3","","","","","","","","","","","","","3","P 1 21/c 1","-P 2ybc","","Tetrapotassium phyllo-hexaantimonidotetraindate","","- In4 K4 Sb6 -","- In4 K4 Sb6 -","- In16 K16 Sb24 -","4","1","","Birdwishtell, T L T; Klein, C L; Jeffries, T; Stevens, E D; O'Connor, C J","Synthesis and crystal structures of the layered I-III-V Zintl phases, K~4~In~4~X~6~, where X=As, Sb","Journal of Materials Chemistry","1991","1","4","555","558","10.1039/jm9910100555","","","","","","0.042","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1011354","6.461","","6.461","","6.461","","90","","90","","90","","269.7","","","","","","","","","","","","","2","F -4 3 m","F -4 2 3","","Indium antimonide","","- In Sb -","- In Sb -","- In4 Sb4 -","4","0.0416667","","Iandelli, A","Sulla struttura dei composti In P, In As e In Sb","Gazzetta Chimica Italiana","1940","70","","58","62","","","","","","","","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1508973","4.3553","","4.3553","","11.276","","90","","90","","120","","185.234","","","","","","","","","","","","","4","R -3 m :H","-R 3 2""","","Silver indium antimony telluride (0.034/0.037/0.764/0.165)","","- Ag0.034 In0.037 Sb0.764 Te0.165 -","- Ag0.034 In0.037 Sb0.764 Te0.165 -","- Ag0.204 In0.222 Sb4.584 Te0.99 -","6","0.166667","","Matsunaga, T.; Umetami, Y.; Yamada, N.","Structural study of a Ag3.4 In3.7 Sb76.4 Te16.5 quadruple compound utilized for phase-change optical disks","Physical Review, Serie 3. B - Condensed Matter (18,1978-)","2001","64","","184116","","10.1103/PhysRevB.64.184116","","","","","","","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1509070","4.3747","","4.3747","","5.8087","","90","","90","","120","","96.273","","","","","","","","","","","","","4","R -3 m :H","-R 3 2""","","Silver indium antimony telluride (0.034/0.037/0.764/0.165)","","- Ag0.034 In0.037 Sb0.764 Te0.165 -","- Ag0.034 In0.037 Sb0.764 Te0.165 -","- Ag0.102 In0.111 Sb2.292 Te0.495 -","3","0.0833333","","Umetami, Y.; Yamada, N.; Matsunaga, T.","Structural study of a Ag3.4 In3.7 Sb76.4 Te16.5 quadruple compound utilized for phase-change optical disks","Physical Review, Serie 3. B - Condensed Matter (18,1978-)","2001","64","","184116","","10.1103/PhysRevB.64.184116","","","","","","","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1509649","5.71","","5.71","","5.71","","90","","90","","90","","186.169","","","","","","","","","","","","","4","F m -3 m","-F 4 2 3","","","","- Ag2 In Sb Se4 -","- Ag2 In Sb Se4 -","- Ag2 In Sb Se4 -","1","0.00520833","","Schanow, W.; Range, K.J.","Homogene abschreckbare Hochdruckphasen in den Systemen Ag Sb Se2 - Ag In Se2 und Ag Bi Se2 - Ag In Se2","Materials Research Bulletin","1983","18","","39","44","10.1016/0025-5408(83)90169-1","","","","","","","","","","","","","","","","","","","","","has coordinates","211196","2020-10-21","18:00:00",""
"1523315","6.161","","6.161","","6.161","","90","","90","","90","","233.859","","","","","","","","","","","","","3","F -4 3 m","F -4 2 3","","(Ga0.8 In0.2) Sb","","- Ga0.8 In0.2 Sb -","- Ga0.8 In0.2 Sb -","- Ga3.2 In0.8 Sb4 -","4","0.0416667","","Bucher, G.; Ellner, M.; Sommer, F.; Predel, B.","Zur Gueltigkeit des Zen'schen Gesetzts unnd des Le Chatelier'schen Prinzips in einigen Phasen mit Grimm- Sommerfeld-Bindung","Monatshefte fuer Chemie (-108,1977)","1986","117","","1367","1378","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1525500","5.712","","5.357","","3.063","","90","","90","","90","","93.725","","","","","","","","","","","","","2","P m m n :1","P 2 2ab -1ab","","","","- In Sb -","- In Sb -","- In2 Sb2 -","2","0.25","","Yu, S.-C.; Spain, I.L.; Skelton, E.F.","Polimorphism and the crystal structures of In Sb at elevated temperature and pressure","Journal of Applied Physics","1978","49","","4741","4745","","","","","","","","","","","","","","","","","","","","","","has coordinates","211196","2020-10-21","18:00:00",""
"1525960","4.347","","4.347","","11.2415","","90","","90","","120","","183.965","","","","","","","","","","","","","4","R -3 m :H","-R 3 2""","","","","- Ag0.034 In0.037 Sb0.764 Te0.165 -","- Ag0.034 In0.037 Sb0.764 Te0.165 -","- Ag0.204 In0.222 Sb4.584 Te0.99 -","6","0.166667","","Matsunaga, T.; Umetami, Y.; Yamada, N.","Structural study of a Ag3.4 In3.7 Sb76.4 Te16.5 quadruple compound utilized for phase-change optical disks","Physical Review, Serie 3. B - Condensed Matter (18,1978-)","2001","64","","1841161","1841167","","","","","","","","","","","","","","","","","","","","","","has coordinates","211196","2020-10-21","18:00:00",""
"1526631","7.3992","","23.001","","4.5139","","90","","90","","90","","768.216","","","","","","","","","","","","","3","P b a m","-P 2 2ab","","Yb5 In2 Sb6","","- In2 Sb6 Yb5 -","- In2 Sb6 Yb5 -","- In4 Sb12 Yb10 -","2","0.25","","Kim, S.-J.; Ireland, J.R.; Kanatzidis, M.G.; Kannewurf, C.R.","Yb5 In2 Sb6: a new rare earth Zintl phase with a narrow band gap","Journal of Solid State Chemistry","2000","155","","55","61","","","","","","","","","","","","","","","","","","","","","","has coordinates","147863","2020-10-21","18:00:00",""
"1527920","6.462","","6.462","","6.462","","90","","90","","90","","269.837","","","","","","","","","","","","","3","F -4 3 m","F -4 2 3","","(Eu0.05 In0.95) Sb","","- Eu0.05 In0.95 Sb -","- Eu0.05 In0.95 Sb -","- Eu0.2 In3.8 Sb4 -","4","0.0416667","","Partin, D.L.; Thrush, C.M.; Morelli, D.T.; Heremans, J.","The role of rare earths in narrow energy gap semiconductors","Materials Research Society Symposia Proceedings","1991","216","","527","535","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
