# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T04:03:51+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " IN[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Sn[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1100412","13.057","0.001","13.057","0.001","13.057","0.001","90","","90","","90","","2226.03","","","","","","","","","","","","","5","P 21 3","P 2ac 2ab 3","","","","- C12 H36 In N Sn3 -","- C12 H36 In N Sn3 -","- C48 H144 In4 N4 Sn12 -","4","0.333333","","Hillwig, Ralf; Harms, Klaus; Dehnicke, Kurt","Zur Chemie des Tris(trimethylstannyl) amins. Die Kristallstrukturen von [Me~3~In‒N(SnMe~3~)~3~] and [RClln‒N(SnMe~3~)~2~]~2~ mit R=Methyl und Ethyl","Journal of Organometallic Chemistry","1995","501","1-2","327","332","10.1016/0022-328x(95)05706-u","","","","","","","","","","","","","","","","","","","","","has coordinates","178082","2020-10-21","18:00:00",""
"1100413","10.104","0.002","9.769","0.002","15.603","0.004","90","","94.28","0.02","90","","1535.81","","","","","","","","","","","","","6","P 1 21/n 1","-P 2yn","","","","- C14 H42 Cl2 In2 N2 Sn4 -","- C28 H84 Cl4 In4 N4 Sn8 -","- C56 H168 Cl8 In8 N8 Sn16 -","2","0.5","","Hillwig, Ralf; Harms, Klaus; Dehnicke, Kurt","Zur Chemie des Tris(trimethylstannyl) amins. Die Kristallstrukturen von [Me~3~In‒N(SnMe~3~)~3~] and [RClln‒N(SnMe~3~)~2~]~2~ mit R=Methyl und Ethyl","Journal of Organometallic Chemistry","1995","501","1-2","327","332","10.1016/0022-328x(95)05706-u","","","","","","","","","","","","","","","","","","","","","has coordinates","178082","2020-10-21","18:00:00",""
"1100414","11.262","0.001","9.931","0.002","14.603","0.001","90","","94.71","0.01","90","","1627.73","","","","","","","","","","","","","6","P 1 21/n 1","-P 2yn","","","","- C16 H46 Cl2 In2 N2 Sn4 -","- C32 H92 Cl4 In4 N4 Sn8 -","- C64 H184 Cl8 In8 N8 Sn16 -","2","0.5","","Hillwig, Ralf; Harms, Klaus; Dehnicke, Kurt","Zur Chemie des Tris(trimethylstannyl) amins. Die Kristallstrukturen von [Me~3~In‒N(SnMe~3~)~3~] and [RClln‒N(SnMe~3~)~2~]~2~ mit R=Methyl und Ethyl","Journal of Organometallic Chemistry","1995","501","1-2","327","332","10.1016/0022-328x(95)05706-u","","","","","","","","","","","","","","","","","","","","","has coordinates","178082","2020-10-21","18:00:00",""
"1508416","7.2604","0.0013","7.2604","0.0013","5.382","0.002","90","","90","","120","","245.69","0.11","120","2","120","2","","","","","","","","3","P 63/m m c","-P 6c 2c","","","","- Ba In0.2 Sn2.8 -","- Ba In0.21 Sn2.79 -","- Ba2 In0.42 Sn5.58 -","2","0.0833333","","Schαfer, Marion C.; Yamasaki, Yuki; Fritsch, Veronika; Bobev, Svilen","Indium Doping in BaSn3-x Inx (0 <= x <= 0.2) with Ni3Sn Structure","Crystals","2012","1","3","104","111","10.3390/cryst1030104","","","0.71073","MoKα","","0.0207","0.0207","","","0.041","0.041","","","","","","1.295","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1508986","10.76","","10.76","","10.76","","90","","90","","90","","1245.77","","","","","","","","","","","","","4","F d -3 m :2","-F 4vw 2vw 3","","Silver indium tin(IV) sulfide (0.5/0.5/0.5/2)","","- Ag0.5 In0.5 S2 Sn0.5 -","- Ag0.5 In0.5 S2 Sn0.5 -","- Ag8 In8 S32 Sn8 -","16","0.0833333","","Danot, M.; Rouxel, J.; Colombet, P.","Les systemes pseudo-binaires Ag In S2-Sn S2 et Cu In S2-Sn S2 les spinelles Agx Inx Sn1-x S2 et Cux Inx Sn1-x S2","Revue de Chimie Minerale","1979","16","","179","188","","","","","","","","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1509089","10.783","","10.783","","10.783","","90","","90","","90","","1253.77","","","","","","","","","","","","","4","F d -3 m :2","-F 4vw 2vw 3","","Silver indium tin sulfide (0.3/0.6/0.4/2)","","- Ag0.3 In0.6 S2 Sn0.4 -","- Ag0.3 In0.6 S2 Sn0.4 -","- Ag4.8 In9.6 S32 Sn6.4 -","16","0.0833333","","Danot, M.; Rouxel, J.; Colombet, P.","Les systemes pseudo-binaires Ag In S2-Sn S2 et Cu In S2-Sn S2 les spinelles Agx Inx Sn1-x S2 et Cux Inx Sn1-x S2","Revue de Chimie Minerale","1979","16","","179","188","","","","","","","","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1509116","10.736","","10.736","","10.736","","90","","90","","90","","1237.45","","","","","","","","","","","","","4","F d -3 m :2","-F 4vw 2vw 3","","Silver indium tin(IV) sulfide (0.4/0.4/0.6/2)","","- Ag0.4 In0.4 S2 Sn0.6 -","- Ag0.4 In0.4 S2 Sn0.6 -","- Ag6.4 In6.4 S32 Sn9.6 -","16","0.0833333","","Colombet, P.; Danot, M.; Rouxel, J.","Les systemes pseudo-binaires Ag In S2-Sn S2 et Cu In S2-Sn S2 les spinelles Agx Inx Sn1-x S2 et Cux Inx Sn1-x S2","Revue de Chimie Minerale","1979","16","","179","188","","","","","","","","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1509405","10.74","","10.74","","10.74","","90","","90","","90","","1238.83","","","","","","","","","","","","","4","F d -3 m :1","F 4d 2 3 -1d","","","","- Ag In S4 Sn -","- Ag In S4 Sn -","- Ag8 In8 S32 Sn8 -","8","0.0416667","","Eulenberger, G.; Strick, G.; Hahn, H.","Ueber einige quaternaere Chalkogenide mit Spinellstruktur","Zeitschrift fuer Anorganische und Allgemeine Chemie","1968","357","","338","344","10.1002/zaac.19683570421","","","","","","","","","","","","","","","","","","","","","has coordinates","211196","2020-10-21","18:00:00",""
"1510374","6.5129","","6.5129","","6.5129","","90","","90","","90","","276.263","","","","","","","","","","","","","4","F m -3 m","-F 4 2 3","","Au2 (Cd In2 Sn)","","- Au2 Cd In2 Sn -","- Au2 Cd In2 Sn -","- Au4 Cd2 In4 Sn2 -","2","0.0104167","","Krompholz, K.; Weiss, A.","Ca F2-type intermetallic phases Au Cdy Sny In2-2y (y=0-1)","Zeitschrift fuer Metallkunde","1976","67","","400","403","","","","","","","","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1520838","11.995","","11.995","","15.943","","90","","90","","90","","2293.88","","","","","","","","","","","","","3","I 4/m c m","-I 4 2c","","In Sn Cl3","","- Cl3 In Sn -","- Cl3 In Sn -","- Cl48 In16 Sn16 -","16","0.5","","Beck, H.P.; Stoewe, K.; Tratzky, H.; Kallmayer, V.","The (In Sn Cl3) - type arrangement. I. A new A B X3 structure type with close cation-cation contacts","Journal of Solid State Chemistry","1999","146","","344","350","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
