# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:49:55+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " P[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " As[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1001320","12.955","0.005","12.955","0.005","12.955","0.005","90","","90","","90","","2174.3","","","","","","","","","","","","","4","P a -3","-P 2ac 2ab 3","","CADMIUM ARSENIDE PHOSPHIDE IODIDE (4/1.5/0.5/3)","","- As1.5 Cd4 I3 P0.5 -","- As1.5 Cd4 I3 P0.5 -","- As12 Cd32 I24 P4 -","8","0.333333","","Rebbah, A; Deschanvres, A","Etude comparative des structures des phases Cd~4~ A~2~ I~3~ (A=As, P) et de leur solution solide","Revue de Chimie Minerale","1981","18","","125","132","","","","","","","0.086","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1001321","12.884","0.005","12.884","0.005","12.884","0.005","90","","90","","90","","2138.7","","","","","","","","","","","","","4","P a -3","-P 2ac 2ab 3","","TETRACADMIUM ARSENIDE PHOSPHIDE TRIIODIDE","","- As Cd4 I3 P -","- As Cd4 I3 P -","- As8 Cd32 I24 P8 -","8","0.333333","","Rebbah, A; Deschanvres, A","Etude comparative des structures des phases Cd~4~ A~2~ I~3~ (A=As, P) et de leur solution solide","Revue de Chimie Minerale","1981","18","","125","132","","","","","","","0.085","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001322","12.843","0.005","12.843","0.005","12.843","0.005","90","","90","","90","","2118.4","","","","","","","","","","","","","4","P a -3","-P 2ac 2ab 3","","CADMIUM ARSENIDE PHOSPHIDE IODIDE (4/0.5/1.5/3)","","- As0.5 Cd4 I3 P1.5 -","- As0.5 Cd4 I3 P1.5 -","- As4 Cd32 I24 P12 -","8","0.333333","","Rebbah, A; Deschanvres, A","Etude comparative des structures des phases Cd~4~ A~2~ I~3~ (A=As, P) et de leur solution solide","Revue de Chimie Minerale","1981","18","","125","132","","","","","","","0.081","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1001323","12.521","0.002","12.521","0.002","12.521","0.002","90","","90","","90","","1963","","","","","","","","","","","","","4","P a -3","-P 2ac 2ab 3","","TETRACADMIUM PHOSPHIDE ARSENIDE TRIBROMIDE","","- As Br3 Cd4 P -","- As Br3 Cd4 P -","- As8 Br24 Cd32 P8 -","8","0.333333","","Rebbah, A; Deschanvres, A","Structure cristalline de Cd~4~ P As Br~3~","Annales de Chimie (Paris) (Vol=Year)","1981","1981","","585","590","","","","","","","0.064","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1007128","10.47","","10.47","","10.47","","90","","90","","90","","1147.7","","","","","","","","","","","","","5","I -4 3 d","I -4bd 2c 3","","Bismuth trilead arsenate bis(phosphate)","","- As Bi O12 P2 Pb3 -","","","4","0.0833333","","Durif, A","Sur quelques composes isomorphes de l'Eulytine.","Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences (1884 - 1965)","1957","244","","2815","2817","","","","","","","","","","","","","","","","","","","","","","","130149","2020-10-21","18:00:00",""
"1007131","10.578","","10.578","","10.578","","90","","90","","90","","1183.6","","","","","","","","","","","","","5","I -4 3 d","I -4bd 2c 3","","Bismuth trilead phosphate bis(arsenate)","","- As2 Bi O12 P Pb3 -","","","4","0.0833333","","Durif, A","Sur quelques composes isomorphes de l'Eulytine.","Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences (1884 - 1965)","1957","244","","2815","2817","","","","","","","","","","","","","","","","","","","","","","","130149","2020-10-21","18:00:00",""
"1100491","10.689","0.002","13.204","0.002","23.792","0.004","90","","94.85","0.01","90","","3345.92","","","","","","","","","","","","","6","P 1 21/c 1","-P 2ybc","","","","- C6 H18 As2 Cl4 N2 P2 -","- C6 H18 As2 Cl4 N2 P2 -","- C48 H144 As16 Cl32 N16 P16 -","8","2","","Garbe, Ralf; Wocadlo, Sigrid; Kang, Hak-Chul; Massa, Werner; Harms, Klaus; Dehnicke, Kurt","Phosphaniminato-Komplexe des Arsens. Kristallstrukturen von [AsCl(NPMe~3~)]~2~Cl~2~, [AsCl(NPMe~3~)~2~SbCl~4~]SbCl~6~ und [AsCl(NPMe~3~)~2~SnCl~4~] · CH~3~CN","Chemische Berichte","1996","129","1","109","113","10.1002/cber.19961290120","","","","","","","","","","","","","","","","","","","","","has coordinates","177576","2020-10-21","18:00:00",""
"1100492","26.667","0.006","7.921","0.003","25.604","0.002","90","","95.84","0.01","90","","5380.25","","","","","","","","","","","","","7","C 1 2/c 1","-C 2yc","","","","- C6 H18 As Cl11 N2 P2 Sb2 -","- C6 As Cl11 N2 P2 Sb2 -","- C48 As8 Cl88 N16 P16 Sb16 -","8","1","","Garbe, Ralf; Wocadlo, Sigrid; Kang, Hak-Chul; Massa, Werner; Harms, Klaus; Dehnicke, Kurt","Phosphaniminato-Komplexe des Arsens. Kristallstrukturen von [AsCl(NPMe~3~)]~2~Cl~2~, [AsCl(NPMe~3~)~2~SbCl~4~]SbCl~6~ und [AsCl(NPMe~3~)~2~SnCl~4~] · CH~3~CN","Chemische Berichte","1996","129","1","109","113","10.1002/cber.19961290120","","","","","","","","","","","","","","","","","","","","","has coordinates","177576","2020-10-21","18:00:00",""
"1100493","8.895","0.002","14.233","0.001","17.012","0.001","90","","102.59","0.01","90","","2101.97","","","","","","","","","","","","","7","P 1 21/n 1","-P 2yn","","","","- C8 H21 As Cl5 N3 P2 Sn -","- C8 H21 As Cl5 N3 P2 Sn -","- C32 H84 As4 Cl20 N12 P8 Sn4 -","4","1","","Garbe, Ralf; Wocadlo, Sigrid; Kang, Hak-Chul; Massa, Werner; Harms, Klaus; Dehnicke, Kurt","Phosphaniminato-Komplexe des Arsens. Kristallstrukturen von [AsCl(NPMe~3~)]~2~Cl~2~, [AsCl(NPMe~3~)~2~SbCl~4~]SbCl~6~ und [AsCl(NPMe~3~)~2~SnCl~4~] · CH~3~CN","Chemische Berichte","1996","129","1","109","113","10.1002/cber.19961290120","","","","","","","","","","","","","","","","","","","","","has coordinates","177576","2020-10-21","18:00:00",""
"1100622","10.202","0.001","8.904","0.001","25.621","0.002","90","","92.06","0.01","90","","2325.87","","","","","","","","","","","","","6","P 1 21/c 1","-P 2ybc","","","","- C24 H30 As Cl N P -","- C24 H30 As Cl N P -","- C96 H120 As4 Cl4 N4 P4 -","4","1","","Chitsaz, Soheila; Neumüller, Bernhard; Harms, Klaus; Dehnicke, Kurt","Asymmetrisch substituierte Iminiumsalze [Et~3~PNAsPh~3~]X und ihre Reaktion mit Acetonitril. Kristallstrukturen von [Et~3~PNAsPh~3~]X (X = Cl, Br), [(Ph~3~As)~2~CCN]Br und [(Ph~3~As)~2~CCN(SnBr~5~)]","Zeitschrift fuer Anorganische und Allgemeine Chemie","1998","624","8","1341","1346","10.1002/(sici)1521-3749(199808)624:8<1341::aid-zaac1341>3.0.co;2-v","","","","","","","","","","","","","","","","","","","","","has coordinates","176951","2020-10-21","18:00:00",""
"1100623","10.262","0.001","8.929","0.001","25.702","0.002","90","","92.4","0.01","90","","2352.99","","","","","","","","","","","","","6","P 1 21/c 1","-P 2ybc","","","","- C24 H30 As Br N P -","- C24 H30 As Br N P -","- C96 H120 As4 Br4 N4 P4 -","4","1","","Chitsaz, Soheila; Neumüller, Bernhard; Harms, Klaus; Dehnicke, Kurt","Asymmetrisch substituierte Iminiumsalze [Et~3~PNAsPh~3~]X und ihre Reaktion mit Acetonitril. Kristallstrukturen von [Et~3~PNAsPh~3~]X (X = Cl, Br), [(Ph~3~As)~2~CCN]Br und [(Ph~3~As)~2~CCN(SnBr~5~)]","Zeitschrift fuer Anorganische und Allgemeine Chemie","1998","624","8","1341","1346","10.1002/(sici)1521-3749(199808)624:8<1341::aid-zaac1341>3.0.co;2-v","","","","","","","","","","","","","","","","","","","","","has coordinates","176951","2020-10-21","18:00:00",""
"1513843","24.928","0.0012","14.103","0.0007","17.8654","0.0008","90","","92.468","0.002","90","","6274.9","0.5","100","2","100","2","","","","","","","","7","C 1 2/c 1","-C 2yc","[bis((1,3-bis(2,6-diisopropylphenyl)-1H-imidazol-2-ylidene)phosphino)arsinium]Chloride","","","- C66 H96 As Cl N4 O3 P2 -","- C66 H96 As Cl N4 O3 P2 -","- C264 H384 As4 Cl4 N16 O12 P8 -","4","0.5","","Tondreau, Aaron M.; Benkő, Zoltán; Harmer, Jeffrey R.; Grützmacher, Hansjörg","Sodium phosphaethynolate, Na(OCP), as a “P” transfer reagent for the synthesis of N-heterocyclic carbene supported P3 and PAsP radicals","Chemical Science","2014","5","4","1545","","10.1039/c3sc53140f","","","0.71073","MoKα","","0.062","0.0414","","","0.094","0.1053","","","","","","1.038","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1513844","10.2682","0.0006","42.469","0.003","24.23","0.0012","90","","92.756","0.002","90","","10554","1.1","100","2","100","2","","","","","","","","5","C 1 c 1","C -2yc","arsenyl[bis((1,3-bis(2,6-diisopropylphenyl)-1H-imidazol-2-ylidene)phosphine)]","","","- C54 H72 As N4 P2 -","- C54 H72 As N4 P2 -","- C432 H576 As8 N32 P16 -","8","2","","Tondreau, Aaron M.; Benkő, Zoltán; Harmer, Jeffrey R.; Grützmacher, Hansjörg","Sodium phosphaethynolate, Na(OCP), as a “P” transfer reagent for the synthesis of N-heterocyclic carbene supported P3 and PAsP radicals","Chemical Science","2014","5","4","1545","","10.1039/c3sc53140f","","","0.71073","MoKα","","0.0852","0.0456","","","0.0842","0.1004","","","","","","0.974","","","","has coordinates","176729","2020-10-21","18:00:00",""
