# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:49:27+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " P[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Ge[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1001368","7.994","0.001","7.994","0.001","16.513","0.002","90","","90","","120","","913.9","","","","","","","","","","","","","4","P -3 1 c","-P 3 2c","","Germanium phosphatosilicate *","","- Ge3 O25 P6 Si2 -","- Ge3 O25 P6 Si2 -","- Ge6 O50 P12 Si4 -","2","0.166667","","Leclaire, A; Raveau, B","Ge~3~ P~6~ Si~2~ O~25~: A Cage Structure Closely Related to the Intersecting Tunnel Structure K Mo~3~ P~6~ Si~2~ O~25~","Journal of Solid State Chemistry","1988","75","","397","402","10.1016/0022-4596(88)90180-6","","","","","","0.043","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008431","14.311","0.004","5.994","0.002","15.618","0.004","90","","90","","90","","1339.7","","","","","","","","","","","","","3","P n m a","-P 2ac 2n","","Caesium triphosphidogermanate","","- Cs5 Ge P3 -","- Cs5 Ge P3 -","- Cs20 Ge4 P12 -","4","0.5","","Eisenmann, B; Klein, J; Somer, M","C O~3~^2-^ - isostere Anionen in Cs~5~ Si P~3~, Cs~5~ Si As~3~, Cs~5~ Ge P~3~ und Cs~5~ Ge As~3~","Angewandte Chemie (German Edition)","1990","102","","92","93","10.1002/ange.19901020127","","","","","","0.0829","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008461","13.966","0.004","5.582","0.002","15.256","0.004","90","0","90","0","90","0","1189.3","","","","","","","","","","","","","3","P n m a","-P 2ac 2n","","Pentarubidium triphosphidogermanate","","- Ge P3 Rb5 -","- Ge P3 Rb5 -","- Ge4 P12 Rb20 -","4","0.5","","Eisenmann, B; Klein, J; Somer, M","Crystal structure of pentarubidium triphosphidogermanate","Zeitschrift fuer Kristallographie (149,1979-)","1991","197","","263","264","","","","","","","0.059","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008510","8.275","0.005","8.275","0.005","20.47","0.03","90","","90","","120","","1213.9","","","","","","","","","","","","","4","R -3 c :H","-R 3 2""c","","Lithium germanium tris(phosphate)","","- Ge2 Li O12 P3 -","- Ge2 Li O12 P3 -","- Ge12 Li6 O72 P18 -","6","0.166667","","Alami, M; Brochu, R; Soubeyroux, J L; Gravereau, P; Le Flem, G; Hagenmueller, P","Structure and thermal expansion of LiGe~2~(PO~4~)~3~","Journal of Solid State Chemistry","1991","90","","185","193","10.1016/0022-4596(91)90134-4","","","","","","0.024","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1008511","8.2722","0.0002","8.2722","0.0002","20.4825","0.0007","90","","90","","120","","1213.8","","","","","","","","","","","","","4","R -3 c :H","-R 3 2""c","","Lithium germanium tris(phosphate)","","- Ge2 Li O12 P3 -","- Ge2 Li1.0002 O12 P3 -","- Ge12 Li6.0012 O72 P18 -","6","0.166667","","Alami, M; Brochu, R; Soubeyroux, J L; Gravereau, P; Le Flem, G; Hagenmueller, P","Structure and thermal expansion of LiGe~2~(PO~4~)~3~","Journal of Solid State Chemistry","1991","90","","185","193","10.1016/0022-4596(91)90134-4","","","","","","0.055","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1008512","8.2682","0.0009","8.2682","0.0009","20.494","0.004","90","","90","","120","","1213.3","","","","","","","","","","","","","4","R -3 c :H","-R 3 2""c","","Lithium germanium tris(phosphate)","","- Ge2 Li O12 P3 -","- Ge2 Li1.0002 O12 P3 -","- Ge12 Li6.0012 O72 P18 -","6","0.166667","","Alami, M; Brochu, R; Soubeyroux, J L; Gravereau, P; Le Flem, G; Hagenmueller, P","Structure and thermal expansion of LiGe~2~(PO~4~)~3~","Journal of Solid State Chemistry","1991","90","","185","193","10.1016/0022-4596(91)90134-4","","","","","","0.038","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1100899","11.4596","0.0005","12.0029","0.0005","16.3524","0.0007","78.569","0.001","89.576","0.001","75.536","0.001","2132.65","0.16","150","2","150","2","","","","","","","","6","P -1","-P 1","","","","- C35.5 H69 Ge N2 P2 Si4 -","- C35 H68 Ge N2 P2 Si4 -","- C70 H136 Ge2 N4 P4 Si8 -","2","1","","Izod, Keith; McFarlane, William; Allen, Ben; Clegg, William; Harrington, Ross W.","An Intramolecularly Base-Stabilized Diphosphagermylene and Two Unusual Germanium(II) Ate Complexes: A Structural, NMR, and DFT Study","Organometallics","2005","24","9","2157","2167","10.1021/om0501125","","","0.71073","MoKα","","0.0299","0.0268","","","0.0755","0.0776","","","","","","1.036","","","","has coordinates","210321","2020-10-21","18:00:00",""
"1100900","48.748","0.003","11.2312","0.0006","11.141","0.0006","90","","90","","90","","6099.7","0.6","160","2","160","2","","","","","","","","9","P n a 21","P 2c -2n","","","","- C44 H92 Ge I2 Li2 N2 O3 P2 Si4 -","- C44 H92 Ge I2 Li2 N2 O3 P2 Si4 -","- C176 H368 Ge4 I8 Li8 N8 O12 P8 Si16 -","4","1","","Izod, Keith; McFarlane, William; Allen, Ben; Clegg, William; Harrington, Ross W.","An Intramolecularly Base-Stabilized Diphosphagermylene and Two Unusual Germanium(II) Ate Complexes: A Structural, NMR, and DFT Study","Organometallics","2005","24","9","2157","2167","10.1021/om0501125","","","0.71073","MoKα","","0.0581","0.0476","","","0.0965","0.0998","","","","","","1.106","","","","has coordinates,has disorder","210321","2020-10-21","18:00:00",""
"1100901","23.4873","0.0005","23.4873","0.0005","23.4873","0.0005","90","","90","","90","","12956.8","0.5","150","2","150","2","","","","","","","","7","P a -3","-P 2ac 2ab 3","","","","- C48 H93 Ge K N3 P3 Si6 -","- C48 H93 Ge K N3 P3 Si6 -","- C384 H744 Ge8 K8 N24 P24 Si48 -","8","0.333333","","Izod, Keith; McFarlane, William; Allen, Ben; Clegg, William; Harrington, Ross W.","An Intramolecularly Base-Stabilized Diphosphagermylene and Two Unusual Germanium(II) Ate Complexes: A Structural, NMR, and DFT Study","Organometallics","2005","24","9","2157","2167","10.1021/om0501125","","","0.71073","MoKα","","0.0548","0.0402","","","0.1185","0.1358","","","","","","1.167","","","","has coordinates","210321","2020-10-21","18:00:00",""
"1509940","10.322","","10.322","","10.322","","90","","90","","90","","1099.74","","","","","","","","","","","","","3","I -4 3 m","I -4 2 3","","","","- Ag6 Ge10 P12 -","- Ag6 Ge10 P12 -","- Ag12 Ge20 P24 -","2","0.0416667","","Haeusler, K.G.; von Schnering, H.G.","Ag6 Ge10 P12, eine Verbindung mit Ag6-Cluster","Revue de Chimie Minerale","1976","13","","71","81","","","","","","","","","","","","","","","","","","","","","","has coordinates","211196","2020-10-21","18:00:00",""
