# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:50:22+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " P[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " In[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1000229","6.182","0.002","6.182","0.002","12.957","0.002","90","","90","","120","","428.8","","","","","","","","","","","","","4","P -3 1 c","-P 3 2c","","Silver indium phosphorus sulfide (.5/.5/1/3)","","- Ag0.5 In0.5 P S3 -","- Ag0.5 In0.5 P S3 -","- Ag2 In2 P4 S12 -","4","0.333333","","Ouili, Z; Leblanc, A; Colombet, P","Crystal structure of a new Lamellar compound Ag~.5~ In~.5~ P S~3~","Journal of Solid State Chemistry","1987","66","","86","94","10.1016/0022-4596(87)90223-4","","","","","","0.028","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1000378","6.0956","0.0004","10.5645","0.0006","13.623","0.0008","90","","107.101","0.003","90","","838.5","","","","","","","","","","","","","4","C 1 c 1","C -2yc","","Copper indium hexathiodiphosphate(IV) (1/1/1)","","- Cu0.975 In P2 S6 -","- Cu0.975 In P2 S6 -","- Cu3.9 In4 P8 S24 -","4","1","","Maisonneuve, V; Evain, M; Payen, C; Cajipe, V B; Molinie, P","Room-temperature crystal structure of the layered phase Cu(I) In(III) P2 S6","Journal of Alloys Compd.","1995","218","","157","164","10.1016/0925-8388(94)01416-7","","","","","","0.051","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1004009","6.4024","0.0001","6.4024","0.0001","13.358","0.0004","90","","90","","120","","474.2","","","","","","","","","","","","","4","P -3 1 c","","","Copper(I) Indium Hexaselenodiphosphate(IV)","","- Cu In P2 Se6 -","- Cu In P2 Se6 -","- Cu2 In2 P4 Se12 -","2","0.166667","","Bourdon, X.; Maisonneuve, V.; Cajipe, V. B.; Payen, C.; Fischer, J. E.","Copper sublattice ordering in layered Cu M P~2~ Se~6~ (M = In, Cr)","Journal of Alloys and Compounds","1999","283","1-2","122","127","10.1016/S0925-8388(98)00899-8","","","","","","0.118","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1008366","8.5476","0.0002","8.5476","0.0002","20.9512","0.0007","90","","90","","120","","1325.6","","","","","","","","","","","","","5","R -3 c :H","-R 3 2""c","","Lithium titanium indium phosphate (1.12/1.88/.12/3)","","- In0.12 Li1.12 O12 P3 Ti1.88 -","- In0.12 Li1.134 O12 P3 Ti1.88 -","- In0.72 Li6.804 O72 P18 Ti11.28 -","6","0.166667","","Tran, Qui D; Hamdoune, S; Soubeyroux, J L; Prince, E","Neutron powder diffraction study of solid solution Li~1+x~ Ti~2-x~ In~x~ P~3~ O~12~","Journal of Solid State Chemistry","1988","72","","309","315","10.1016/0022-4596(88)90034-5","","","","","","0.0302","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1008367","8.5604","0.0002","8.5604","0.0002","21.0219","0.001","90","","90","","120","","1334.1","","","","","","","","","","","","","5","R -3 c :H","-R 3 2""c","","Lithium titanium indium phosphate (1.15/1.85/.15/3)","","- In0.15 Li1.15 O12 P3 Ti1.85 -","- In0.15 Li1.152 O12 P3 Ti1.85 -","- In0.9 Li6.912 O72 P18 Ti11.1 -","6","0.166667","","Tran Qui, D; Hamdoune, S; Soubeyroux, J L; Prince, E","Neutron Powder Diffraction Study of Solid Solution Li~1+x~ Ti~2-x~ In~x~ P~3~ O~12~","Journal of Solid State Chemistry","1988","72","","309","315","10.1016/0022-4596(88)90034-5","","","","","","0.0515","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1010146","5.861","","5.861","","5.861","","90","","90","","90","","201.3","","","","","","","","","","","","","2","F -4 3 m","F -4 2 3","","Indium phosphide","","- In P -","- In P -","- In4 P4 -","4","0.0416667","","Iandelli, A","Sulla struttura dei composti In P, In As e In Sb","Gazzetta Chimica Italiana","1940","70","","58","62","","","","","","","","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1509399","6.483","","6.483","","13.33","","90","","90","","120","","485.191","","","","","","","","","","","","","4","P -3 1 c","-P 3 2c","","Ag In (P2 Se6)","","- Ag In P2 Se6 -","- Ag In P2 Se6 -","- Ag2 In2 P4 Se12 -","2","0.166667","","Kniep, R.; Pfeiff, R.","Quaternary selenodiphosphates(IV):M(I)M(III)(P2Se6), (M(I)=Cu,Ag;M(III)=Cr,Al,Ga,In)","Journal of Alloys Compd.","1992","186","","111","133","10.1016/0925-8388(92)90626-K","","","","","","","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1521910","7.745","","6.61","","7.306","","90","","90","","90","","374.027","","","","","","","","","","","","","4","P n m a","-P 2ac 2n","","Cu In O (P O4)","","- Cu In O5 P -","- Cu In O5 P -","- Cu4 In4 O20 P4 -","4","0.5","","Schwunck, H.M.; Jung, W.; Moser, P.","Das Kupfer(II) - indium - oxidphosphat Cu In O P O4 mit alpha-(Fe2 O P O4)-Struktur, dargestellt durch die Oxidation einer Cu / In / P - Legierung in Sauerstoffstrom","Zeitschrift fuer Anorganische und Allgemeine Chemie","1999","625","","407","410","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1522330","8.6335","","5.455","","7.0482","","90","","90.295","","90","","331.936","","","","","","","","","","","","","4","P 1 21/m 1","-P 2yb","","Na3 In (P O4)2","","- In Na3 O8 P2 -","- In Na3 O8 P2 -","- In2 Na6 O16 P4 -","2","0.5","","Zhizhin, M.G.; Lazoryak, B.I.; Morozov, V.A.; Bobylev, A.P.; Popov, A.M.; Spiridonov, F.M.; Komissarova, L.N.","Structure of polymorphous modifications of double sodium and indiumphosphate","Journal of Solid State Chemistry","2000","149","","99","106","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1525590","13.85","","13.85","","18.493","","90","","90","","120","","3072.12","","","","","","","","","","","","","5","P -3 c 1","-P 3 2""c","","Na4.11 (In8 (H P O4)14 (H2 O)6) (H2 O)12.03","","- H50.06 In8 Na4.11 O74.03 P14 -","- H25.998 In8 Na4.11 O74.03 P14 -","- H51.996 In16 Na8.22 O148.06 P28 -","2","0.166667","","Attfield, M.P.; Cheetham, A.K.; Natarajan, S.","The direct synthesis and characterization of the pillared layer indium phosphate Na4 (In8 (H P O4)14 (H2 O)6) * 12(H2 O)","Materials Research Bulletin","2000","35","","1007","1015","","","","","","","","","","","","","","","","","","","","","","has coordinates","146607","2020-10-21","18:00:00",""
