# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:51:19+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " P[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Sb[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1000281","18.165","0.004","7.154","0.002","13.677","0.004","90","","120.42","0.01","90","","1532.7","","","","","","","","","","","","","4","C 1 2/m 1","-C 2y","","Caesium tecto-phosphatodiantimonate","","- Cs O8 P Sb2 -","- Cs O8 P Sb2 -","- Cs8 O64 P8 Sb16 -","8","1","","Crosnier, M P; Guyomard, D; Verbaere, A; Piffard, Y","Preparation and crystal structure of CsSb~2~PO~8~","European Journal of Solid State Inorganic Chemistry","1989","26","","529","538","","","","","","","0.032","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1100492","26.667","0.006","7.921","0.003","25.604","0.002","90","","95.84","0.01","90","","5380.25","","","","","","","","","","","","","7","C 1 2/c 1","-C 2yc","","","","- C6 H18 As Cl11 N2 P2 Sb2 -","- C6 As Cl11 N2 P2 Sb2 -","- C48 As8 Cl88 N16 P16 Sb16 -","8","1","","Garbe, Ralf; Wocadlo, Sigrid; Kang, Hak-Chul; Massa, Werner; Harms, Klaus; Dehnicke, Kurt","Phosphaniminato-Komplexe des Arsens. Kristallstrukturen von [AsCl(NPMe~3~)]~2~Cl~2~, [AsCl(NPMe~3~)~2~SbCl~4~]SbCl~6~ und [AsCl(NPMe~3~)~2~SnCl~4~] · CH~3~CN","Chemische Berichte","1996","129","1","109","113","10.1002/cber.19961290120","","","","","","","","","","","","","","","","","","","","","has coordinates","177576","2020-10-21","18:00:00",""
"1503241","9.3013","0.0008","17.9217","0.0015","18.9114","0.0016","90","","101.888","0.001","90","","3084.8","0.5","173","","173","","","","","","","","","7","P 1 21 1","P 2yb","(R,R)-1,2-Bis(tert-butylmethylphosphino)benzene(1,5-cyclooctadiene)rhodium(I) hexafluoroantiomonate","","","- C52 H88 F12 O2 P4 Rh2 Sb2 -","- C52 H88 F12 O2 P4 Rh2 Sb2 -","- C104 H176 F24 O4 P8 Rh4 Sb4 -","2","1","","Tamura, Ken; Sugiya, Masashi; Yoshida, Kazuhiro; Yanagisawa, Akira; Imamoto, Tsuneo","Enantiopure 1,2-bis(tert-butylmethylphosphino)benzene as a highly efficient ligand in rhodium-catalyzed asymmetric hydrogenation.","Organic letters","2010","12","19","4400","4403","10.1021/ol101936w","","","0.71073","MoKα","","0.0585","0.0409","","","0.1067","0.126","","","","","","0.792","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1505084","16.53","0.006","20.372","0.009","31.649","0.009","89.77","0.02","79.83","0.02","89.14","0.02","10489","7","93","2","93","2","","","","","","","","8","P -1","-P 1","","","","- C190 H175 Au25 Cl2 F12 P10 S5 Sb2 -","- C190 H175 Au25 Cl2 F12 P10 S5 Sb2 -","- C380 H350 Au50 Cl4 F24 P20 S10 Sb4 -","2","1","","Shichibu, Y.; Negishi, Y.; Watanabe, T.; Chaki, N.K.; Kawaguchi, H.; Tsukuda, T.","Biicosahedral Gold Clusters [Au25(PPh3)10(SCnH2n+1)5Cl2]2+ (n = 2-18): A Stepping Stone to Cluster-Assembled Materials","Journal of Physical Chemistry C","2007","111","22","7845","","10.1021/jp073101t","","","0.7107","MoKα","","0.205","0.1717","","","0.3858","0.4029","","","","","","1.077","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1507011","14.065","0.004","13.737","0.004","21.407","0.006","90","","97.789","0.004","90","","4098","2","173.1","","","","","","","","","","","7","P 1 21/n 1","-P 2yn","","","","- C44 H44 Cl2 F6 P2 Rh Sb -","- C44 H38 Cl2 F6 P2 Rh Sb -","- C176 H152 Cl8 F24 P8 Rh4 Sb4 -","4","1","","Mikami, Koichi; Kataoka, Shohei; Yusa, Yukinori; Aikawa, Kohsuke","Racemic but tropos (chirally flexible) BIPHEP ligands for Rh(I)-complexes: highly enantioselective ene-type cyclization of 1,6-enynes.","Organic letters","2004","6","21","3699","3701","10.1021/ol048604l","","","0.7107","MoKα","","","0.062","","","","0.081","","","","","","1","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1510136","8.255","","8.244","","8.764","","90","","90","","90","","596.427","","","","","","","","","","","","","4","P 1 21/n 1","-P 2yn","","Au (P F3)2 (Sb F6)","","- Au F12 P2 Sb -","- Au F12 P2 Sb -","- Au2 F24 P4 Sb2 -","2","0.5","","Seppelt, K.; Kuester, R.","Preparation and structure of F3 As-Au+ Sb F6-, structures of Au (C O)2+ and Au (P F3)2+","Zeitschrift fuer Anorganische und Allgemeine Chemie","2000","626","","236","240","10.1002/(SICI)1521-3749(200001)626:1<236::AID-ZAAC236>3.0.CO;2-G","","","","","","","","","","","","","","","","","","","","","has coordinates","176432","2020-10-21","18:00:00",""
"1515026","18.171","0.005","28.753","0.008","13.422","0.007","90","","130.397","0.002","90","","5341","3","110","2","110","2","","","","","","","","8","C 1 c 1","C -2yc","2-DMAP3","","","- C57 H60 F6 Hg N6 O P Sb -","- C57 H60 F6 Hg N6 O P Sb -","- C228 H240 F24 Hg4 N24 O4 P4 Sb4 -","4","1","","Lin, Tzu-Pin; Nelson, Ryan C.; Wu, Tianpin; Miller, Jeffrey T.; Gabbaï, François P.","Lewis acid enhancement by juxtaposition with an onium ion: the case of a mercury stibonium complex","Chemical Science","2012","3","4","1128","","10.1039/c2sc00904h","","","0.71073","MoKα","","0.0286","0.0267","","","0.0611","0.0621","","","","","","1.007","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1515028","13.2206","0.0015","21.054","0.002","13.5998","0.0015","90","","118.154","0.001","90","","3337.6","0.6","110","2","110","2","","","","","","","","7","P 1 21/c 1","-P 2ybc","2-THF","","","- C38 H34 F6 Hg O1.5 P Sb -","- C38 H34 F6 Hg O1.5 P Sb -","- C152 H136 F24 Hg4 O6 P4 Sb4 -","4","1","","Lin, Tzu-Pin; Nelson, Ryan C.; Wu, Tianpin; Miller, Jeffrey T.; Gabbaï, François P.","Lewis acid enhancement by juxtaposition with an onium ion: the case of a mercury stibonium complex","Chemical Science","2012","3","4","1128","","10.1039/c2sc00904h","","","0.71073","MoKα","","0.0231","0.0212","","","0.0503","0.0512","","","","","","1.008","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1518666","14.5029","0.0006","8.9034","0.0004","14.9927","0.0006","90","","97.26","0.001","90","","1920.41","0.14","173","2","173.15","","","","","","","","","7","P 1 21/n 1","-P 2yn","","[(dmpe)SbF][OTf]2","","- C8 H16 F7 O6 P2 S2 Sb -","- C8 H16 F7 O6 P2 S2 Sb -","- C32 H64 F28 O24 P8 S8 Sb4 -","4","1","","Chitnis, Saurabh S.; Robertson, Alasdair P. M.; Burford, Neil; Weigand, Jan J.; Fischer, Roland","Synthesis and reactivity of cyclo-tetra(stibinophosphonium) tetracations: redox and coordination chemistry of phosphine‒antimony complexes","Chem. Sci.","2015","6","4","2559","","10.1039/C4SC03939D","","x-ray","0.71073","MoKα","","0.0269","0.0214","","","0.0473","0.049","","","","","","1.023","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1518667","11.4789","0.0003","11.9874","0.0003","26.0864","0.0007","91.82","0.001","97.564","0.001","112.074","0.001","3284.57","0.15","100","2","99.99","","","","","","","","","8","P -1","-P 1","","[(Me3P)3(nacnac)Sb4][OTf]3","","- C43 H71 F9 N3 O9 P3 S3 Sb4 -","- C43 H71 F9 N3 O9 P3 S3 Sb4 -","- C86 H142 F18 N6 O18 P6 S6 Sb8 -","2","1","","Chitnis, Saurabh S.; Robertson, Alasdair P. M.; Burford, Neil; Weigand, Jan J.; Fischer, Roland","Synthesis and reactivity of cyclo-tetra(stibinophosphonium) tetracations: redox and coordination chemistry of phosphine‒antimony complexes","Chem. Sci.","2015","6","4","2559","","10.1039/C4SC03939D","","x-ray","0.71073","MoKα","","0.0565","0.0405","","","0.1047","0.1174","","","","","","1.173","","","","has coordinates,has disorder","176729","2020-10-21","18:00:00",""
