# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:50:48+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " P[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Sn[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1008463","13.4","0.005","7.456","0.004","8.289","0.005","90","0","90.2","0.1","90","0","828.2","","","","","","","","","","","","","3","P 1 21/n 1","-P 2yn","","Decasodium di-μ-phosphido-bis(diphosphidostannate(IV))","","- Na10 P6 Sn2 -","- Na10 P6 Sn2 -","- Na20 P12 Sn4 -","2","0.5","","Eisenmann, B.; Klein, J.; Somer, M.","Crystal structure of decasodium di-μ-phosphidobis(diphosphidostannate(IV)), Na~10~Sn~2~P~6~","Zeitschrift für Kristallographie","1991","197","3-4","269","270","10.1524/zkri.1991.197.3-4.269","","","","","","0.038","","","","","","","","","","","","","","","has coordinates","200128","2020-10-21","18:00:00",""
"1100418","12.78","0.004","13.9","0.003","16.427","0.005","90","","90","","90","","2918.13","","","","","","","","","","","","","6","P 21 21 21","P 2ac 2ab","","","","- C23 H36 Cl2 O6 P2 Sn -","- C23 H36 Cl2 O7 P2 Sn2 -","- C92 H144 Cl8 O28 P8 Sn8 -","4","1","","Grigoriev, E. V.; Yashina, N. S.; Prischenko, A. A.; Livantsov, M. V.; Petrosyan, V. S.; Massa, W.; Harms, K.; Wocadlo, S.; Pellerito, L.","Organotin(IV) complexes with tetraethyl ethylene- and propylene-diphosphonates","Applied Organometallic Chemistry","1995","9","1","11","22","10.1002/aoc.590090104","","","","","","","","","","","","","","","","","","","","","has coordinates","177942","2020-10-21","18:00:00",""
"1100493","8.895","0.002","14.233","0.001","17.012","0.001","90","","102.59","0.01","90","","2101.97","","","","","","","","","","","","","7","P 1 21/n 1","-P 2yn","","","","- C8 H21 As Cl5 N3 P2 Sn -","- C8 H21 As Cl5 N3 P2 Sn -","- C32 H84 As4 Cl20 N12 P8 Sn4 -","4","1","","Garbe, Ralf; Wocadlo, Sigrid; Kang, Hak-Chul; Massa, Werner; Harms, Klaus; Dehnicke, Kurt","Phosphaniminato-Komplexe des Arsens. Kristallstrukturen von [AsCl(NPMe~3~)]~2~Cl~2~, [AsCl(NPMe~3~)~2~SbCl~4~]SbCl~6~ und [AsCl(NPMe~3~)~2~SnCl~4~] · CH~3~CN","Chemische Berichte","1996","129","1","109","113","10.1002/cber.19961290120","","","","","","","","","","","","","","","","","","","","","has coordinates","177576","2020-10-21","18:00:00",""
"1504755","11.524","0.0001","9.198","0.0001","13.4063","0.0001","90","","94.931","0.001","90","","1415.78","0.02","150","2","150","","","","","","","","synthesis as described","6","P 1 21 1","P 2yb","","","","- C29 H32 N O P Sn -","- C29 H32 N O P Sn -","- C58 H64 N2 O2 P2 Sn2 -","2","1","","Oña-Burgos, Pascual; Fernández, Ignacio; Roces, Laura; Torre-Fernández, Laura; García-Granda, Santiago; López-Ortiz, Fernando","Asymmetric deprotonation-substitution of N-Pop-benzylamines using [RLi/(-)-sparteine]. Enantioselective sequential reactions and synthesis of N-heterocycles.","Organic letters","2008","10","15","3195","3198","10.1021/ol801027p","","x-ray","1.54184","CuKα","","0.03","0.0251","","","0.0544","0.0561","","","","","","0.934","","","","has coordinates,has disorder","176729","2020-10-21","18:00:00",""
"1508652","12.9195","0.0007","16.8233","0.0009","18.7031","0.0011","90","","119.854","0.004","90","","3525.6","0.4","293","2","293","2","","","","","","","","6","P 1 21/c 1","-P 2ybc","","","","- C36 H30 Cl4 P2 Pd Sn -","- C36 H30 Cl4 P2 Pd Sn -","- C144 H120 Cl16 P8 Pd4 Sn4 -","4","1","","Das, Debjit; Pratihar, Sanjay; Roy, Sujit","Heterobimetallic Pd-Sn catalysis: a Suzuki, tandem ring-closing sequence toward indeno[2,1-b]thiophenes and indeno[2,1-b]indoles","Organic Letters","2012","14","18","4870","4873","10.1021/ol3021995","","","0.71073","MoKα","","0.0845","0.0565","","","0.1675","0.1934","","","","","","1.327","","","","has coordinates","218640","2020-10-21","18:00:00",""
"1510005","10.43","","10.43","","10.43","","90","","90","","90","","1134.63","","","","","","","","","","","","","4","I -4 3 m","I -4 2 3","","Ag3 Ge3 Sn2 P6","","- Ag3 Ge3 P6 Sn2 -","- Ag3 Ge3 P6 Sn2 -","- Ag12 Ge12 P24 Sn8 -","4","0.0833333","","von Schnering, H.G.; Hoenle, W.","New compounds containing Ag6(4+) cluster units","Solid Compound of Transition Elements, Int. Conference Stuttgart 1979","1979","1979","","101","102","","","","","","","","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1510030","10.315","","10.315","","10.315","","90","","90","","90","","1097.51","","","","","","","","","","","","","4","I -4 3 m","I -4 2 3","","Ag3 Sn2 Si3 P6","","- Ag3 P6 Si3 Sn2 -","- Ag3 P6 Si3 Sn2 -","- Ag12 P24 Si12 Sn8 -","4","0.0833333","","von Schnering, H.G.; Hoenle, W.","New compounds containing Ag6(4+) cluster units","Solid Compound of Transition Elements, Int. Conference Stuttgart 1979","1979","1979","","101","102","","","","","","","","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1510031","6.36","","11.071","","6.518","","90","","108.17","","90","","436.058","","","","","","","","","","","","","3","P 1 21/m 1","-P 2yb","","Ag3 Sn P7","","- Ag3 P7 Sn -","- Ag3 P7 Sn -","- Ag6 P14 Sn2 -","2","0.5","","Shevel'kov, A.V.; Popovkin, B.A.; Shatruk, M.M.; Kovnir, K.A.","Ag3 Sn P7: A polyphosphide with a unique infinite(P7) chain and a novel Ag3 Sn heterocluster","Angew. Chem. Int. ed.","2000","39","","2508","2509","10.1002/1521-3773(20000717)39:14<2508::AID-ANIE2508>3.0.CO;2-O","","","","","","","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1510355","12.595","","9.82","","10.562","","90","","90","","90","","1306.34","","","","","","","","","","","","","3","P n m a","-P 2ac 2n","","Au0.64 Sn1.36 P14","","- Au0.64 P14 Sn1.36 -","- Au0.644 P14 Sn1.356 -","- Au2.576 P56 Sn5.424 -","4","0.5","","Jeitschko, W.; Eschen, M.; Wallinda, J.","Preparation and crystal structure of Au1-x Sn1+y P14 and other polyphosphides with (Hg Pb P14)-type structure","Zeitschrift fuer Anorganische und Allgemeine Chemie","2002","628","","2764","2771","10.1002/1521-3749(200212)628:12<2764::AID-ZAAC2764>3.0.CO;2-6","","","","","","","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1516950","9.1471","0.0011","13.362","0.0015","14.7072","0.0017","75.808","0.005","78.661","0.005","87.864","0.005","1708.6","0.3","100","2","100","2","","","","","","","","7","P -1","-P 1","","","","- C68 H56 N2 O8 P2 S4 Sn2 -","- C68 H56 N2 O8 P2 S4 Sn2 -","- C68 H56 N2 O8 P2 S4 Sn2 -","1","0.5","","Radu F. Semeniuc; Robert R. Baum; Jedidiah J. Veach; Kraig A. Wheeler; Perry J. Pellechia","Metal complexes of ditopic dithiophosphonate ligands built on a naphthalenediimide core","Inorganica Chimica Acta","2013","400","","228","238","","","","1.54178","CuKα","","0.139","0.099","","","0.2289","0.2505","","","","","","1.032","","","","has coordinates","176432","2020-10-21","18:00:00",""
"1516952","13.7321","0.0002","10.5102","0.0002","23.2601","0.0003","90","","97.74","0.001","90","","3326.48","0.09","100","2","100","2","","","","","","","","7","P 1 c 1","P -2yc","","","","- C72 H64 N2 O10 P2 S4 Sn2 -","- C72 H64 N2 O10 P2 S4 Sn2 -","- C144 H128 N4 O20 P4 S8 Sn4 -","2","1","","Radu F. Semeniuc; Robert R. Baum; Jedidiah J. Veach; Kraig A. Wheeler; Perry J. Pellechia","Metal complexes of ditopic dithiophosphonate ligands built on a naphthalenediimide core","Inorganica Chimica Acta","2013","400","","228","238","","","","1.54178","CuKα","","0.0414","0.0371","","","0.0881","0.0929","","","","","","1.069","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1516953","10.9684","0.0002","12.3642","0.0002","17.6112","0.0003","87.54","0.001","88.133","0.001","71.074","0.001","2256.71","0.07","100","2","100","2","","","","","","","","8","P -1","-P 1","","","","- C90 H76 Cl4 N4 O16 P4 S8 Sn2 -","- C90 H76 Cl4 N4 O16 P4 S8 Sn2 -","- C90 H76 Cl4 N4 O16 P4 S8 Sn2 -","1","0.5","","Radu F. Semeniuc; Robert R. Baum; Jedidiah J. Veach; Kraig A. Wheeler; Perry J. Pellechia","Metal complexes of ditopic dithiophosphonate ligands built on a naphthalenediimide core","Inorganica Chimica Acta","2013","400","","228","238","","","","1.54178","CuKα","","0.0286","0.0268","","","0.0714","0.0742","","","","","","1.063","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1516954","12.3562","0.0003","13.0479","0.0002","18.2453","0.0004","91.405","0.001","105.836","0.001","105.259","0.001","2715.4","0.1","100","2","100","2","","","","","","","","8","P -1","-P 1","","","","- C50 H48 Cl4 N2 O10 P2 S4 Sn -","- C50 H48 Cl4 N2 O10 P2 S4 Sn -","- C100 H96 Cl8 N4 O20 P4 S8 Sn2 -","2","1","","Radu F. Semeniuc; Robert R. Baum; Jedidiah J. Veach; Kraig A. Wheeler; Perry J. Pellechia","Metal complexes of ditopic dithiophosphonate ligands built on a naphthalenediimide core","Inorganica Chimica Acta","2013","400","","228","238","","","","1.54178","CuKα","","0.0465","0.045","","","0.1182","0.1191","","","","","","1.192","","","","has coordinates,has disorder","176729","2020-10-21","18:00:00",""
"1518023","13.9687","0.0007","14.2448","0.0007","21.1628","0.0015","96.439","0.002","101.9","0.002","114.878","0.002","3643.1","0.4","100","2","100","2","","","","","","","","6","P -1","-P 1","","","","- C72 H132 Br2 P4 Pt2 Sn -","- C72 H132 Br2 P4 Pt2 Sn -","- C144 H264 Br4 P8 Pt4 Sn2 -","2","1","","Braunschweig, Holger; Celik, Mehmet Ali; Dewhurst, Rian D.; Heid, Magdalena; Hupp, Florian; Sen, Sakya S.","Stepwise isolation of low-valent, low-coordinate Sn and Pb mono- and dications in the coordination sphere of platinum","Chem. Sci.","2015","6","1","425","","10.1039/C4SC02948H","","","0.71073","MoKα","","0.0612","0.0347","","","0.0659","0.0719","","","","","","0.993","","","","has coordinates,has disorder","176729","2020-10-21","18:00:00",""
"1518024","11.5394","0.0006","12.469","0.0007","17.7","0.001","105.191","0.002","100.053","0.002","107.994","0.002","2245.2","0.2","100","2","100","2","","","","","","","","7","P -1","-P 1","","","","- C36 H66 Al Br5 P2 Pt Sn -","- C36 H66 Al Br5 P2 Pt Sn -","- C72 H132 Al2 Br10 P4 Pt2 Sn2 -","2","1","","Braunschweig, Holger; Celik, Mehmet Ali; Dewhurst, Rian D.; Heid, Magdalena; Hupp, Florian; Sen, Sakya S.","Stepwise isolation of low-valent, low-coordinate Sn and Pb mono- and dications in the coordination sphere of platinum","Chem. Sci.","2015","6","1","425","","10.1039/C4SC02948H","","","0.71073","MoKα","","0.0359","0.0313","","","0.0805","0.0824","","","","","","1.061","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1518025","13.5049","0.0008","15.4437","0.0009","15.6528","0.0008","82.203","0.002","78.913","0.002","85.651","0.002","3169.9","0.3","100","2","100","2","","","","","","","","8","P -1","-P 1","","","","- C60 H78 B Br Cl8 P2 Pt Sn -","- C60 H78 B Br Cl8 P2 Pt Sn -","- C120 H156 B2 Br2 Cl16 P4 Pt2 Sn2 -","2","1","","Braunschweig, Holger; Celik, Mehmet Ali; Dewhurst, Rian D.; Heid, Magdalena; Hupp, Florian; Sen, Sakya S.","Stepwise isolation of low-valent, low-coordinate Sn and Pb mono- and dications in the coordination sphere of platinum","Chem. Sci.","2015","6","1","425","","10.1039/C4SC02948H","","","0.71073","MoKα","","0.0477","0.0369","","","0.0805","0.0876","","","","","","1.101","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1518026","13.2989","0.0018","22.907","0.003","16.964","0.004","90","","99.008","0.007","90","","5104.1","1.5","100","2","100","2","","","","","","","","7","P 1 21/n 1","-P 2yn","","","","- C36 H66 Al2 Br8 P2 Pt Sn -","- C36 H66 Al2 Br8 P2 Pt Sn -","- C144 H264 Al8 Br32 P8 Pt4 Sn4 -","4","1","","Braunschweig, Holger; Celik, Mehmet Ali; Dewhurst, Rian D.; Heid, Magdalena; Hupp, Florian; Sen, Sakya S.","Stepwise isolation of low-valent, low-coordinate Sn and Pb mono- and dications in the coordination sphere of platinum","Chem. Sci.","2015","6","1","425","","10.1039/C4SC02948H","","","0.71073","MoKα","","0.0367","0.0285","","","0.0669","0.0693","","","","","","1.035","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1518027","15.687","0.003","20.715","0.004","21.567","0.003","75.297","0.009","82.231","0.008","78.538","0.011","6617","2","100","2","100","2","","","","","","","","8","P -1","-P 1","","","","- C56 H110 Br3 N O P2 Pt Sn -","- C56 H110 Br3 N O P2 Pt Sn -","- C224 H440 Br12 N4 O4 P8 Pt4 Sn4 -","4","2","","Braunschweig, Holger; Celik, Mehmet Ali; Dewhurst, Rian D.; Heid, Magdalena; Hupp, Florian; Sen, Sakya S.","Stepwise isolation of low-valent, low-coordinate Sn and Pb mono- and dications in the coordination sphere of platinum","Chem. Sci.","2015","6","1","425","","10.1039/C4SC02948H","","","0.71073","MoKα","","0.0307","0.0235","","","0.0545","0.0568","","","","","","1.047","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1520800","9.6975","","9.6975","","8.0938","","90","","90","","120","","659.178","","","","","","","","","","","","","5","P 63","P 6c","","(N H4) (Sn4 P3 O12)","","- H4 N O12 P3 Sn4 -","- N O12 P3 Sn4 -","- N2 O24 P6 Sn8 -","2","0.333333","","Ayyappan, S.; Stock, N.; Chang, J.-S.; Hatfield, R.; Cheetham, A.K.; Rao, C.N.R.","Synthesis, characterization and acid-base catalytic properties of ammonium-containing tin(II) phopshates: (N H4) (Sn4 P3 O12) and (N H4) (Sn P O4)","International Journal of Inorganic Materials","2000","2","","21","27","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1520801","6.52","","9.4794","","8.0719","","90","","90.95","","90","","498.821","","","","","","","","","","","","","5","P 1 21/c 1","-P 2ybc","","(N H4) (Sn P O4)","","- H4 N O4 P Sn -","- N O4 P Sn -","- N4 O16 P4 Sn4 -","4","1","","Ayyappan, S.; Chang, J.-S.; Stock, N.; Hatfield, R.; Rao, C.N.R.; Cheetham, A.K.","Synthesis, characterization and acid-base catalytic properties of ammonium-containing tin(II) phopshates: (N H4) (Sn4 P3 O12) and (N H4) (Sn P O4)","International Journal of Inorganic Materials","2000","2","","21","27","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1521384","7.674","","7.674","","9.621","","90","","90","","120","","490.676","","","","","","","","","","","","","3","P -3 m 1","-P 3 2""","","Sn Ni10 P3","","- Ni10 P3 Sn -","- Ni10 P3 Sn -","- Ni30 P9 Sn3 -","3","0.25","","Keimes, V.; Blume, H.M.; Mewis, A.","Darstellung und Kristallstruktur von A Ni10 P3 (A: Zn, Ga, Sn, Sb)","Zeitschrift fuer Anorganische und Allgemeine Chemie","1999","625","","207","210","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1521473","3.963","","3.963","","35.3","","90","","90","","120","","480.124","","","","","","","","","","","","","2","R -3 m :H","-R 3 2""","","Sn4.008 P2.92","","- P2.92 Sn4.008 -","- P2.92 Sn4.008 -","- P8.76 Sn12.024 -","3","0.0833333","","Kuz'ma, Yu.B.; Chikhrii, S.I.; Davydov, V.N.","Refined crystal structure of Sn4 P3","Neorganicheskie Materialy","1999","35","","17","18","","","","","","","","","","","","","","","","","","","","","","has coordinates","141684","2020-10-21","18:00:00",""
"1523530","5.97","","5.97","","5.97","","90","","90","","90","","212.776","","","","","","","","","","","","","3","F m -3 m","-F 4 2 3","","(Li1.67 Sn0.33) P","","- Li1.66 P Sn0.34 -","- Li1.66 P Sn0.34 -","- Li6.64 P4 Sn1.36 -","4","0.0208333","","El Maslout, A.; Motte, J.P.; Gleitzer, C.","Phosphures ternaires de lithium Li2n-3 M Pn-1 (M= Be, Cd, Sn) de structure antifluorine ou derivee","Journal of Solid State Chemistry","1973","7","","250","254","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1526604","11.045","","11.045","","11.045","","90","","90","","90","","1347.4","","","","","","","","","","","","","4","P m -3 n","-P 4n 2 3","","Sn10 In14 P22 I8","","- I8 In14 P22 Sn10 -","- I8 In13.992 P22 Sn10.008 -","- I8 In13.992 P22 Sn10.008 -","1","0.0208333","","Shatruk, M.M.; Kovnir, K.A.; Lindsjo, M.; Presnyakov, I.A.; Kloo, L.A.; Shevel'kov, A.V.","Novel compounds Sn10 In14 P22 I8 and Sn14 In10 P21.2 I8 with clathrate I structure: synthesis and crystal and electronic structure","Journal of Solid State Chemistry","2001","161","","233","242","","","","","","","","","","","","","","","","","","","","","","has coordinates","147811","2020-10-21","18:00:00",""
"1526605","24.745","","24.745","","11.067","","90","","90","","90","","6776.49","","","","","","","","","","","","","4","P 42/m","-P 4c","","Sn14 In10 P21.2 I8","","- I8 In10 P21.2 Sn14 -","- I8 In10.0008 P21.2 Sn13.9992 -","- I40 In50.004 P106 Sn69.996 -","5","0.625","","Shatruk, M.M.; Kovnir, K.A.; Shevel'kov, A.V.; Presnyakov, I.A.; Kloo, L.A.; Lindsjo, M.","Novel compounds Sn10 In14 P22 I8 and Sn14 In10 P21.2 I8 with clathrate I structure: synthesis and crystal and electronic structure","Journal of Solid State Chemistry","2001","161","","233","242","","","","","","","","","","","","","","","","","","","","","","has coordinates","147813","2020-10-21","18:00:00",""
"1526939","12.831","","6.41","","10.584","","90","","90","","90","","870.499","","","","","","","","","","","","","5","P n a 21","P 2c -2n","","K (Ti0.936 Sn0.064) O (P O4)","","- K O5 P Sn0.064 Ti0.936 -","- K O5 P Sn0.0645 Ti0.9355 -","- K8 O40 P8 Sn0.516 Ti7.484 -","8","2","","Wen, L.; Sorokina, N.I.; Yanovskii, V.K.; Vigdorchik, A.G.; Verin, I.A.; Voronkova, V.I.; Simonov, V.I.","Atomic structure of K Ti0.93 Sn0.07 O P O4 single crystals","Kristallografiya","2000","45","","429","431","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1527463","7.3785","","7.3785","","10.5125","","90","","90","","120","","495.647","","","","","","","","","","","","","2","R -3 m :H","-R 3 2""","","Sn P3","","- P3 Sn -","- P3 Sn -","- P18 Sn6 -","6","0.166667","","Gullman, J.; Olofsson, O.","The crystal structure of Sn P3 and a note on the crystal structure of Ge P3","Journal of Solid State Chemistry","1972","5","","441","445","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
