# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:44:08+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Al[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Ge[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1001676","7.132","0.001","7.741","0.001","9.702","0.002","90","","110.62","0.02","90","","501.3","","","","","","","","","","","","","3","C 1 2/c 1","-C 2yc","","Dialuminium digermanate","","- Al2 Ge2 O7 -","- Al2 Ge2 O7 -","- Al8 Ge8 O28 -","4","0.5","","Agafonov, V; Kahn, A; Michel, D; Perez y Jorba, M","Crystal structure of a new digermanate: Al2 Ge2 O7","Journal of Solid State Chemistry","1986","62","","402","404","10.1016/0022-4596(86)90256-2","","","","","","0.051","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1509837","4.083","","4.083","","4.083","","90","","90","","90","","68.067","","","","","","","","","","","","","3","F m -3 m","-F 4 2 3","","(Ag20 Al Ge)0.18","","- Ag3.64 Al0.18 Ge0.18 -","- Ag3.64 Al0.18 Ge0.18 -","- Ag3.64 Al0.18 Ge0.18 -","1","0.00520833","","Mukherjee, J.K.; Barat, S.","Silver-rich alloys of the systems silver-aluminium-germanium and silver-aluminium-tin","Indian Journal of Technology","1975","13","","510","519","","","","","","","","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1519095","4.179","0.002","4.179","0.002","7.069","0.003","90","","90","","120","","106.91","0.09","","","293","","","","","","","","","3","P -3 m 1","-P 3 2""","","","","- Al2 Ge2 Yb -","- Al2 Ge2 Yb -","- Al2 Ge2 Yb -","1","0.0833333","","Christian Kranenberg; Dirk Johrendt; Albrecht Mewis; Rainer Pottgen; Gunter Kotzyba; Carsten Rosenhahn; Bernd D Mosel","Structure and properties of the compounds LnAl2X2 (Ln=Eu, Yb; X=Si, Ge)","Solid State Sciences","2000","2","","215","222","","","x-ray","0.71073","MoKα","","","0.024","","","0.05","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1519096","4.214","0.001","4.214","0.001","7.32","0.001","90","","90","","120","","112.57","0.04","","","293","","","","","","","","","3","P -3 m 1","-P 3 2""","","","","- Al2 Eu Ge2 -","- Al2 Eu Ge2 -","- Al2 Eu Ge2 -","1","0.0833333","","Christian Kranenberg; Dirk Johrendt; Albrecht Mewis; Rainer Pottgen; Gunter Kotzyba; Carsten Rosenhahn; Bernd D Mosel","Structure and properties of the compounds LnAl2X2 (Ln=Eu, Yb; X=Si, Ge)","Solid State Sciences","2000","2","","215","222","","","x-ray","0.71073","MoKα","","","0.014","","","0.022","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1520804","9.08571","","9.08571","","9.08571","","90","","90","","90","","750.027","","","","","","","","","","","","","5","P -4 3 n","P -4n 2 3","","Na8 (Al Ge O4)6 (N O2)2","","- Al6 Ge6 N2 Na8 O28 -","- Al6 Ge6 N2 Na7.928 O28.02 -","- Al6 Ge6 N2 Na7.928 O28.02 -","1","0.0416667","","Bachmann, S.; Buhl, J.C.","Crystallisation, characterisation and structure of nitrite aluminogermanate sodalite Na8 (Al Ge O4)6 (N O2)2","Microporous and Mesoporous Materials","1999","28","","35","47","","","","","","","","","","","","","","","","","","","","","","has coordinates","140349","2020-10-21","18:00:00",""
"1521082","4.3223","","4.3223","","4.2585","","90","","90","","120","","68.9","","","","","","","","","","","","","3","P 6/m m m","-P 6 2","","Pr (Al1.476 Ge0.524)","","- Al1.476 Ge0.524 Pr -","- Al1.476 Ge0.524 Pr -","- Al1.476 Ge0.524 Pr -","1","0.0416667","","Gladyshevskii, E.I.; Nakonechna, N.Z.; Cenzual, K.; Gladyshevskii, R.E.; Jorda, J.L.; Hladyshevskii, E.I.","Crystal structures of Pr Alx Ge2-x compounds","Journal of Alloys Compd.","2000","296","","265","271","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1521083","4.2534","","4.2534","","14.641","","90","","90","","90","","264.876","","","","","","","","","","","","","3","I 41 m d","I 4bw -2","","Pr Al Ge","","- Al Ge Pr -","- Al Ge Pr -","- Al4 Ge4 Pr4 -","4","0.25","","Gladyshevskii, E.I.; Cenzual, K.; Nakonechna, N.Z.; Gladyshevskii, R.E.; Jorda, J.L.; Hladyshevskii, E.I.","Crystal structures of Pr Alx Ge2-x compounds","Journal of Alloys Compd.","2000","296","","265","271","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1521245","14.6977","","14.6977","","14.6977","","90","","90","","90","","3175.03","","","","","","","","","","","","","5","I 2 3","I 2 2 3","","Na14.6 Cs8.17 (Al24 Ge24 O96)","","- Al24 Cs8.17 Ge24 Na14.6 O96 -","- Al24 Cs8.162 Ge24 Na14.6 O96 -","- Al24 Cs8.162 Ge24 Na14.6 O96 -","1","0.0416667","","Johnson, G.M.; Tripathi, A.; Parise, J.B.","Synthesis and structure of a microporous aluminogermanate with the zeolite rho topology","Microporous and Mesoporous Materials","1999","28","","139","154","","","","","","","","","","","","","","","","","","","","","","has coordinates","140930","2020-10-21","18:00:00",""
"1521247","14.6737","","14.6737","","14.6737","","90","","90","","90","","3159.5","","","","","","","","","","","","","5","I 2 3","I 2 2 3","","Na14.86 Cs7.94 (Al24 Ge24 O96)","","- Al24 Cs7.94 Ge24 Na14.86 O96 -","- Al24 Cs7.946 Ge24 Na14.864 O96 -","- Al24 Cs7.946 Ge24 Na14.864 O96 -","1","0.0416667","","Johnson, G.M.; Tripathi, A.; Parise, J.B.","Synthesis and structure of a microporous aluminogermanate with the zeolite rho topology","Microporous and Mesoporous Materials","1999","28","","139","154","","","","","","","","","","","","","","","","","","","","","","has coordinates","140932","2020-10-21","18:00:00",""
"1521249","25.589","","25.589","","25.589","","90","","90","","90","","16755.6","","","","","","","","","","","","","4","F d -3 :2","-F 2uv 2vw 3","","Na96 (Al96 Ge96 O384) (H2 O)438.08","","- Al96 Ge96 Na51.04 O822.08 -","- Al96 Ge96 Na51.04 O822.08 -","- Al96 Ge96 Na51.04 O822.08 -","1","0.0104167","","Johnson, G.M.; Parise, J.B.; Lee, Y.-J.; Tripathi, A.","Structural studies of hydrated germanium X-type zeolite via Rietveld analysis of synchrotron powder X-ray diffraction data","Microporous and Mesoporous Materials","1999","31","","195","204","","","","","","","","","","","","","","","","","","","","","","has coordinates","140934","2020-10-21","18:00:00",""
