# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:44:53+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Si[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " As[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1008430","14.467","0.004","6.043","0.002","15.82","0.004","90","","90","","90","","1383","","","","","","","","","","","","","3","P n m a","-P 2ac 2n","","Caesium triarsenidosilicate","","- As3 Cs5 Si -","- As3 Cs5 Si -","- As12 Cs20 Si4 -","4","0.5","","Eisenmann, B; Klein, J; Somer, M","C O~3~^2-^ - isostere Anionen in Cs~5~ Si P~3~, Cs~5~ Si As~3~, Cs~5~ Ge P~3~ und Cs~5~ Ge As~3~","Angewandte Chemie (German Edition)","1990","102","","92","93","10.1002/ange.19901020127","","","","","","0.0539","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008462","13.466","0.005","7.529","0.004","8.177","0.005","90","0","90.5","0.1","90","0","829","","","","","","","","","","","","","3","P 1 21/n 1","-P 2yn","","Decasodium di-μ-arsenido-bis(diarsenidosilicate)","","- As6 Na10 Si2 -","- As6 Na10 Si2 -","- As12 Na20 Si4 -","2","0.5","","Eisenmann, B.; Klein, J.; Somer, M.","Crystal structure of decasodium di-μ-arsenidobis(diarsenidosilicate), Na~10~Si~2~As~6~","Zeitschrift für Kristallographie","1991","197","1-4","267","268","10.1524/zkri.1991.197.14.267","","","","","","0.087","","","","","","","","","","","","","","","has coordinates","200128","2020-10-21","18:00:00",""
"1008464","14.169","0.004","5.671","0.002","15.479","0.004","90","0","90","0","90","0","1243.8","","","","","","","","","","","","","3","P n m a","-P 2ac 2n","","Pentarubidium triarsenidosilicate","","- As3 Rb5 Si -","- As3 Rb5 Si -","- As12 Rb20 Si4 -","4","0.5","","Eisenmann, B; Klein, J; Somer, M","Crystal structure of pentarubidium triarsenidosilicate","Zeitschrift fuer Kristallographie (149,1979-)","1991","197","","273","274","","","","","","","0.0842","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008523","14.425","0.004","7.571","0.003","6.42","0.003","90","","90","","90","","701.1","","","","","","","","","","","","","3","I b a m","-I 2 2c","","Dicaesium catena-diarsenidosilicate","","- As2 Cs2 Si -","- As2 Cs2 Si -","- As8 Cs8 Si4 -","4","0.25","","Eisenmann, B; Klein, J","SiS~2~-isostrukturelle Anionen (SiP~2~^2-^),(GeAs~2~^2-^) und (SnAs~2~^2-^) in Alkaliverbindungen","Journal of the Less-Common Metals","1991","175","","109","117","10.1016/0022-5088(91)90355-8","","","","","","0.075","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1100423","8.69","0.002","19.864","0.004","12.737","0.002","90","","104.25","0.01","90","","2130.99","","","","","","","","","","","","","6","P 1 21/n 1","-P 2yn","","","","- C16 H33 As Cl N Si2 -","- C16 H33 As Cl N Si2 -","- C64 H132 As4 Cl4 N4 Si8 -","4","1","","Avtomonov, Evgeni V.; Megges, Klaus; Li, Xiaowang; Lorberth, Jörg; Wocadlo, Sigrid; Massa, Werner; Harms, Klaus; Churakov, Andrei V.; Howard, Judith A. K","Syntheses and structures of cyclopentadienyl arsenic compounds II. Pentamethyl- and tetraisopropylcyclopentadienyl arsenic amido derivatives","Journal of Organometallic Chemistry","1997","544","1","79","89","10.1016/s0022-328x(97)00328-8","","","","","","","","","","","","","","","","","","","","","has coordinates","178085","2020-10-21","18:00:00",""
"1525722","8.259","","8.259","","204.3","","90","","90","","120","","12068.5","","","","","","","","","","","","","6","R -3 c :H","-R 3 2""c","","(Mn19.50 Mg4.44) (V2.38 As1.12 Si2.76) O27.3 (O H)21.3","","- As1.12 Mg4.44 Mn19.5 O45.6 Si2.76 V2.38 -","- As1.12 Mg4.44 Mn19.5 O45.6 Si2.76 V2.38 -","- As13.44 Mg53.28 Mn234 O547.2 Si33.12 V28.56 -","12","0.333333","","Brugger, J.; Armbruster, T.; Meisser, N.; Hejny, C.; Grobety, B.","Description and structure of turtmannite, a new mineral with a 68 A period related to mcgovernite","American Mineralogist","2001","86","","1494","1505","","","","","","","","","","","","","","","","","","","","","","has coordinates","146765","2020-10-21","18:00:00",""
"1526594","12.773","","12.773","","5.051","","90","","90","","120","","713.664","","","","","","","","","","","","","6","P 63 m c","P 6c -2c","","(Fe10.14 Zn1.80) (As O3)6 (O H)6 (As1.536 Si0.492 O6 (O H)0.492)","","- As7.536 Fe10.14 H6.492 O30.492 Si0.492 Zn1.8 -","- As7.536 Fe10.14 H6.492 O30.492 Si0.492 Zn1.8 -","- As7.536 Fe10.14 H6.492 O30.492 Si0.492 Zn1.8 -","1","0.0833333","","Keller, P.","Ekatite, (Fe(3+), Fe(2+), Zn)12 (O H)6 (As O3)6 (As O3, H O Si O3)2, a new mineral from Tsumeb, Namibia, and its crystal structure","European Journal of Mineralogy (1,1989-)","2001","13","","769","777","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1527598","3.4908","","3.4908","","7.8992","","90","","90","","90","","96.257","","","","","","","","","","","","","3","P 4/n m m :2","-P 4a 2a","","Nb Si As","","- As Nb Si -","- As Nb Si -","- As2 Nb2 Si2 -","2","0.125","","Johnson, V.; Jeitschko, W.","Pb F Cl-type pnictides of niobium with silicon or germanium","Journal of Solid State Chemistry","1973","6","","306","309","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1528461","9.205","","16.83","","7.376","","90","","122.46","","90","","964.164","","","","","","","","","","","","","3","C 1 2/c 1","-C 2yc","","Sr3 (Si2 As4)","","- As4 Si2 Sr3 -","- As4 Si2 Sr3 -","- As16 Si8 Sr12 -","4","0.5","","Eisenmann, B.; Schaefer, H.","Zintl-Phasen mit komplexen Anionen: Sr3 Si2 As4 und Sr3 Ge2 As4","Angewandte Chemie (German Edition)","1980","92","","480","481","","","","","","","","","","","","","","","","","","","","","","has coordinates","150715","2020-10-21","18:00:00",""
"1528464","7.303","","17.73","","7.155","","90","","111.66","","90","","861.029","","","","","","","","","","","","","3","P 1 21/c 1","-P 2ybc","","Ca3 (Si2 As4)","","- As4 Ca3 Si2 -","- As4 Ca3 Si2 -","- As16 Ca12 Si8 -","4","1","","Eisenmann, B.; Schaefer, H.","Zintl-Phasen mit komplexen Anionen: Sr3 Si2 As4 und Sr3 Ge2 As4","Angewandte Chemie (German Edition)","1980","92","","480","481","","","","","","","","","","","","","","","","","","","","","","has coordinates","150718","2020-10-21","18:00:00",""
