# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:42:53+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Si[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " P[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1001334","8.2642","0.0005","8.2642","0.0005","17.559","0.002","90","","90","","120","","1038.6","","","","","","","","","","","","","5","P -3 1 c","-P 3 2c","","Caesium molybdosilicophosphate *","","- Cs Mo3 O25 P5.8 Si2 -","- Cs Mo3 O25 P5.802 Si2 -","- Cs2 Mo6 O50 P11.604 Si4 -","2","0.166667","","Leclaire, A; Monier, J C; Raveau, B","Structure of Cs Mo~3~ P~5.8~ Si~2~ O~25~","Acta Crystallographica C (39,1983-)","1985","41","","1719","1720","","","","","","","0.028","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001344","14.584","0.002","8.416","0.001","14.18","0.001","90","","110.05","0.06","90","","1635","","","","","","","","","","","","","4","C 1 2/c 1","-C 2yc","","Molybdenum(III) silicophosphate","","- Mo O11 P3 Si -","- Mo O11 P3 Si -","- Mo8 O88 P24 Si8 -","8","1","","Leclaire, A; Raveau, B","Mo P~3~ Si O~11~: A silicophosphate of molybdenum(III)","Journal of Solid State Chemistry","1987","71","","283","290","10.1016/0022-4596(87)90235-0","","","","","","0.027","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001363","14.705","0.004","14.705","0.004","7.3986","0.0005","90","","90","","120","","1385.5","","","","","","","","","","","","","4","P -3","-P 3","","Tetramolybdenum(III) tecto-hexaphosphodisilicate","","- Mo4 O25 P6 Si2 -","- Mo4 O25 P6 Si2 -","- Mo12 O75 P18 Si6 -","3","0.5","","Leclaire, A; Lamire, M; Raveau, B","Mo~4~ P~6~ Si~2~ O~25~, an Mo(^III^) phosphosilicate closely related to V~3~ P~5~ Si O~19~: oxygen non-stoichiometry in silicophosphates.","Acta Crystallographica C (39,1983-)","1988","44","","1181","1184","","","","","","","0.065","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001368","7.994","0.001","7.994","0.001","16.513","0.002","90","","90","","120","","913.9","","","","","","","","","","","","","4","P -3 1 c","-P 3 2c","","Germanium phosphatosilicate *","","- Ge3 O25 P6 Si2 -","- Ge3 O25 P6 Si2 -","- Ge6 O50 P12 Si4 -","2","0.166667","","Leclaire, A; Raveau, B","Ge~3~ P~6~ Si~2~ O~25~: A Cage Structure Closely Related to the Intersecting Tunnel Structure K Mo~3~ P~6~ Si~2~ O~25~","Journal of Solid State Chemistry","1988","75","","397","402","10.1016/0022-4596(88)90180-6","","","","","","0.043","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001394","8.415","0.002","5.215","0.002","11.19","0.001","77.77","0.02","77.77","0.01","73.11","0.02","453.2","","","","","","","","","","","","","4","P -1","-P 1","","Dimolybdenum(V) silicophosphate","","- Mo2 O23 P4 Si4 -","- Mo2 O23 P4 Si4 -","- Mo2 O23 P4 Si4 -","1","0.5","","Leclaire, A; Borel, M M; Grandin, A; Raveau, B","Mo~2~ P~4~ Si~4~ O~23~, a Molybdenum (V) Silicophosphate Related to the $-beta-Cristobalite","Journal of Solid State Chemistry","1989","80","","250","255","10.1016/0022-4596(89)90087-X","","","","","","0.043","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001541","10.605","0.0009","10.605","0.0009","6.4099","0.0005","90","","90","","90","","720.9","","","","","","","","","","","","","5","P -4 m 2","P -4 -2","","Potassium niobium silicophosphate *","","- K4 Nb8 O34 P4 Si -","- K4 Nb8 O34 P4 Si -","- K4 Nb8 O34 P4 Si -","1","0.125","","Leclaire, A; Borel, M M; Chardon, J; Grandin, A; Raveau, B","A niobium silicophosphate belonging to the niobium phosphate bronzeseries: K~4~Nb~8~P~4~SiO~34~","Acta Crystallographica C (39,1983-)","1992","48","","1744","1747","","","","","","","0.03","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001683","14.4671","0.0011","14.4671","0.0011","7.4605","0.0002","90","","90","","120","","1352.3","","","","","","","","","","","","","4","P 63","P 6c","","Trivanadium(III) silicopentaphosphate","","- O19 P5 Si V3 -","- O19 P5 Si V3 -","- O76 P20 Si4 V12 -","4","0.666667","","Leclaire, A; Chahboun, H; Groult, D; Raveau, B","V3 P5 Si O19, a vanadosilicophospahte built up from V2 O9 octahedra clusters","Journal of Solid State Chemistry","1986","65","","168","177","10.1016/0022-4596(86)90051-4","","","","","","0.047","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001852","8.2905","0.001","8.2905","0.001","17.439","0.0023","90","","90","","120","","1038","","","","","","","","","","","","","5","P -3 1 c","-P 3 2c","","Rubidium molybdophosphatosilicate *","","- Mo3 O25 P5.8 Rb Si2 -","- Mo3 O25 P5.82 Rb Si2 -","- Mo6 O50 P11.64 Rb2 Si4 -","2","0.166667","","Leclaire, A; Monier, J C; Raveau, B","A molybdosilicophosphate with an intersecting - tunnel structure, which exhibits ion - exchange properties, a Mo3 P5.8 Si2 O25 (A = Rb, Tl)","Acta Crystallographica B (39,1983-)","1984","40","","180","185","","","","","","","0.031","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001853","8.2832","0.0005","8.2832","0.0005","17.4343","0.001","90","","90","","120","","1035.9","","","","","","","","","","","","","5","P -3 1 c","-P 3 2c","","Thallium molybdosilicophosphate *","","- Mo3 O25 P5.8 Si2 Tl -","- Mo3 O25 P5.82 Si2 Tl -","- Mo6 O50 P11.64 Si4 Tl2 -","2","0.166667","","Leclaire, A; Monier, J R; Raveau, B","A molybdosilicophosphate with an intersecting - tunnel structure, which exhibits ion - exchange properties, a Mo3 P5.8 Si2 O25 (A = Rb, Tl)","Acta Crystallographica B (39,1983-)","1984","40","","180","185","","","","","","","0.054","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001857","8.2648","0.0009","8.2648","0.0009","17.03799","0.001","90","","90","","120","","1007.9","","","","","","","","","","","","","5","P -3 1 c","-P 3 2c","","Potassium titanium disilicohexaphosphate (1/3/1)","","- K O25 P6 Si2 Ti3 -","- K O25 P6 Si2 Ti3 -","- K2 O50 P12 Si4 Ti6 -","2","0.166667","","Benmoussa, A; Borel, M M; Grandin, A; Leclaire, A; Raveau, B","Structure of mixed-valent titanium silicophosphates, K Ti3 P6 Si2 O25 and Cs Ti3 P6 Si2 O25","Acta Crystallographica C (39,1983-)","1991","47","","936","938","","","","","","","0.036","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
