# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:45:24+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Si[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Sn[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1001113","6.86","","6.86","","10.12","","90","","90","","120","","412.4","","","","","","","","","","","","","4","P 63/m","-P 6c","","Dipotassium tin(IV) cyclo-trisilicate","","- K2 O9 Si3 Sn -","- K2 O9 Si3 Sn -","- K4 O18 Si6 Sn2 -","2","0.166667","","Choisnet, J; Deschanvres, A; Raveau, B","Evolution structural de nouveaux germanates et silicates de type Wadeite et de structure apparentee","Journal of Solid State Chemistry","1973","7","","408","417","10.1016/0022-4596(73)90169-2","","","","","","0.092","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001114","6.943","","6.943","","10.04","","90","","90","","120","","419.1","","","","","","","","","","","","","4","P 63/m","-P 6c","","Dirubidium tin(IV) cyclo-trisilicate","","- O9 Rb2 Si3 Sn -","- O9 Rb2 Si3 Sn -","- O18 Rb4 Si6 Sn2 -","2","0.166667","","Choisnet, J; Deschanvres, A; Raveau, B","Evolution structural de nouveaux germanates et silicates de type Wadeite et de structure apparentee","Journal of Solid State Chemistry","1973","7","","408","417","10.1016/0022-4596(73)90169-2","","","","","","0.096","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001561","12.485","","12.485","","12.485","","90","","90","","90","","1946.1","","","","","","","","","","","","","5","I a -3 d","-I 4bd 2c 3","","Tricalcium ditin(IV) silicon digallium oxide","","- Ca3 Ga2 O12 Si Sn2 -","- Ca3 Ga2.0001 O12 Si0.9999 Sn2 -","- Ca24 Ga16.0008 O96 Si7.9992 Sn16 -","8","0.0833333","","Rulmont, A; Tarte, P; Cartie, B; Choisnet, J","Solid solutions Ca~3~Sn~2+x~Si(Ge)~1-x~Ga~2~O~12~ (0<x<0.95) and tetrahedral coordination of Sn^4+^ in the garnet structure","Journal of Solid State Chemistry","1993","104","","165","176","10.1006/jssc.1993.1150","","","","","","0.04","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1001562","12.494","","12.494","","12.494","","90","","90","","90","","1950.3","","","","","","","","","","","","","5","I a -3 d","-I 4bd 2c 3","","Calcium tin silicon gallium oxide (3/2.1/1/2/12)","","- Ca3 Ga2 O12 Si0.95 Sn2.05 -","- Ca3 Ga2.0001 O12 Si0.9501 Sn2.0498 -","- Ca24 Ga16.0008 O96 Si7.6008 Sn16.3984 -","8","0.0833333","","Rulmont, A; Tarte, P; Cartie, B; Choisnet, J","Solid solutions Ca~3~Sn~2+x~Si(Ge)~1-x~Ga~2~O~12~ (0<x<0.95) and tetrahedral coordination of Sn^4+^ in the garnet structure","Journal of Solid State Chemistry","1993","104","","165","176","10.1006/jssc.1993.1150","","","","","","0.038","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1001563","12.679","","12.679","","12.679","","90","","90","","90","","2038.2","","","","","","","","","","","","","5","I a -3 d","-I 4bd 2c 3","","Calcium tin silicon gallium oxide (3/3/.05/2/12)","","- Ca3 Ga2 O12 Si0.05 Sn2.95 -","- Ca3 Ga2.0001 O12 Si0.0498 Sn2.9501 -","- Ca24 Ga16.0008 O96 Si0.3984 Sn23.6008 -","8","0.0833333","","Rulmont, A; Tarte, P; Cartie, B; Choisnet, J","Solid solutions Ca~3~Sn~2+x~Si(Ge)~1-x~Ga~2~O~12~ (0<x<0.95) and tetrahedral coordination of Sn^4+^ in the garnet structure","Journal of Solid State Chemistry","1993","104","","165","176","10.1006/jssc.1993.1150","","","","","","0.042","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1001773","6.728","0.005","6.728","0.005","9.838","0.005","90","","90","","120","","385.7","","","","","","","","","","","","synthetic","4","P -6 c 2","P -6c 2","","Barium tin(IV) cyclo-trisilicate","Pabstite","- Ba O9 Si3 Sn -","- Ba O9 Si3 Sn -","- Ba2 O18 Si6 Sn2 -","2","0.166667","","Choisnet, J; Deschanvres, A; Raveau, B","Sur de nouveaux germanates et silicates de type benitoite","Journal of Solid State Chemistry","1972","4","","209","218","10.1016/0022-4596(72)90107-7","","","","","","0.103","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1506911","9.245","0.001","11.945","0.001","32.509","0.001","90","","90","","90","","3590","0.5","198","2","198","2","","","","","","","","6","P 21 21 21","P 2ac 2ab","","","","- C37 H45 N O2 Si Sn -","- C37 H45 N O2 Si Sn -","- C148 H180 N4 O8 Si4 Sn4 -","4","1","","Reuber, Jenny; Fröhlich, Roland; Hoppe, Dieter","Highly enantioenriched homoenolate reagents by asymmetric gamma-deprotonation of achiral 1-silyl-substituted 1-alkenyl carbamates.","Organic letters","2004","6","5","783","786","10.1021/ol0364677","","","0.71073","MoKα","","0.0682","0.0396","","","0.0607","0.0677","","","","","","1.012","","","","has coordinates","201954","2020-10-21","18:00:00",""
"1510030","10.315","","10.315","","10.315","","90","","90","","90","","1097.51","","","","","","","","","","","","","4","I -4 3 m","I -4 2 3","","Ag3 Sn2 Si3 P6","","- Ag3 P6 Si3 Sn2 -","- Ag3 P6 Si3 Sn2 -","- Ag12 P24 Si12 Sn8 -","4","0.0833333","","von Schnering, H.G.; Hoenle, W.","New compounds containing Ag6(4+) cluster units","Solid Compound of Transition Elements, Int. Conference Stuttgart 1979","1979","1979","","101","102","","","","","","","","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1514551","11.9576","0.0001","12.6539","0.0001","16.2477","0.0001","96.233","0.001","98.572","0.001","100.371","0.001","2367.98","0.03","150","2","150","2","","","","","","","synthesis as described","6","P -1","-P 1","RajanBabu 1872","","","- C45 H63 B O10 Si Sn -","- C45 H63 B O10 Si Sn -","- C90 H126 B2 O20 Si2 Sn2 -","2","1","","Gong, Wei; RajanBabu, T. V.","Conformation and reactivity in dibenzocyclooctadienes (DBCOD). A general approach to the total synthesis of fully substituted DBCOD lignans via borostannylative cyclization of α,ω-diynes","Chemical Science","2013","4","10","3979","","10.1039/c3sc51751a","","x-ray","0.71073","MoKα","","0.0553","0.0397","","","0.1017","0.1099","","","","","","1.034","","","","has coordinates","176432","2020-10-21","18:00:00",""
"1515798","12.7007","0.0004","11.7079","0.0004","24.3198","0.0008","90","","90.138","0.001","90","","3616.3","0.2","90","2","90","2","","","","","","","","4","P 1 21/c 1","-P 2ybc","","","","- C80 H106 Si2 Sn2 -","- C80 H106 Si2 Sn2 -","- C160 H212 Si4 Sn4 -","2","0.5","","Peng, Yang; Fischer, Roland C.; Merrill, W. Alexander; Fischer, Jelena; Pu, Lihung; Ellis, Bobby D.; Fettinger, James C.; Herber, Rolfe H.; Power, Philip P.","Substituent effects in ditetrel alkyne analogues: multiple vs. single bonded isomers","Chemical Science","2010","1","4","461","","10.1039/c0sc00240b","","","0.71073","MoKα","","0.0287","0.024","","","0.0638","0.066","","","","","","1.047","","","","has coordinates","176729","2020-10-21","18:00:00",""
