# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T04:04:19+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " Sn[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " Sb[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1000196","5.95","0.002","5.95","0.002","9.701","0.004","90","","90","","120","","297.4","","","","","","","","","","","","","5","P 63 m c","P 6c -2c","","Lithium iron(III) antimony(V) tin(IV) oxide (4.66/4/2/1.32/16) - Low form","","- Fe4 Li4.66 O16 Sb2 Sn1.32 -","- Fe4 Li4.66 O16 Sb2.0122 Sn1.3278 -","- Fe4 Li4.66 O16 Sb2.0122 Sn1.3278 -","1","0.0833333","","Lacorre, P; Hervieu, M; Choisnet, J; Raveau, B","Oxydes M~3~ O~4~ a empilement hexagonal double type D.H. Li Fe Sn O~4~ (M = Li,Fe,Sb,Sn): Transitions reversibles ramsdellite - D.H. Li Fe Sn O~4~","Journal of Solid State Chemistry","1984","51","","44","52","10.1016/0022-4596(84)90313-X","","","","","","0.04","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1000197","3.031","0.001","5.045","0.002","9.798","0.006","90","","90","","90","","149.8","","","","","","","","","","","","","5","P m c n","-P 2n 2a","","Lithium iron(III) antimony(V) tin(IV) oxide (4.66/4/2/1.22/16) - High form","","- Fe2 Li2.33 O8 Sb Sn0.66 -","- Fe2 Li2.3332 O8 Sb Sn0.6668 -","- Fe2 Li2.3332 O8 Sb Sn0.6668 -","1","0.125","","Lacorre, P; Hervieu, M; Choisnet, J; Raveau, B","Oxydes M~3~ O~4~ a empilement hexagonal double type D.H. Li Fe Sn O~4~ (M = Li,Fe,Sb,Sn): Transitions reversibles ramsdellite - D.H. Li Fe Sn O~4~","Journal of Solid State Chemistry","1984","51","","44","52","10.1016/0022-4596(84)90313-X","","","","","","0.049","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1008276","4.25","0.001","13.99","0.003","16.38","0.003","90","","90","","90","","973.9","","","","","","","","","","","","","4","C m c m","-C 2c 2","","Ditin antimony disulfide triiodide","","- I3 S2 Sb Sn2 -","- I3 S2 Sb Sn2 -","- I12 S8 Sb4 Sn8 -","4","0.25","","Ibanez, A; Jumas, J C; Olivier-Fourcade, J; Philippot, E","Mise en evidence d'un desordre statistique dans les structures chalcogenoiodures d'etain et d'antimoine.","Journal of Solid State Chemistry","1984","55","","833","913","","","","","","","0.035","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008277","4.275","0.001","14.059","0.003","16.465","0.003","90","","90","","90","","989.6","","","","","","","","","","","","","4","C m c m","-C 2c 2","","Ditin antimony disulfide triiodide","","- I3 S2 Sb Sn2 -","- I3 S2 Sb Sn2 -","- I12 S8 Sb4 Sn8 -","4","0.25","","Ibanez, A; Jumas, J C; Olivier-Fourcade, J; Philippot, E","Mise en evidence d'un desordre statistique dans les structures chalcogenoiodures d'etain et d'antimoine.","Journal of Solid State Chemistry","1984","55","","83","91","10.1016/0022-4596(84)90250-0","","","","","","0.053","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008278","4.298","0.003","14.085","0.005","17.222","0.008","90","","90","","90","","1042.6","","","","","","","","","","","","","4","C m c m","-C 2c 2","","Ditin antimony diselenide triiodide","","- I3 Sb Se2 Sn2 -","- I3 Sb Se2 Sn2 -","- I12 Sb4 Se8 Sn8 -","4","0.25","","Ibanez, A; Jumas, J C; Olivier-Fourcade, J; Philippot, E","Mise en evidence d'un desordre statistique dans les structures chalcogenoiodures d'etain et d'antimoine.","Journal of Solid State Chemistry","1984","55","","83","91","10.1016/0022-4596(84)90250-0","","","","","","0.044","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008279","14.166","0.004","4.342","0.001","12.149","0.003","90","","96.03","0.03","90","","743.1","","","","","","","","","","","","","4","C 1 2/m 1","-C 2y","","Tritin antimony diselenide pentaiodide","","- I5 Sb Se2 Sn3 -","- I5 Sb Se2 Sn3 -","- I10 Sb2 Se4 Sn6 -","2","0.25","","Ibanez, A; Jumas, J C; Olivier-Fourcade, J; Philippot, E","Mise en evidence d'un desordre statistique dans les structures chalcogenoiodures d'etain et d'antimoine.","Journal of Solid State Chemistry","1984","55","","83","91","10.1016/0022-4596(84)90250-0","","","","","","0.034","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1008470","4.35","0.002","4.35","0.002","13.141","0.005","90","","90","","120","","215.3","","","","","","","","","","","","","3","P 63 m c","P 6c -2c","","Potassium tin antimonide","","- K Sb Sn -","- K Sb Sn -","- K2 Sb2 Sn2 -","2","0.166667","","Eisenmann, B; Klein, J","Zintl-Phasen mit Schichtanionen: Darstellung und Kristallstrukturender isotypen Verbindungen SrSn~2~As~2~ und Sr~0.87~Ba~0.13~Sn~2~As~2~ sowie eine Einkristallstrukturbestimmung von KSnSb","Zeitschrift fuer Anorganische und Allgemeine Chemie","1991","598","","93","102","10.1002/zaac.19915980109","","","","","","0.034","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1009041","16.27899","0.003","16.27899","","16.27899","","90","","90","","90","","4314","","","","","","","","","","","","","3","F d -3 m :1","F 4d 2 3 -1d","","Potassium tin antimonide (8/1/4)","","- K8 Sb4 Sn -","- K8 Sb4 Sn -","- K64 Sb32 Sn8 -","8","0.0416667","","Eisenmann, B; Klein, J","Na5 Sn Sb3 and K8 Sn Sb4, zwei neue Zintlphasennn mit tetraedrischen Sn Sb4-Baueinheiten","Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (42,1987-)","1988","43","","1156","1160","","","","","","","0.054","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1009059","18.59399","0.006","9.181","0.004","12.493","0.005","90","","98.3","0.1","90","","2110.4","","","","","","","","","","","","","3","P 1 21/c 1","-P 2ybc","","Sodium tin antimonide (5/1/3)","","- Na5 Sb3 Sn -","- Na5 Sb3 Sn -","- Na40 Sb24 Sn8 -","8","2","","Eisenmann, B; Klein, J","Na5 Sn Sb3 and K8 Sn Sb4, zwei neue Zintlphasen mit tetraedrischen SnSb4-Baueinheiten","Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (42,1987-)","1988","43","","1156","1160","","","","","","","0.047","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1009060","14.816","","14.816","","14.816","","90","","90","","90","","3252.3","","","","","","","","","","","","","3","F d -3 m :2","-F 4vw 2vw 3","","Octasodium tetraantimonostannate","","- Na8 Sb4 Sn -","- Na8 Sb4 Sn -","- Na64 Sb32 Sn8 -","8","0.0416667","","Eisenmann, B; Klein, J","Eine Zintl-Phase mit isolierten Sn Sb4 (8-)-Anionen: Na8 Sn Sb4","Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (42,1987-)","1988","43","","1156","1160","","","","","","","0.044","","","","","","","","","","","","","","","has coordinates","176729","2020-10-21","18:00:00",""
"1521292","5.593","","9.788","","18.926","","90","","90","","90","","1036.09","","","","","","","","","","","","","3","F d d d :2","-F 2uv 2vw","","Ti Sn Sb","","- Sb Sn Ti -","- Sb Sn Ti -","- Sb16 Sn16 Ti16 -","16","0.5","","Malaman, B.; Steinmetz, J.","Deux nouveaux ternaires a structures apparentees: Ti Sn Sb de type Cu Mg2 et Nb Sn Sb de type Cu Al2","Journal of the Less-Common Metals","1979","65","","285","288","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1521293","6.736","","6.736","","5.727","","90","","90","","90","","259.855","","","","","","","","","","","","","3","I 4/m c m","-I 4 2c","","Nb Sn Sb","","- Nb Sb Sn -","- Nb Sb Sn -","- Nb4 Sb4 Sn4 -","4","0.125","","Malaman, B.; Steinmetz, J.","Deux nouveaux ternaires a structures apparentees: Ti Sn Sb de type Cu Mg2 et Nb Sn Sb de type Cu Al2","Journal of the Less-Common Metals","1979","65","","285","288","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1524072","6.62","","5.36","","3.91","","90","","90","","90","","138.739","","","","","","","","","","","","","3","P n n m","-P 2 2n","","Pt2 Sb2.6 Sn1.4","","- Pt2 Sb2.6 Sn2.6 -","- Pt2 Sb2.6 Sn2.6 -","- Pt2 Sb2.6 Sn2.6 -","1","0.125","","Bhan, S.; Goedecke, T.; Schubert, K.","Konstitution einiger Mischungen des Platins mit B-Elementen (B = Sn, Sb, Te)","Journal of the Less-Common Metals","1969","19","","121","121","","","","","","","","","","","","","","","","","","","","","","has coordinates","144733","2020-10-21","18:00:00",""
"1528764","4.3251","","4.3251","","5.3376","","90","","90","","120","","86.471","","","","","","","","","","","","","2","R -3 m :H","-R 3 2""","","(Sn0.51 Sb0.49)","","- Sb0.49 Sn0.51 -","- Sb0.49 Sn0.51 -","- Sb1.47 Sn1.53 -","3","0.0833333","","Noren, L.; Schmid, S.; Withers, R.L.; Brink, F.J.; Ting, V.","Old friends in a new light: ""Sb Sn"" revisited","Journal of Solid State Chemistry","2006","179","","404","412","","","","","","","","","","","","","","","","","","","","","","has coordinates","151416","2020-10-21","18:00:00",""
