Material,Hf (eV/atom),Ecoh (eV/atom),(ρ0 × λ)⊥τ (10^-16 m2),(ρ0 × λ)⊥λ (10^-16 m2),n,adirection,bdirection,TM_Z,TM_row,TM_group,TM_atomic_radius_calculated,TM_mendeleev_no,TM_electrical_resistivity,TM_poissons_ratio,TM_molar_volume,TM_thermal_conductivity,TM_boiling_point,TM_melting_point,TM_liquid_range,TM_bulk_modulus,TM_youngs_modulus,TM_brinell_hardness,TM_rigidity_modulus,TM_mineral_hardness,TM_vickers_hardness,TM_density_of_solid,TM_coefficient_of_linear_thermal_expansion,TM_ionization_energies,TM_atomic_mass,TM_atomic_radius,TM_average_anionic_radius,TM_average_cationic_radius,TM_average_ionic_radius,TM_electron_affinity,A_Z,A_row,A_group,A_atomic_radius_calculated,A_mendeleev_no,A_electrical_resistivity,A_molar_volume,A_thermal_conductivity,A_boiling_point,A_melting_point,A_liquid_range,A_mineral_hardness,A_density_of_solid,A_ionization_energies,A_atomic_mass,A_atomic_radius,A_average_anionic_radius,A_average_cationic_radius,A_average_ionic_radius,A_electron_affinity,X_Z,X_row,X_group,X_atomic_radius_calculated,X_mendeleev_no,X_refractive_index,X_molar_volume,X_thermal_conductivity,X_boiling_point,X_melting_point,X_liquid_range,X_ionization_energies,X_atomic_mass,X_atomic_radius,X_average_anionic_radius,X_average_cationic_radius,X_average_ionic_radius,X_electron_affinity,mean_Z,stddev_Z,mean_row,stddev_row,mean_group,stddev_group,mean_atomic_radius_calculated,stddev_atomic_radius_calculated,mean_mendeleev_no,stddev_mendeleev_no,mean_molar_volume,stddev_molar_volume,mean_thermal_conductivity,stddev_thermal_conductivity,mean_boiling_point,stddev_boiling_point,mean_melting_point,stddev_melting_point,mean_liquid_range,stddev_liquid_range,mean_ionization_energies,stddev_ionization_energies,mean_atomic_mass,stddev_atomic_mass,mean_atomic_radius,stddev_atomic_radius,mean_average_anionic_radius,stddev_average_anionic_radius,mean_average_cationic_radius,stddev_average_cationic_radius,mean_average_ionic_radius,stddev_average_ionic_radius,mean_electron_affinity,stddev_electron_affinity
Ti2AlC,-3.11,7.3,7.5,7.6,2,0,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,13.0,3.0,13.0,1.18,80.0,2.7e-08,10.0,235.0,2792.0,933.47,1858.53,2.75,2700.0,5.985769,26.9815386,1.25,0.0,0.675,0.675,0.432835,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,15.75,6.722164829874376,3.25,0.82915619758885,8.75,4.763139720814412,1.3425,0.45477329517024195,69.25,19.00493356999703,9.1425,2.2395353870836696,104.75,89.30670467551694,3553.0,533.2044635972209,2153.8675000000003,1035.585270592794,1399.1325,528.2444393164494,7.72557425,2.0695393125072994,33.68155965,15.140755231223254,1.1875,0.2880429655450728,0.0,0.0,0.6695833333333333,0.2252386851270842,0.6695833333333333,0.2252386851270842,0.461509653,0.48469742149663975
Ti2AlN,-3.148,5.4,7.6,6.5,2,0,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,13.0,3.0,13.0,1.18,80.0,2.7e-08,10.0,235.0,2792.0,933.47,1858.53,2.75,2700.0,5.985769,26.9815386,1.25,0.0,0.675,0.675,0.432835,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,16.0,6.363961030678928,3.25,0.82915619758885,9.0,5.049752469181039,1.315,0.4960594722409804,70.5,20.74246851269154,11.205,1.3731988202733056,69.7564575,95.82424956057791,2497.34,1431.9235548031186,1219.63,784.2694364502546,1277.71,735.9499236700823,8.54403475,3.4754385194616355,34.18055965,14.434748146092273,1.175,0.3092329219213245,0.33,0.5715767664977295,0.6658333333333334,0.23140122682859265,0.7520833333333333,0.1008462457297136,0.12848125,0.18549292767431189
Ti2SiC,-0.805,7.8,6.0,6.1,2,0,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,14.0,3.0,14.0,1.11,85.0,0.001,12.06,150.0,3173.0,1687.0,1486.0,6.5,2330.0,8.15168,28.0855,1.1,0.0,0.54,0.54,1.38952128,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,16.0,6.6332495807108,3.25,0.82915619758885,9.0,5.0,1.325,0.4619794367718113,70.5,19.817921182606415,9.6575,2.5873574839979114,83.5,61.60154218848746,3648.25,408.1105089310982,2342.25,847.9962779989072,1306.0,468.50133404292455,8.267052,1.8106506462683514,33.95755,15.025734547186037,1.15,0.2872281323269014,0.0,0.0,0.6358333333333333,0.2319138369692024,0.6358333333333333,0.2319138369692024,0.700681223,0.6267570394816923
Ti2GaN,-0.823,5.2,10.1,10.6,2,0,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,31.0,4.0,13.0,1.36,81.0,1.4e-07,11.8,29.0,2477.0,302.91,2174.09,1.5,5904.0,5.999302,69.723,1.3,0.0,0.76,0.76,0.3012011,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,20.5,8.616843969807043,3.5,0.8660254037844386,9.0,5.049752469181039,1.3599999999999999,0.4898979485566356,70.75,20.8611480987984,11.655,1.1868761519215048,18.2564575,10.906508439822469,2418.59,1422.1817057957117,1061.99,883.0912651306206,1356.6000000000001,807.4248980865032,8.547418,3.472952164441946,44.865925,19.92598082571784,1.1875,0.31299960063872284,0.33,0.5715767664977295,0.6870833333333334,0.23513995536937385,0.7733333333333333,0.09082186471941166,0.095572775,0.13275878069492003
Ti2GeC,-0.687,7.6,6.1,6.1,2,0,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,32.0,4.0,14.0,1.25,84.0,0.0005,13.63,60.0,3093.0,1211.4,1881.6,6.0,5323.0,7.899435,72.64,1.25,0.0,0.77,0.77,1.232676413,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,20.5,9.313968005098578,3.5,0.8660254037844386,9.0,5.0,1.3599999999999999,0.4494997219131509,70.25,19.638928178492836,10.05,3.0070833044663066,61.0,48.176757881783615,3628.25,432.16222359202106,2223.35,957.7722941806157,1404.9,533.3302260326149,8.203990749999999,1.817948550332678,45.096175,21.6140341790207,1.1875,0.2880429655450728,0.0,0.0,0.6933333333333334,0.229525476678395,0.6933333333333334,0.229525476678395,0.6614700062500001,0.5860174327907689
Ti2GeN,-3.136,5.6,4.3,4.2,2,0,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,32.0,4.0,14.0,1.25,84.0,0.0005,13.63,60.0,3093.0,1211.4,1881.6,6.0,5323.0,7.899435,72.64,1.25,0.0,0.77,0.77,1.232676413,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,20.75,8.926785535678562,3.5,0.8660254037844386,9.25,5.261891294962297,1.3325,0.49220803528589413,71.5,21.266170318136737,12.1125,1.472843762929388,26.0064575,21.579257056208373,2572.59,1453.1823988405583,1289.1125,767.9816260619457,1283.4775000000002,740.5550897932915,9.02245125,3.2120845027185516,45.595175,20.854116438772344,1.175,0.3092329219213245,0.33,0.5715767664977295,0.6895833333333334,0.23595366482520347,0.7758333333333334,0.09055768572818347,0.32844160325,0.5254307010050957
Ti2InC,-3.01,6.9,9.2,8.2,2,0,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,49.0,5.0,13.0,1.56,79.0,8e-08,15.76,82.0,2345.0,429.75,1915.25,1.2,7310.0,5.7863557,114.818,1.55,0.0,0.94,0.94,0.383926,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,24.75,15.449514555480375,3.75,1.0897247358851685,8.75,4.763139720814412,1.4375,0.45057602022300297,69.0,18.867962264113206,10.5825,3.7021505574463065,66.5,48.99744891318323,3441.25,701.3235255572139,2027.9375,1194.730623077332,1413.3125,540.993454645017,7.675720924999999,2.1127988974778846,55.640675,37.16984852897406,1.2625,0.33048260166005716,0.0,0.0,0.7358333333333333,0.25419945143747086,0.7358333333333333,0.25419945143747086,0.449282403,0.48588201410935894
Ti2InN,-0.78,5.0,13.1,13.0,2,0,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,49.0,5.0,13.0,1.56,79.0,8e-08,15.76,82.0,2345.0,429.75,1915.25,1.2,7310.0,5.7863557,114.818,1.55,0.0,0.94,0.94,0.383926,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,25.0,15.149257407543116,3.75,1.0897247358851685,9.0,5.049752469181039,1.4100000000000001,0.49749371855331,70.25,20.632195714465293,12.645,2.1531546623501057,31.5064575,30.5015295124346,2385.59,1421.9749450324362,1093.7,857.1615374303726,1291.89,747.4607431497657,8.494181424999999,3.513005134118165,56.139675,36.58964235431763,1.25,0.35178118198675723,0.33,0.5715767664977295,0.7320833333333334,0.2606305788105285,0.8183333333333334,0.11455833060546539,0.11625399999999998,0.16556969639852578
V2AlC,-0.528,7.9,4.1,5.3,2,0,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,13.0,3.0,13.0,1.18,80.0,2.7e-08,10.0,235.0,2792.0,933.47,1858.53,2.75,2700.0,5.985769,26.9815386,1.25,0.0,0.675,0.675,0.432835,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,16.25,7.189401922274203,3.25,0.82915619758885,9.25,4.264680527307995,1.3175,0.43193604850718353,70.75,17.5695048308141,7.9825,1.6990935083155372,109.25,85.15390478421996,3613.0,537.3518400452351,2274.8675000000003,1017.626610141829,1338.1325,505.9044896704812,7.68460775,2.0876307957109383,35.21880965,16.589717987066244,1.1625,0.2701272848121789,0.0,0.0,0.6325,0.1964767797985299,0.6325,0.1964767797985299,0.687568153,0.33396534971062525
V2AlN,-2.727,5.9,2.9,3.5,2,0,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,13.0,3.0,13.0,1.18,80.0,2.7e-08,10.0,235.0,2792.0,933.47,1858.53,2.75,2700.0,5.985769,26.9815386,1.25,0.0,0.675,0.675,0.432835,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,16.5,6.837397165588672,3.25,0.82915619758885,9.5,4.55521678957215,1.29,0.4737615433949868,72.0,19.339079605813716,10.045,2.1312144425186306,74.2564575,93.66284581597934,2557.34,1476.9983976971673,1340.63,896.8227745491301,1216.71,709.722417674685,8.50306825,3.495846278069401,35.71780965,15.899812969330467,1.1500000000000001,0.29154759474226505,0.33,0.5715767664977295,0.62875,0.20282766699836588,0.715,0.06449321669757213,0.35453975,0.24814651538594593
