key,atom,cluster0,cluster1,cluster2,cluster3
1D-000,0,1.2051076872973902e-31,2.601549653731301e-35,1.0,2.0227676522951183e-155
1D-000,1,0.9999974352404798,2.5647595205780662e-06,1.978527893463443e-25,0.0
1D-000,2,0.9999974417022526,2.5582977472250136e-06,1.9839714955639785e-25,0.0
1D-000,3,0.9999995348842707,4.6511572955092885e-07,5.447676201243327e-26,0.0
1D-000,4,0.9999995330123006,4.669876990573039e-07,5.381788236112137e-26,0.0
1D-000,5,0.9999991674295174,8.325704822624579e-07,3.4479626126724095e-25,0.0
1D-000,6,0.9999991708254807,8.291745196633052e-07,3.4945224515468097e-25,0.0
1D-000,7,1.1918901849500963e-31,2.581013378939722e-35,1.0,2.131233261957897e-155
1D-001,0,0.9999999329304603,6.706954009452585e-08,1.5514295691555222e-21,0.0
1D-001,1,0.9999999325577718,6.744222804338923e-08,1.5346452796021416e-21,0.0
1D-001,2,0.999999932714196,6.728580375709557e-08,1.5300305465683618e-21,0.0
1D-001,3,0.9999999325335973,6.74664029796534e-08,1.526381710864953e-21,0.0
1D-001,4,0.9999999326917046,6.730829500959725e-08,1.5328641982269476e-21,0.0
1D-001,5,0.9999999326773126,6.732268730208537e-08,1.5480817199604296e-21,0.0
1D-001,6,0.999999932606547,6.739345322953329e-08,1.5364612592203525e-21,0.0
1D-001,7,0.9999999325587416,6.744125794981952e-08,1.5319880674409831e-21,0.0
1D-002,0,0.9999999098739935,9.01260066678595e-08,2.3760535670912485e-23,0.0
1D-002,1,0.999999910343623,8.965637727543723e-08,2.42869678417947e-23,0.0
1D-002,2,0.9999999102091945,8.979080530101761e-08,2.3771605401719245e-23,0.0
1D-002,3,0.9999999095565771,9.044342289415897e-08,2.3601560832445225e-23,0.0
1D-002,4,0.9999999104347173,8.956528255828529e-08,2.4122526270758346e-23,0.0
1D-002,5,0.9999999101963932,8.980360717940272e-08,2.4096248947577473e-23,0.0
1D-002,6,0.9999999096853115,9.031468892787282e-08,2.351433688351558e-23,0.0
1D-002,7,0.9999999099628948,9.003710507414034e-08,2.3786336501181953e-23,0.0
1D-003,0,0.9999997782335838,2.2176641628096822e-07,2.432617178384124e-25,0.0
1D-003,1,0.9999995582921776,4.41707822398859e-07,6.3224711690585154e-24,0.0
1D-003,2,7.124402551227978e-39,2.7451534985688096e-40,1.0,8.793362085641445e-124
1D-003,3,8.013808671717206e-32,2.8686487258741143e-35,1.0,8.17059088527353e-155
1D-003,4,7.974368491112462e-32,2.859736946226798e-35,1.0,8.36017000538763e-155
1D-003,5,0.9999995524722693,4.475277306840892e-07,6.122333117908793e-24,0.0
1D-003,6,7.124402551228584e-39,2.7451534985688875e-40,1.0,8.793362085639945e-124
1D-003,7,0.9999997756734874,2.2432651265110872e-07,2.3473877741549563e-25,0.0
1D-004,0,3.837449806947274e-42,2.913818649855811e-42,1.0,4.7036903108979814e-111
1D-004,1,0.9999996386501562,3.613498436758053e-07,1.2848710313541525e-23,0.0
1D-004,2,0.9999998019646289,1.9803537128924638e-07,3.734813079820885e-25,0.0
1D-004,3,7.024789690071948e-32,2.8431410515666644e-35,1.0,1.4113586019816593e-154
1D-004,4,3.837449806947274e-42,2.913818649855811e-42,1.0,4.7036903108979814e-111
1D-004,5,0.9999996207267268,3.7927327275853705e-07,1.14607096847849e-23,0.0
1D-004,6,7.163525453743186e-32,2.8814654661323505e-35,1.0,1.287285379498943e-154
1D-004,7,0.9999997953742646,2.0462573586820034e-07,3.3484276431663873e-25,0.0
1D-005,0,7.742898028911597e-32,2.8169869230197956e-35,1.0,9.554525515677602e-155
1D-005,1,0.9999995639615893,4.360384105094985e-07,6.644706419788355e-24,0.0
1D-005,2,3.218153908172456e-39,1.6793250026520511e-40,1.0,2.099871540480457e-122
1D-005,3,0.9999997806807103,2.193192899664597e-07,2.5270544541500267e-25,0.0
1D-005,4,0.9999997805815363,2.1941846397935993e-07,2.5230952205075206e-25,0.0
1D-005,5,0.9999995640619925,4.3593800753747173e-07,6.642306379041922e-24,0.0
1D-005,6,3.218153908172456e-39,1.6793250026520511e-40,1.0,2.099871540480457e-122
1D-005,7,7.720919128455829e-32,2.8116610531998046e-35,1.0,9.682564484022332e-155
1D-006,0,1.0071273280129974e-35,5.645102781245255e-38,1.0,3.94008938105512e-137
