Growth Temperature (°C),TDMAT Pressure (Torr),N2 Gas Flow (sccm),N2 Plasma RF Power (W),log10 Normalized XRD Intensity (Inorm = ITiN(002)/ISTO(002)d)
600.0,1.7,0.0,0.0,-6.815683327158042
600.0,1.7,0.0,100.0,-6.47903899488866
600.0,1.7,0.0,200.0,-5.537543091244611
600.0,1.7,0.0,300.0,-5.409648239747801
600.0,1.7,0.0,400.0,-5.326390459916753
600.0,1.7,0.0,500.0,-5.47067994871276
600.0,1.7,0.5,0.0,-6.815683327158042
600.0,1.7,0.5,100.0,-6.387564988478156
600.0,1.7,0.5,200.0,-5.396563936030137
600.0,1.7,0.5,300.0,-5.35623156117415
600.0,1.7,0.5,400.0,-5.314544828970136
600.0,1.7,0.5,500.0,-5.3129693062312136
600.0,1.7,1.0,0.0,-6.674704171943565
600.0,1.7,1.0,100.0,-6.338059839674184
600.0,1.7,1.0,200.0,-5.383516547631694
600.0,1.7,1.0,300.0,-5.296728140261642
600.0,1.7,1.0,400.0,-5.256003777003074
600.0,1.7,1.0,500.0,-5.154143034248637
600.0,1.7,1.5,0.0,-6.661656783545121
600.0,1.7,1.5,100.0,-6.281886037886177
600.0,1.7,1.5,200.0,-5.3358587576658
600.0,1.7,1.5,300.0,-5.150392544261778
600.0,1.7,1.5,400.0,-4.645848227096376
600.0,1.7,1.5,500.0,-4.769682503271573
600.0,1.7,2.0,0.0,-6.620012042228
600.0,1.7,2.0,100.0,-6.185851711330197
600.0,1.7,2.0,200.0,-4.739660750653755
600.0,1.7,2.0,300.0,-4.648466611411177
600.0,1.7,2.0,400.0,-4.608711256081161
600.0,1.7,2.0,500.0,-4.502545069667212
600.0,1.7,2.5,0.0,-6.276053038642978
600.0,1.7,2.5,100.0,-5.235995846014937
600.0,1.7,2.5,200.0,-4.710603815055026
600.0,1.7,2.5,300.0,-4.327173933187172
600.0,1.7,2.5,400.0,-4.123732041009994
600.0,1.7,2.5,500.0,-4.271662683149887
600.0,1.7,3.0,0.0,-6.268829792884518
600.0,1.7,3.0,100.0,-4.921607073127821
600.0,1.7,3.0,200.0,-4.248762155690863
600.0,1.7,3.0,300.0,-4.043936534866277
600.0,1.7,3.0,400.0,-4.071818279453353
600.0,1.7,3.0,500.0,-4.25724403412526
600.0,1.7,3.5,0.0,-6.065976609637978
600.0,1.7,3.5,100.0,-4.702306343986479
