key,a0.70_rp2.40,a0.70_rp3.00,a0.70_rp3.60,a0.70_rp4.20,a0.70_rp4.80,a0.70_rp5.40,hist1,hist2,hist3,hist4,hist5,hist6,hist7,hist8,hist9,hist10,hist11,hist12,hist13,hist14,hist15,hist16,hist17,hist18,hist19,hist20,polytype,id
Fe-bcc,7.074260426037194,6.330015093459487,3.520474147356392,4.329289819548753,3.9233086478839,1.533736053055263,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,24.0,8.0,0.0,0.0,0.0,6.0,0.0,Fe-bcc,-1
Fe-bcc_00,6.482374462889322,6.468914719199155,3.4892431112273528,3.7991153515724774,3.5572600369147858,1.5114843154734603,6.0,0.125,3.375,4.5,0.0,0.0,0.0,0.0,3.25,2.75,4.5,1.5,5.75,12.25,8.0,4.0,0.0,2.0,2.0,4.875,Fe-bcc,0
Fe-bcc_01,7.156372983793499,6.3203102776889,3.6810773964162884,4.521391645664453,3.955817928817952,1.47061074022254,6.0,2.0,5.875,0.125,0.0,0.0,0.0,0.0,2.0,9.875,0.125,0.0,8.0,20.0,2.0,2.0,0.0,0.0,6.0,4.0,Fe-bcc,1
Fe-bcc_02,7.054173285035308,6.331178368131912,3.6096546393391344,4.38340147290298,3.889490272323167,1.4973551498960562,6.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,3.625,6.375,2.0,0.0,8.0,14.375,7.625,2.0,0.0,0.0,4.0,2.125,Fe-bcc,2
Fe-bcc_03,6.941525179339745,6.363491979093782,3.5577631356439134,4.247252913248309,3.8228314538479284,1.512032997326755,6.0,2.0,3.625,2.375,0.0,0.0,0.0,0.0,3.75,4.25,4.0,0.0,8.25,13.5,8.25,1.625,0.375,0.0,4.0,2.0,Fe-bcc,3
Fe-bcc_04,7.246005464923082,6.2777213270184244,3.670480602400394,4.586005282641384,4.01366633221453,1.4817979669852566,8.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.625,9.375,0.0,0.0,11.0,15.0,6.0,0.0,0.0,0.0,4.0,2.0,Fe-bcc,4
Fe-bcc_05,7.814043254506904,6.1321851481939165,4.313361214891286,5.519740718244474,4.237675867111248,1.3081610917174957,4.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,6.125,3.875,0.0,4.75,19.25,6.0,2.0,0.0,2.0,2.0,6.0,4.75,Fe-bcc,5
Fe-bcc_06,7.460861503249824,6.214054566060933,3.8416938308954593,4.89128928247425,4.133350878225501,1.4262937628825605,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.625,7.375,0.0,0.0,13.25,14.875,3.875,0.0,0.0,2.0,4.0,0.0,Fe-bcc,6
Fe-bcc_07,7.575735910256293,6.2019889213438155,4.02667890007873,5.128731867031862,4.167160281596616,1.3664760662290103,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,16.0,8.0,4.0,0.0,0.0,4.0,2.0,6.0,Fe-bcc,7
Fe-bcc_08,6.991923820374981,6.367644816882695,3.620213577897716,4.344914281388702,3.842374435506719,1.4934173844127256,4.0,2.0,4.5,1.5,0.0,0.0,0.0,0.0,4.0,3.375,4.625,2.0,6.0,15.625,6.375,2.0,0.0,0.0,4.0,6.0,Fe-bcc,8
Fe-bcc_09,6.783120374544771,6.392912110382345,3.479338308794791,4.059414004383143,3.717556102502272,1.538875843354182,6.0,2.0,2.125,3.875,0.0,0.0,0.0,0.0,2.0,5.875,4.125,0.0,5.5,15.0,9.5,0.625,1.375,0.0,2.0,4.0,Fe-bcc,9
Fe-bcc_10,7.316153608225959,6.262800916723126,3.7237949838295847,4.6850204726291,4.061691173392798,1.4607817311973663,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.125,8.875,0.0,0.0,16.0,12.0,4.0,0.0,0.0,2.0,4.0,0.0,Fe-bcc,10
Fe-bcc_11,7.1288008423292375,6.298589201061278,3.6095337934436698,4.443467272421955,3.920408662858642,1.5071851335371735,7.625,0.375,4.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,10.125,13.875,7.875,0.125,0.0,2.0,2.0,2.0,Fe-bcc,11
Fe-bcc_12,7.616238156703856,6.170637212550472,4.060727838385258,5.18026758034693,4.155056102351278,1.3753959542673295,7.5,0.0,4.0,2.0,0.0,0.0,0.0,2.0,3.5,6.5,0.0,7.125,9.0,11.875,4.0,0.0,0.0,4.0,0.625,7.125,Fe-bcc,12
Fe-fcc,6.206482487271344,6.152749999074104,3.292998171032233,3.5129512255668414,3.255197966307446,1.2270476181583703,0.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,12.0,0.0,0.0,24.0,Fe-fcc,-1
Fe-fcc_00,6.150527126033953,6.109561361951577,3.3802705069274683,3.584810110056506,3.183460483749643,1.2172840000069605,0.125,8.0,3.875,0.0,0.0,0.0,0.0,4.9375,1.0625,0.0,0.0,7.9375,10.0,6.0625,0.0,4.875,3.125,4.0,0.75,14.0,Fe-fcc,0
Fe-fcc_01,6.544893127483902,6.0369873958765305,3.5803365623539385,4.004741111594299,3.3291985680199527,1.2050979415028518,4.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,10.0,8.0,4.0,4.0,1.625,4.375,2.0,8.0,14.0,Fe-fcc,1
Fe-fcc_02,6.081020529989516,6.159434396950985,3.287117443598408,3.4314490749637967,3.184971277057543,1.2314491392058509,0.0,9.5625,2.4375,0.0,0.0,0.0,0.0,4.375,1.625,0.0,0.0,0.8125,17.9375,5.25,0.0,1.875,8.125,2.0,0.0,12.125,Fe-fcc,2
Fe-fcc_03,6.463467834427555,6.063175935747623,3.526028986823461,3.9122956050454896,3.3073588762049857,1.210244652554343,2.0,9.625,0.375,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,8.0,8.9375,5.0625,2.0,2.0,7.5625,0.4375,6.0,11.6875,Fe-fcc,3
Fe-fcc_04,6.394186426373995,6.076854147399631,3.4540089835263688,3.802585394335548,3.2944167478427646,1.2093949303427982,0.4375,9.8125,1.75,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.6875,11.5625,3.75,0.0,4.875,5.1875,1.9375,2.25,14.4375,Fe-fcc,4
Fe-fcc_05,6.3177953891464735,6.108654233892034,3.3845594970586177,3.6825156273235846,3.279508450963811,1.217720352110455,0.0625,10.75,1.1875,0.0,0.0,0.0,0.0,5.75,0.25,0.0,0.0,7.8125,14.75,1.4375,0.0,2.6875,7.6875,1.625,1.625,16.8125,Fe-fcc,5
